TMPO-AS1	TMPO	Knockdown of TMPO-AS1 decreased the mRNA and protein levels of TMPO in NSCLC cells
ANRIL	CRP	Furthermore, while lncRNA ANRIL expression was negatively associated with hs- CRP level
lncRNA-ATB	TGF-b1	Serum lncRNA-ATB can be used to accurately predict PTC and its prognosis lncRNA-ATB overexpression promoted tumor cell migration and invasion, lncRNA-ATB overexpression showed no significant effects on TGF-beta1 expression, and TGF-beta1 treatment increased the expression level of lncRNA-ATB CONCLUSIONS Upregulation of lncRNA-ATB by TGF-b1 promotes migration and invasion of PTC cells
cyrano	CDK4	Overexpression of wild type cyrano led to strong CDK4 and CDK6 expression; however, these two proteins did not change when mutated cyrano was upregulated
cyrano	CDK6	Overexpression of wild type cyrano led to strong CDK4 and CDK6 expression; however, these two proteins did not change when mutated cyrano was upregulated
AFAP1-AS1	N-cadherin	The decrease in AFAP1-AS1 expression significantly suppressed the expression level of N-cadherin protein in GC cells and increased that of E-cadherin
ANRIL	PRC2	ANRIL in UC cells may not interact with PRC2, which is central for initializing gene repression
MALAT1	CMPK	Inhibition of MALAT1 resulted in an increase of miR-143-3p expression, leading to a decrease of CMPK protein expression
KCNQ1OT1	SMAD4	Additionally, the present study reported that increase and decrease of KCNQ1OT1 regulated SMAD4 expression
MALAT1	NRF1	Of note, antagonism of MALAT1 downmodulated the two major transcriptional activators of proteasome subunit genes, namely NRF1 and NRF2
MALAT1	NRF2	Of note, antagonism of MALAT1 downmodulated the two major transcriptional activators of proteasome subunit genes, namely NRF1 and NRF2
PlncRNA-1	CBR3	There was no association between lncRNA PlncRNA-1 and CBR3 expression in osteosarcoma tissues
cyrano	CEBPA	luciferase assays cyrano knockdown or miR-367-3p over-expression contributed to a decrease in CEBPA (CCAAT/enhancer binding protein alpha) protein
PCA1	EMT	Knockdown of PCA1 in U2OS cells suppressed cell proliferation, cell invasion and migration, and EMT
GAS5	Notch1	GAS5 functioned as a competing endogenous RNA (ceRNA) for miR-137 to regulate the de-repression of its endogenous target Notch1 and decrease neuron survival through inactivation of the Notch1 signaling pathway
FOXF1-AS1	FOXF1	FOXF1 did not have the same effect on FOXF1-AS1
UPH	HAND2	HAND2 was not regulated by UPH in EEC
miR-106a-5p	PTEN	down-regulated NORAD increased the expression of miR-106a-5p miR-106a-5p decreased the abundances of PTEN protein
miR-199a	FGF1	Map2k4 over-expression did not block the inhibition of FGF1 expression by miR-199a
LincRNA-p21	TP53	LincRNA-p21 was down-regulated in tumor tissue, but no association was observed with TP53 mutational status
PANDA	p53	Depletion of PANDA was associated with decreased levels of p53 protein, but not p53 mRNA
TUSC7	EphA4	TUSC7 could decrease the expression of Eph tyrosine kinase receptor A4 (EphA4)
HOTAIR	ROS	the decrease of HOTAIR expression led to ROS related defects in sperm function
M41	EMT	The most abundant AER lncRNA, M41, is expressed in ERalpha+ breast carcinoma, but not in pre-neoplastic lesions, and correlates inversely with EMT markers
miR-186	XIAP	miR-186 binded to XIAP and PAK7 3'UTR region, and decrease the expression of them
HOTTIP	HOXA13	HOTTIP does not regulate HOXA13
BANCR	MAPK	BANCR was found to regulate LC proliferation and migration via not ERK MAPK, but p38 MAPK and JNK inactivations
miR-675	INSR	miR-675 not only inhibited the expression of IGF1R in a similar manner in human and murine cells, but we also observed its negative effect on the expression of the INSR
NEAT1	SR	NEAT1 has not been shown to bind SR proteins
P21	NFKB1	Decreased levels of P21 did not alter NFKB1 or RELA transcripts
P21	RELA	Decreased levels of P21 did not alter NFKB1 or RELA transcripts
H19	AFB1	any possible relationship between AFB1 and H19 is not clear
SAF	sFas	Levels of SAF correlate inversely with production of sFas
MEG3	p21	MEG3 does not stimulate p21(CIP1) expression
Xist	Oct4	Xist and Oct4 expression levels are not correlated at the 8-cell stage
XIST	BRCA1	complex epigenetic differences between tumor cell subpopulations can have striking effects on XIST transcription, accumulation, and localization, but this does not strictly correlate with BRCA1
cyrano	NLRP6	In terms of mechanism, cyrano directly bound to EZH2 and obstructed NLRP6 expression, speeding up GC progression
LINC00052	STAT3	LINC00052 could repress metastasis and invasion of cervical cancer cell via suppressing STAT3
H19	IGF-2	Loss of imprinting of H19 and IGF-2 was observed in samples of human bladder carcinoma
H19	Igf-2	We used reverse transcription-PCR to analyze the allele-specific expression of Igf-2, IGF2R, and H19 in the testes and ovaries of mice derived from an interspecies cross between Mus musculus and Mus spretus
H19	IGF2R	We used reverse transcription-PCR to analyze the allele-specific expression of Igf-2, IGF2R, and H19 in the testes and ovaries of mice derived from an interspecies cross between Mus musculus and Mus spretus
H19	Igf2	allelic methylation patterns in Igf2 and H19 arise early in embryogenesis and change progressively during development
H19	Igf2	This raises the possibility that imprinting of H19 is involved only in the maintenance and not in the initiation of monoallelic expression of Igf2
H19	IGF2	In cervical cancer H19 and IGF2 expressions could be independently regulated
H19	IGF2	IGF2 is expressed only from the paternal allele and H19 is expressed only from the maternal allele
H19	Igf2	the expression of H19 and Igf2 genes is not always from their respective maternal and paternal alleles 
H19	p95	The association of H19 and p95 gene expression in drug resistance warrants further study
H19	SNRPN	Using fluorescence in situ hybridization, we localized the marsupial homeologues of IGF2 and H19 to the distal part of tammar wallaby chromosome 2p and the marsupial homeologues of SNRPN and ZNF127 to the middle of chromosome 1q
H19	KIP2	Among WTs without LOH most cases with H19 inactivation also have reduced KIP2 expression and most cases with persistent H19 expression have high levels of KIP2 mRNA
H19	hNAP2	This gene is homologous to yeast nucleosome assembly protein (NAP1) and to a human homologue of NAP1, and we designate it hNAP2 (human nucleosome assembly protein 2) hNAP2 diverges in its expression pattern from IGF2, H19, and p57KIP2, and it shows biallelic expression in all tissues tested 
H19	L23MRP	We previously described biallelic expression of L23MRP, 40 kb downstream of H19
H19	TNNT3	Parallel expression of H19 and TNNT3 in different adult skeletal muscle types suggests that these genes may share an enhancer 
H19	IGF2	While IGF2 presumably plays a role in tumorigenesis of Wilms' tumor, H19 is not expressed in the majority of Wilms' tumors
H19	Igf2	The imprinting of the Igf2 and Ins2 genes is dependent on the transcription of the downstream H19 gene
H19	Ins2	The imprinting of the Igf2 and Ins2 genes is dependent on the transcription of the downstream H19 gene
H19	Igf2	Igf2 and H19 are part of a larger imprinting region and as a first step,we examined these reciprocally imprinted genes in transgenic experiments using a 130 kb YAC clone
H19	IGF2	Although our results document one instance in which a post neoplastic loss of H19 activity correlates with loss of IGF2 imprinting at the cellular level, it appears that inactivation of H19 is more generally independent of loss of imprinting of IGF2, at least in our specimens 
H19	Igf2	There was no significant change in Igf2 or H19 expression in brain
H19	IGF2	In addition, a lack of correlation between IGF2 and H19 imprinting status suggests that any regional parental imprint has been functionally lost 
H19	Mash2	We characterize a 800-kb region on the distal end of mouse chromosome 7 that contains a cluster of four maternally expressed genes, H19, Mash2, Kvlqt1, and p57(Kip2), as well as two paternally expressed genes, Igf2 and Ins2, and assess the expression and imprinting of Mash2, Kvlqt1, and p57(Kip2) during development in embryonic and extraembryonic tissues
H19	Kvlqt1	We characterize a 800-kb region on the distal end of mouse chromosome 7 that contains a cluster of four maternally expressed genes, H19, Mash2, Kvlqt1, and p57(Kip2), as well as two paternally expressed genes, Igf2 and Ins2, and assess the expression and imprinting of Mash2, Kvlqt1, and p57(Kip2) during development in embryonic and extraembryonic tissues
H19	p57	We characterize a 800-kb region on the distal end of mouse chromosome 7 that contains a cluster of four maternally expressed genes, H19, Mash2, Kvlqt1, and p57(Kip2), as well as two paternally expressed genes, Igf2 and Ins2, and assess the expression and imprinting of Mash2, Kvlqt1, and p57(Kip2) during development in embryonic and extraembryonic tissues
H19	Igf2	H19 and Igf2 are located within a large imprinting domain that confers monoallelic silencing of parental alleles
H19	VHL	Therefore, we analysed methylation of the VHL, CDKN2, MYC, and H19 genes in primary RCC samples
H19	CDKN2	Therefore, we analysed methylation of the VHL, CDKN2, MYC, and H19 genes in primary RCC samples
H19	MYC	Therefore, we analysed methylation of the VHL, CDKN2, MYC, and H19 genes in primary RCC samples
H19	CDKN2	None of the 11 RCCs methylated at VHL had evidence of methylation at either CDKN2 or MYC (methylation at CDKN2 was, however, detected in 3 %, or 1/33, of RCCs without VHL methylation) A normal methylation pattern at H19 was demonstrated in the three RCCs with methylated VHL analysed
H19	MYC	None of the 11 RCCs methylated at VHL had evidence of methylation at either CDKN2 or MYC (methylation at CDKN2 was, however, detected in 3 %, or 1/33, of RCCs without VHL methylation) A normal methylation pattern at H19 was demonstrated in the three RCCs with methylated VHL analysed
H19	Igf2	We ruled out the importance of DNA methylation at Igf2 by showing that silencing of Igf2 accompanying the loss of DNA methylation could be overcome by a mutation at the neighboring H19 gene that activates Igf2
H19	Igf2	a transcriptional model involving access to a common set of enhancers shared between Igf2 and H19 is the most likely explanation for Igf2 imprinting
H19	Igf2	For cells of neuroectodermal origin, complete absence of Igf2 and H19 transcription was previously described
H19	Igf2	Apart from the ventral midline region, H19 and Igf2 were found to be coexpressed in the ectodermally derived Rathke's pouch and in some circumventricular organs of the brain
BC200	La	As with other RNA polymerase III transcripts, La protein binds with high affinity to the 3' end of BC200 RNA
H19	IGF2	These data indicate that IGF2, but not H19, is prone to loss of imprinting in breast cancer
H19	IGF2	These data suggest that LOI at H19 and IGF2 also may be common in pediatric testicular GCTs
H19	PR-A	Interestingly, the same experiments performed in BT-20 cell line provided very similar results as those obtained in MCF-7 cells, with a clear down-regulation mediated by PR-A on the H19 promoter 
H19	Igf2	The linked H19 and Igf2 genes on mouse distal chromosome 7 are subject to genomic imprinting
H19	Igf2	transcriptional activity from the H19 promoter is not required for the imprinted silencing of the Igf2 gene
H19	IGF-II	Loss of imprinting (LOI) of IGF-II and H19 has been suggested to be an early oncogenic event in cancerogenesis 
H19	SNRPN	In contrast to previous reports, we could document only one case rising from germ cells by meiosis-II nondisjunction H19 and SNRPN were methylated in individual teratomas to various degrees, ranging from normal somatic cell to expected ovum levels
H19	SNRPN	Degrees of H19 hypomethylation and SNRPN hypermethylation increased as the cellular origin of the tumors advanced in oogenesis and were closely correlated in individual teratomas
H19	Igf2	Although lymphocytes do not express H19 and Igf2, both genes are reactivated in a proper monoallelic manner in hybrid cells 
H19	U2af1-rs1	We conclude that the imprints of the H19, U2af1-rs1, and Igf2 genes are maintained in lymphocytes in adult mice 
H19	Igf2	We conclude that the imprints of the H19, U2af1-rs1, and Igf2 genes are maintained in lymphocytes in adult mice 
H19	Igf2	The H19 and insulin-like growth factor 2 (Igf2) genes in the mouse are models for genomic imprinting during development
MIR210HG	DNMT1	The binding condition of MIR210HG and DNA methyltransferase 1 (DNMT1) was detected by RNA binding protein immunoprecipitation
MIR210HG	CACNA2D2	Rescue experiments were conducted to assess whether CACNA2D2 can reverse the function of MIR210HG 
MIR210HG	DNMT1	MIR210HG knockdown remarkably inhibited proliferation and migration of NSCLC cells MIR210HG could recruit DNMT1, thereafter promoting methylation of CACNA2D2 promoter region CACNA2D2 overexpression remarkably inhibited cell proliferation 
MIR210HG	CACNA2D2	AMIR210HG knockdown remarkably inhibited proliferation and migration of NSCLC cells MIR210HG could recruit DNMT1, thereafter promoting methylation of CACNA2D2 promoter region CACNA2D2 overexpression remarkably inhibited cell proliferation 
MIR210HG	CACNA2D2	Moreover, inhibited proliferation induced by MIR210HG knockdown was reversed by CACNA2D2 knockdown 
ROR	Raf	ROR protected H9c2 cells against hypoxia-caused damages by regulation of miR-145 through activating Ras/Raf/MEK/ERK and PI3K/AKT 
MIR503HG	SOX4	The downregulation of lncRNA MIR503HG induced by XAV939 may serve an important role in NSCLC suppression via sponging miR-1273c and regulating SOX4 expression 
FAM224A	ZNF143	Quantitative RT-PCR and western blot analysis were employed to detect the expression levels of A1CF, lncRNA family with sequence similarity 224 member A (FAM224A), miR-590-3p, zinc finger protein 143 (ZNF143) and ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 (ASAP3) in glioma tissues and cell lines 
FAM224A	A1CF	Finally, the xenograft tumor growth assay further ascertained the biological roles of A1CF, FAM224A and miR-590-3p in glioma cells A1CF was upregulated and functioned as an oncogene via stabilizing and increasing FAM224A expression; moreover, high A1CF and FAM224A expression levels indicated a poorer prognosis for glioma patients 
FENDRR	HuR	FENDRR reduces the interaction of the RNA-binding protein HuR with MDR1 via acting as a sponge
FENDRR	MDR1	FENDRR reduces the interaction of the RNA-binding protein HuR with MDR1 via acting as a sponge
LINC00689	PKM2	restoration of PKM2 abolished the effects of LINC00689 silencing on glioma cell proliferation,migration,invasion and glycolysis
LINC00511	PTX	silencing of LINC00511 could suppress cell resistance to PTX, cell viability, cell proliferation, migration and invasion yet promoted cell apoptosis in PTX-resistant Hela PTX cells
LINC00511	PTX	The present study aims to define the role of long non-coding RNA (lncRNA) LINC00511 in the progression of CC with the involvement of cell proliferation, apoptosis and resistance to PTX in Hela PTX cells CC and adjacent normal tissue samples were collected from 84 patients with CC
ANRIL	OGD	ANRIL negatively regulated miR-127 expression miR-127 overexpression significantly enhanced OGD -induced PC-12 cell injury
MALAT1	ABI3BP	MALAT1 silencing and ABI3BP elevation impede the GBC development through the H3K27 methylation suppression induced by EZH2, highlighting a promising competitive paradigm for therapeutic approaches of GBC
MALAT1	MMP-9	Transfection of MALAT1 siRNA suppressed its expression in endometrial cells, inhibited cell proliferation or invasion, enhanced caspase 3 activity, decreased NF-κB/iNOS or MMP-9 expression (p < 005 comparing to control group) 
Evf-2	DNMT	We quantified our results by evaluating the spheroid formation, proliferation, and tumor formation abilities, as well as the proportion of tumor stem cells, and the recruitment of DNA methyltransferase (DNMT) in LCSCs when lncRNA Evf-2 was either overexpressed or silenced
Evf-2	DNMT1	downregulation of lncRNA Evf-2 contributed to a reduction in CADM1 promoter methylation via suppression of DNMT1,DNMT3a,and DNMT3b in LCSCs and inactivating the STAT3 signaling pathway
Evf-2	DNMT3a	downregulation of lncRNA Evf-2 contributed to a reduction in CADM1 promoter methylation via suppression of DNMT1,DNMT3a,and DNMT3b in LCSCs and inactivating the STAT3 signaling pathway
Evf-2	DNMT3b	downregulation of lncRNA Evf-2 contributed to a reduction in CADM1 promoter methylation via suppression of DNMT1,DNMT3a,and DNMT3b in LCSCs and inactivating the STAT3 signaling pathway
ROR	ERK	lncRNA ROR alleviated CoCl2-induced hypoxia injury through regulation of miR-145 as well as modulating ERK and MAPK signalling
ROR	MAPK	lncRNA ROR alleviated CoCl2-induced hypoxia injury through regulation of miR-145 as well as modulating ERK and MAPK signalling
ROR	ERK	Highlights CoCl2 induces ROR upregulation ; Overexpression of ROR reduces CoCl2-induced HK-2 cell injury; Silence of ROR promotes CoCl2-induced HK-2 cell injury; Overexpression of ROR decreases miR-145 expression; ROR overexpression modulates ERK and MAPK signalling pathways through regulation of miR-145
ROR	MAPK	Highlights CoCl2 induces ROR upregulation ; Overexpression of ROR reduces CoCl2-induced HK-2 cell injury; Silence of ROR promotes CoCl2-induced HK-2 cell injury; Overexpression of ROR decreases miR-145 expression; ROR overexpression modulates ERK and MAPK signalling pathways through regulation of miR-145
H19	Cox	Cox regression and correlation analysis showed that H19 and some other competing endogenous RNAs in the network are associated with poor prognosis and clinical parameters such as tumor grade and metastasis
H19	MET	Knockdown of H19 reduces the protein level of MET,ZEB1,and COL1A1 in vitro H19 regulates PI3K-Akt signal pathway through a competing endogenous RNA network and predicts poor prognosis in colorectal cancer
TDRG1	Hela	Knockdown of TDRG1 inhibited the cell proliferation,migration and invasion in Hela and SIHA cells
linc00423	MAPK	RNA sequence,RNA pulldown and RIP assays evidenced that linc00423 involved in MAPK signaling pathway via destabilizing of nuclear factor of activated T-cells 3(NFATC3)
linc00423	MAPK	linc00423 acted as the tumor suppressor in RLS cells through regulating the protein level of NFATC3 at a post-transcriptional level and negatively regulated the MAPK signaling pathway at a transcriptional level
linc00423	NFATC3	RNA sequence,RNA pulldown and RIP assays evidenced that linc00423 involved in MAPK signaling pathway via destabilizing of nuclear factor of activated T-cells 3(NFATC3)
linc00423	NFATC3	linc00423 acted as the tumor suppressor in RLS cells through regulating the protein level of NFATC3 at a post-transcriptional level and negatively regulated the MAPK signaling pathway at a transcriptional level
LINK-A	p53	LINK-A expression enhanced K48 polyubiquitination mediated degradation of the antigen peptide-loading complex(PLC) and intrinsic tumor suppressors Rb and p53
SGO1-AS1	SGO1	In the current study,we quantified expression of SGO1 and SGO1-AS1 in 39 breast cancer tissues and their paired adjacent non-cancerous tissues(ANCTs)
OTUD6B-AS1	OTUD6B	While no difference was recorded at the basal level between HC and SSc dermal Fb, the expression of OTUD6B-AS1 and OTUD6B was significantly downregulated in both SSc and HC dermal Fb after PDGF stimulation in a time-dependent manner
OTUD6B-AS1	IL-4	Only mild and inconsistent effects were observed with TGFbeta,IL-4,and IL-13 OTUD6B-AS1 knockdown in Fb and HPASMC did not affect extracellular matrix or pro-fibrotic/proinflammatory cytokine production
OTUD6B-AS1	IL-13	Only mild and inconsistent effects were observed with TGFbeta,IL-4,and IL-13 OTUD6B-AS1 knockdown in Fb and HPASMC did not affect extracellular matrix or pro-fibrotic/proinflammatory cytokine production
OTUD6B-AS1	OTUD6B	Moreover, silencing of OTUD6B-AS1 significantly reduced proliferation and suppressed apoptosis in both dermal Fb and HPASMC OTUD6B-AS1 knockdown did not affect OTUD6B expression at the mRNA level and protein level 
OTUD6B-AS1	D1	OTUD6B-AS1 regulates proliferation and apoptosis via cyclin D1 expression in a sense gene independent manner 
MiR-145	EPHA4	MiR-145 exerted a protective effects in cell viability in the OGD model by downregulating EPHA4
U17HG	Oct4	U17HG formed a positive feedback network with Nanog and Oct4, and 126 U17HG interacting proteins were identified in mESCs 
U17HG	Nanog	U17HG formed a positive feedback network with Nanog and Oct4, and 126 U17HG interacting proteins were identified in mESCs 
H19	IGFBPrP1	To define the relationship between IGFBPrP1 and autophagy and the role of H19 in IGFBPrP1 induced hepatic fibrosis IGFBPrP1 and autophagy were detected in bile duct ligation (BDL)-induced hepatic fibrosis 
H19	IGFBPrP1	Adenovirus-mediated IGFBPrP1 was transfected into mouse liver and JS-1 cells with or without LY294002 or rapamycin to examine the effects of IGFBPrP1 on HSCs activation and autophagy as well as the PI3K/AKT/mTOR pathway lncRNA H19 in liver fibrosis tissues and JS-1 cells induced by IGFBPrP1 were detected, then autophagy and HSCs activation level were detected in JS-1 cells by IGFBPrP1 with H19 overexpression or knowdown IGFBPrP1 expression and autophagy level were concomitantly increased in liver tissue with BDL-induced hepatic fibrosis 
H19	IGFBPrP1	In addition, H19 promoted autophagy by interacting with the PI3K/AKT/mTOR pathway in IGFBPrP1 induced HSCs activation IGFBPrP1 promoted autophagy and contributed to HSCs activation via mutual regulation between H19 and the PI3K/AKT/mTOR pathway
TUG1	HMGB1	The function of TUG1 were achieved by sponging miR-142-3p and releasing the suppression of the putative targets of miR-142-3p, HMGB1 and Rac1 
TUG1	Rac1	The function of TUG1 were achieved by sponging miR-142-3p and releasing the suppression of the putative targets of miR-142-3p, HMGB1 and Rac1 
MEG3	ILF3	To clarify the effects of MEG3 on the adenosine-induced cytotoxicity in hepatoma, MEG3 and ILF3 lentivirus were transduced into human hepatoma HepG2 cells to stimulate overexpression of MEG3 (OE MEG3) and overexpression of ILF3 (OE ILF3), furthermore, ILF3 small interfering RNA (siRNA) was also applied to downregulate the expression of ILF3
MEG3	ILF3	adenosine markedly stimulated MEG3 expression,OE MEG3 markedly decreased the ILF3 expression in HepG2 cells,and the adenosine-induced autophagy inhibition,together with the ratio of p-PI3K PI3K,p-AKT AKT,and p-mTOR mTOR were also boosted by OE MEG3
MEG3	ILF3	The present study demonstrates autophagy inhibition is involved in the adenosine-induced cytotoxicity in HepG2 cells,the cytotoxicity can be synergized by OE MEG3 via downregulated ILF3 to activate PI3K/Akt/mTOR and inactivate the beclin-1 signaling pathway
LINC01410	IFITM3	Down-regulation of LINC01410 expression inhibits the proliferation and migration of pancreatic cancer BxPC-3 cells,and its mechanism may be closely related to regulating the miR-497-5p and IFITM3 gene expression
lncRNA-ATB	P65	Overexpression of lncRNA-ATB activated nuclear factor-κB pathway and promoted P65 translocation into the nucleus, thus facilitated glioma cells invasion stimulated by AAT3
lncRNA-ATB	P38	lncRNA-ATB markedly enhanced AAT3 mediated invasion of glioma cells through activation P38 mitogen-activated protein kinase (P38/MAPK) pathway
MALAT1	ZEB1	In addition,LncRNA MALAT1 promotes ZEB1 expression in A549 cells
MALAT1	ZEB1	MALAT1 promoted the proliferation and gefitinib resistance of lung cancer cells by sponging miR-200a,which regulates expression of ZEB1 in the A549 cells
lncIHS	ERK	a regulatory network of ERK and AKT signaling through lncIHS, which is downstream of HBx SMYD3, and they indicate that lncIHS may be a potential target for treating HCC
lncIHS	AKT	a regulatory network of ERK and AKT signaling through lncIHS, which is downstream of HBx SMYD3, and they indicate that lncIHS may be a potential target for treating HCC
MEG3	AKT	Phosphorylated levels of PI3K, AKT, and AMP-activated protein kinase (AMPK) were decreased by lncRNA MEG3 overexpression via regulation of miR-211
MEG3	PI3K	Phosphorylated levels of PI3K, AKT, and AMP-activated protein kinase (AMPK) were decreased by lncRNA MEG3 overexpression via regulation of miR-211
MEG3	AMPK	Phosphorylated levels of PI3K, AKT, and AMP-activated protein kinase (AMPK) were decreased by lncRNA MEG3 overexpression via regulation of miR-211
MEG3	AMPK	The PI3K/AKT and AMPK pathways were inhibited by lncRNA MEG3 overexpression via regulation of miR-211 
H19	AKT	To explore whether lncRNA (Long non-coding RNA) H19 could promote the development of Hodgkin's lymphoma (HL) by regulating cell proliferation via AKT pathway H19 expressions in 60 HL tissues, 40 RH (reactive hyperplasia of lymph nodes) tissues, L428, A20 and Ly1 cell lines were evaluated by quantitative real-time polymerase chain reaction (qRT-PCR) H19 siRNA and pcDNA H19 were constructed
H19	AKT	The relationship between AKT and H19 was further detected by Western blot
H19	AKT	Overexpressed lncRNA H19 promotes HL development by stimulating proliferation of HL cells via AKT pathway
MALAT1	LDH	Knockdown of MALAT1 increased the viability of PA-treated cardiomyocytes, decreased apoptosis, and reduced the levels of LDH, CK-MB, tnfa, and IL1B 
MALAT1	HMGB1	the downregulation of MALAT1 represses HMGB1 expression, thereby inhibiting the activation of the Toll-like receptor 4 (TLR4)/NF-κB-mediated inflammatory response
MALAT1	HOTAIR	Expression of lncRNAs including metastasis-associated lung adenocarcinoma transcript one (MALAT1),HOX transcript antisense intergenic RNA (HOTAIR),and long intergenic non-protein coding regulator of reprograming (ROR or ROR) was also analyzed by in situ hybridization and RT-PCR
ROR	HOTAIR	Expression of lncRNAs including metastasis-associated lung adenocarcinoma transcript one (MALAT1),HOX transcript antisense intergenic RNA (HOTAIR),and long intergenic non-protein coding regulator of reprograming (ROR or ROR) was also analyzed by in situ hybridization and RT-PCR
NEAT1	STAT3	Lentivirus constructed short hairpin RNA interference for NEAT1 was pretransfected into CD4+ T cells before inducing treatment of Th17 cell differentiation NEAT1 targets STAT3 protein was proved by RNA pull down 
NEAT1	STAT3	Moreover, the cotreatment of NEAT1 knockdown and STAT3 overexpression promotes Th17 cell differentiation compared with NEAT1 knockdown alone 
NEAT1	STAT3	These data concluded that NEAT1 is auxo-active molecule for CD4+ T cells differentiating into Th17 cells and knockdown of NEAT1 positively inhibits Th17/CD4+ T cell differentiation through reducing the STAT3 protein level 
GHET1	ABCC1	Finally, knockdown of GHET1 also inhibited the expression of ABCC1 protein in Gemcitabine-resistant BC cells
GHET1	ABCC1	High expression of GHET1 was related with the low sensitivity to Gemcitabine of BC ; GHET1 contributed to chemotherapeutic resistance to Gemcitabine in BC through up-regulating ABCC1 expression
MALAT1	YAP	MALAT1 binds directly to Yes-associated protein (YAP),thereby enhancing YAP protein expression and increasing YAP transcriptional activity
TUG1	p38	the p38 MAPK inhibitor SB203580 reversed the changes that TUG1 induced in the levels of Beclin1,LC3 II/LC3 I and p62
LNCAT	STAT3	the knockdown of LNCAT enhanced the activation of caspases-3,and increased the protein expression of Bax,JAK2 and STAT3,whereas decreased the expression of BAL2 and Bid
LNCAT	Bax	the knockdown of LNCAT enhanced the activation of caspases-3,and increased the protein expression of Bax,JAK2 and STAT3,whereas decreased the expression of BAL2 and Bid
LNCAT	JAK2	the knockdown of LNCAT enhanced the activation of caspases-3,and increased the protein expression of Bax,JAK2 and STAT3,whereas decreased the expression of BAL2 and Bid
LNCAT	BAL2	the knockdown of LNCAT enhanced the activation of caspases-3,and increased the protein expression of Bax,JAK2 and STAT3,whereas decreased the expression of BAL2 and Bid
LNCAT	Bid	the knockdown of LNCAT enhanced the activation of caspases-3,and increased the protein expression of Bax,JAK2 and STAT3,whereas decreased the expression of BAL2 and Bid
BANCR	Bax	An increased apoptotic level caused by BANCR overexpression was also detected and displayed a conversed influence on Bcl-2 and Bax expression in mRNA and protein level 
BANCR	Bcl-2	An increased apoptotic level caused by BANCR overexpression was also detected and displayed a conversed influence on Bcl-2 and Bax expression in mRNA and protein level 
AGU2	IGF2	In addition,both the mRNA and protein expression levels of insulin-like growth factor 2 (IGF2) were remarkably upregulated after AGU2 overexpression
UCA1	MAPK	Luciferase activity assay was used to identify the mir-193a targeted CDK6 3'-untranslated region UCA1 knockdown weakened cell viability,augmented apoptosis progression,as well as suppressed migration and invasion behaviors in glioblastoma cells,whereas UCA1 silence exhibited the opposite functions UCA1 functioned as an endogenous sponge of miR-193a miR-193a silence reversed the biological function of UCA1 knockdown on U-118 MG cells miR-193a negatively regulated the expression of CDK6,and it affected the U-118 MG cells through regulating CDK6 expression CDK6 overexpression abrogated the blockage of PI3K/AKT,mitogen-activated protein kinase (MAPK),and Notch signaling pathways
