TMPO-AS1	TMPO	VBN NNP NN IN NN DT CC NN NNS NN IN NNS IN NNP 
ANRIL	CRP	NN RB VBN IN NN NN NN VBD RB NNS IN : NN 
lncRNA-ATB	TGF-b1	VBD VBN JJ NN MD VB VB TO RB VBN NN CC NN PRP$ NN JJ NN NN NN CC NN NN NN VBD NNS DT JJ NN IN NN CC NN NN NN DT NN NNS IN NN VBZ NN NN IN NN IN NN CC NN NNS IN NN 
cyrano	CDK4	VBD NN NN IN JJ NN NN TO JJ CC NN NN : NN RB NNS DT CD VBD RB VBN WRB NN VBN VBD 
cyrano	CDK6	VBD NN NN IN JJ NN NN TO JJ CC NN NN : NN RB NNS DT CD VBD RB VBN WRB NN VBN VBD 
AFAP1-AS1	N-cadherin	VBN NN DT NN IN NN RB VBP DT NN NN IN NN NNS IN NN CC VBD IN NN IN 
ANRIL	PRC2	VBP NN NNS IN NN MD RB NN IN JJ WDT VBZ VBG IN NN NN 
MALAT1	CMPK	VBD NN NN IN NN IN DT NN IN JJ JJ NN TO DT NN IN NN NN 
KCNQ1OT1	SMAD4	VBN RB VB DT JJ DT NN CC NN NN IN NN VBN NN 
MALAT1	NRF1	VBN NN IN NN NN IN NNS DT CD JJ JJ NNS IN NN NN NN RB CC NN 
MALAT1	NRF2	VBN NN IN NN NN IN NNS DT CD JJ JJ NNS IN NN NN NN RB CC NN 
PlncRNA-1	CBR3	VBD EX NN DT NN IN NN CC NN NN NNS IN NN 
cyrano	CEBPA	NN NNS NN VBD NN NN CC JJ NN TO DT NN IN NNP NN NN NN NN NN 
PCA1	EMT	VBN NN NN IN NNS IN NN NN NN NN NN CC NN CC NN 
GAS5	Notch1	VBD NN NN IN DT VBG JJ NN NN IN VB TO VB DT NN IN PRP$ JJ NN CC VB NN NN NN IN NN IN DT NN NN 
FOXF1-AS1	FOXF1	VB NN VBD RB VB DT JJ NN IN 
UPH	HAND2	VBN NN VBD RB NN IN NN IN 
miR-106a-5p	PTEN	VBN NNP VBD VBN NN DT NN IN NN NNS DT NN IN NN 
miR-199a	FGF1	NN NN NN VBD RB NN DT NN IN NN NN IN 
LincRNA-p21	TP53	VBN NN VBD NN IN NN CC VBN NN DT VBD NN IN NN JJ 
PANDA	p53	VBN NN NNP IN VBD NNS IN VBN NN IN NN RB CC NN NN 
TUSC7	EphA4	NN NN MD NN DT NN IN NN NN NN NN NN 
HOTAIR	ROS	VBD VB DT NN IN NN NNS TO NN JJ NN IN NN 
M41	EMT	VBN NN DT JJ RBS NNP NNP VBZ NN IN NN CC NN CC NNS RB IN JJ CC VBZ RB NNS IN NN 
miR-186	XIAP	JJ NN NN TO CC NN NN CD NN CC NN NN DT PRP IN 
HOTTIP	HOXA13	VB NNP VBZ RB NN 
BANCR	MAPK	VBN NN VBD VB TO NN NN CC NN NN IN RB NN CC NN NN CC NNS NN 
miR-675	INSR	VBD NN RB RB NN DT NN IN NN IN DT JJ JJ IN CC JJ NNS CC VBN PRP RB VBP PRP$ JJ NN IN DT NN IN DT 
NEAT1	SR	VBN NN VBZ RB VBN VBP TO NNS JJ 
P21	NFKB1	VB NNS VBN NN IN VBD RB NNS NN CC NN 
P21	RELA	VB NNS VBN NN IN VBD RB NNS NN CC NN 
H19	AFB1	JJ NN DT JJ NN IN CC NN VBZ RB 
SAF	sFas	NN NNS NN IN RB NN IN NN IN 
MEG3	p21	VB NN VBZ RB NN NN NN 
Xist	Oct4	VBN NNS NNP CC NN NN VBP RB NN IN DT NN 
XIST	BRCA1	VB NNS JJ JJ NNS IN NN NN MD NNS JJ NN IN NN NN CC NN CC VBP DT VBZ RB RB NN IN 
cyrano	NLRP6	VBN NNS IN NN IN NN RB NN TO CC VBN NN NN VBG RP NN NN 
LINC00052	STAT3	VB NN MD NN CC NN NN IN JJ NN VBG IN NN 
H19	IGF-2	VBN NN VBG IN NN IN CC NN VBD NNS IN NN IN JJ NN 
H19	Igf-2	VBN PRP NN NN VBP TO NN DT JJ NN IN NN CC NN NNS IN DT CC NNS NNS IN VBN NNS IN DT JJ NN IN NN CC NN NN 
H19	IGF2R	VBN PRP NN NN VBP TO NN DT JJ NN IN NN CC NN NNS IN DT CC NNS NNS IN VBN NNS IN DT JJ NN IN NN CC NN NN 
H19	Igf2	VB NNS JJ NN NN IN CC NN JJ NN IN CC VB NN RB IN 
H19	Igf2	VBZ DT NN DT VBN IN VBG NN IN VBZ NN RB IN DT CC NN RB IN DT NN IN JJ NN IN 
H19	IGF2	VBN NN IN JJ NN CC NNS NN MD VB RB 
H19	IGF2	VBN VBN NN VBZ NN RB IN DT JJ CC NN VBZ NN RB IN DT JJ 
H19	Igf2	NNS NN DT NN IN CC NN NNS VBZ RB RB IN PRP$ JJ JJ CC JJ 
H19	p95	NN DT NN IN CC NN NN NN NNS IN NN NN NN RB 
H19	SNRPN	JJ VBG NN NN FW FW PRP VBP DT JJ NN IN CC NN NN TO DT JJ NN IN NN NN NN CC NNS DT JJ NN IN CC NN NN TO DT NN IN NN 
H19	KIP2	VBN NNP IN NNS IN NNP RBS NN IN NN RB VBP NN NN CC NNS RBS NN IN JJ NN VBP NNS JJ NN IN NN 
H19	hNAP2	JJ NN DT VBZ NN TO NN JJ NN NN CC NN TO DT JJ NN IN CC VB PRP VBZ PRP NN NN NN JJ JJ NN CD NN IN PRP$ NN NN IN NN CC NN CC VBZ PRP NN JJ NNS IN DT VBN 
H19	L23MRP	VBN PRP RB NN JJ NN IN NN CD JJ NN IN 
H19	TNNT3	VBZ NN JJ NN IN CC NN NNS IN JJ JJ JJ NN NN WDT NNS DT MD NN DT 
H19	IGF2	VBN NNS IN NN RB NN DT NN IN NN IN NN NN VBZ RB NN IN DT NNS IN NN 
H19	Igf2	JJ VBG DT NN IN DT CC JJ NNS VBZ NN IN DT NN IN DT JJ NN 
H19	Ins2	JJ VBG DT NN IN DT CC JJ NNS VBZ NN IN DT NN IN DT JJ NN 
H19	Igf2	NN NN CC NN VBP NN IN DT JJR VBG CC VB IN DT RB VBN PRP NNS DT RB JJ NNS IN JJ VBG NN DT NN CD NN 
H19	IGF2	NN IN VBZ PRP$ NN CD VBZ WDT IN NN DT NN JJ NN IN NN NN IN NN IN VBG VBZ NN IN DT JJ PRP JJ IN NN NN IN VBZ RB RBR NN IN VBG IN NN IN NNS IN JJS IN PRP$ 
H19	Igf2	VBD EX VB DT JJ NN NN IN CC NN NN IN 
H19	IGF2	VBZ NN IN NN DT NN IN NN IN CC NN NN VBG VBN IN NN DT JJ JJ VBZ VBN RB 
H19	Mash2	VB PRP NN DT JJ NN IN DT JJ NN IN NN CD VBZ IN NN DT NNS IN CD VBN RB NN NN NN CC NN NN RB RB IN NNS CD VBN RB NN CC NN CC VB NN DT CC VBG NN IN NN CC NN NN NN IN NNS IN JJ CC JJ 
H19	Kvlqt1	VB PRP NN DT JJ NN IN DT JJ NN IN NN CD VBZ IN NN DT NNS IN CD VBN RB NN NN NN CC NN NN RB RB IN NNS CD VBN RB NN CC NN CC VB NN DT CC VBG NN IN NN CC NN NN NN IN NNS IN JJ CC JJ 
H19	p57	VB PRP NN DT JJ NN IN DT JJ NN IN NN CD VBZ IN NN DT NNS IN CD VBN RB NN NN NN CC NN NN RB RB IN NNS CD VBN RB NN CC NN CC VB NN DT CC VBG NN IN NN CC NN NN NN IN NNS IN JJ CC JJ 
H19	Igf2	JJ NN CC NN VBP NN IN DT JJ VBG VBZ IN NN JJ NNS IN JJ 
H19	VHL	VBN RB PRP NN NN IN DT NN NN CC NN NNS NNS IN JJ NN 
H19	CDKN2	VBN RB PRP NN NN IN DT NN NN CC NN NNS NNS IN JJ NN 
H19	MYC	VBN RB PRP NN NN IN DT NN NN CC NN NNS NNS IN JJ NN 
H19	CDKN2	VBD VBN VBD NN NNS IN DT CD VBN NN IN NN NN IN NN IN CC CC NN NN NN IN VBD RB NN IN CD CC CD CD NNS IN NN IN NN NN NN JJ NN NN IN VBD NNS IN DT CD NN IN VBN VBN 
H19	MYC	VBD VBN VBD NN NNS IN DT CD VBN NN IN NN NN IN NN IN CC CC NN NN NN IN VBD RB NN IN CD CC CD CD NNS IN NN IN NN NN NN JJ NN NN IN VBD NNS IN DT CD NN IN VBN VBN 
H19	Igf2	VBD PRP RP NN DT NN IN NN NN IN VBG IN DT NN VBN IN JJ JJ NN DT NN IN NN MD VB NN IN DT NN IN DT VBG NN VBZ IN NN 
H19	Igf2	NN NN DT JJ VBG NN VBN TO DT JJ NNS IN JJ NN IN CC NN VBZ DT JJ RBS JJ IN VBG 
H19	Igf2	VBN NNS IN NN IN JJ NN JJ NN IN CC NN NN VBD RB 
H19	Igf2	VBN RB NN IN DT JJ NN NN CC NN VBD VBN TO VB NN IN DT VBN RB NNP NNS CC NNS IN DT JJ NN IN DT 
BC200	La	VBZ IN NNS IN JJ NN NN CD NN NNP NN IN JJ NN TO DT CD NN IN NN 
H19	IGF2	VBP NNS DT JJ DT NN RB CC NN VBZ NN TO VBG IN NN IN NN 
H19	IGF2	VBP NNS DT JJ DT NN NN IN CC NN RB MD VB NNS IN JJ JJ 
H19	PR-A	VBN RB NNS DT JJ VBN NN IN NN NN VBZ JJ RB DT IN VBN NNS IN NN NN IN DT JJ JJ NN IN NN IN DT NN 
H19	Igf2	JJ NN DT VBN CC NNS JJ NN IN NN JJ CD VBP JJ TO VBG 
H19	Igf2	VBN NN JJ NN IN DT NN VBZ RB NN IN DT JJ NN IN DT NN 
H19	IGF-II	VBN NN VBG IN NNP NN IN CC NN VBZ VBN NN TO VB DT JJ JJ NN IN 
H19	SNRPN	NN NN IN NNS TO JJ PRP MD VBN NN CD RB VBG NNS IN NN NN IN JJ NN CC NN VBD NNS IN JJ NNS TO JJ VBG NN IN JJ JJ NNS TO VBN NN 
H19	SNRPN	VBN NNPS NN IN NN CC NN NN NN IN DT JJ NNS IN DT JJ NN IN CC VBN VBD RB NNS IN NN 
H19	Igf2	VBN VBP IN NNS VBP RB NN CC NN NNS CC VBP NN IN DT JJ JJ NNS IN NN 
H19	U2af1-rs1	VBP PRP VBD IN NNS DT NN IN DT NN CC NN NNS VBP NNS IN NNS IN JJ 
H19	Igf2	VBP PRP VBD IN NNS DT NN IN DT NN CC NN NNS VBP NNS IN NNS IN JJ 
H19	Igf2	NNS VBP DT CC NNS JJ NN NN CD NN NN IN DT VBP VBG IN JJ NN IN 
MIR210HG	DNMT1	VBN NN DT NN NN IN CC NN NN NN CD VBD NN IN NN NN NN 
MIR210HG	CACNA2D2	VBN NNS NN VBD VB TO VB IN NN MD VB DT NN IN 
MIR210HG	DNMT1	VB VBD NN NN RB NN CC NN NNS IN NN NN MD VBD NN VBG RB NN NN IN NN NN NN NN RB NN NN 
MIR210HG	CACNA2D2	VB VBD NN NN RB NN CC NN NNS IN NN NN MD VBD NN VBG RB NN NN IN NN NN NN NN RB NN NN 
MIR210HG	CACNA2D2	JJ VBD RB NN VBD VBN IN NN VBD VBN IN NN 
ROR	Raf	JJ NN NNS NN NNS IN JJ NN IN NN IN VBG IN NN NN NN NN CC NN NN 
MIR503HG	SOX4	VB NN DT NN IN NN VBD NN IN MD NN DT JJ NN IN NNP VBG IN NN CC VBG NN NN 
FAM224A	ZNF143	VBN NN JJ CC NN NN NN VBD VB TO NNS DT NN NN IN NN NN NN IN NN NN CD NN DT NN NN NN NN NN CD CC NN NN IN NN NN NN CC NN NN NN CD NNS IN NN CC NNS NN 
FAM224A	A1CF	VBN RB NN DT NN NN NN RB NNS DT JJ NN IN NN CC NN VBN NNS IN NN NN VBD CC VBD NN IN DT VBG IN CC VBG NN NN : VBD NN JJ RB CC NNS NN NN NN DT JJR NNS IN NN 
FENDRR	HuR	VBZ NNP NN DT NN IN DT JJ NN NN IN VBG IN NN IN DT 
FENDRR	MDR1	VBZ NNP NN DT NN IN DT JJ NN NN IN VBG IN NN IN DT 
LINC00689	PKM2	VBD NN NN IN NNS DT NN IN NN NN IN NN NN NN NN CC NN 
LINC00511	PTX	VB NN NN IN MD NN NN NN TO NN NN NN NN NN CC NN VBD RB NN NN NNS IN JJ NN NN 
LINC00511	PTX	VBN NNS NN DT JJ VB TO NN DT NN IN JJ JJ NN NN NN IN DT NN IN NN IN DT NN IN NN NN CC NN NN TO NNS IN NNP NN NN CC NNS JJ JJ NN VBD NNS IN CD NN IN 
ANRIL	OGD	VBN NN RB NN NN NN NN VBD RB NN SYM : VBN NN NN 
MALAT1	ABI3BP	VB NN NN CC NN NN NN DT NNP NN IN DT NN NN VBD NN IN VBG NN DT JJ JJ NNS IN JJ NN IN 
MALAT1	MMP-9	VBN NN NN IN NN VBD NN PRP$ NNS IN JJ NN NN CC NN VBD VBN NN NN CD NN NN CC NN CD NN NN JJR VBG NN TO NN 
Evf-2	DNMT	VBN PRP VBZ PRP$ VBG IN NN DT NN NN CC NNS NN NN RB RB IN NN DT NNS IN NN NN CC NN DT NN IN NN NN NNS IN VBN WRB NN NN VBD CC CC VBN 
Evf-2	DNMT1	VBD NN NN IN NN NN TO DT NN IN NN NN NN IN NN IN NN CC NN NNS IN CC VBG NN DT NN NN 
Evf-2	DNMT3a	VBD NN NN IN NN NN TO DT NN IN NN NN NN IN NN IN NN CC NN NNS IN CC VBG NN DT NN NN 
Evf-2	DNMT3b	VBD NN NN IN NN NN TO DT NN IN NN NN NN IN NN IN NN CC NN NNS IN CC VBG NN DT NN NN 
ROR	ERK	VBN NN NN NN JJ NN NN IN NN IN RB RB IN VBG NN NN CC NN 
ROR	MAPK	VBN NN NN NN JJ NN NN IN NN IN RB RB IN VBG NN NN CC NN 
ROR	ERK	VBZ NN NNS NN NN : VBZ NN NN IN NN JJ NN NN : VBZ NN NN IN NN JJ NN NN : VBZ NN NN IN NN NN : VBZ NN NN NNS NN CC NN NN NN IN NN IN 
ROR	MAPK	VBZ NN NNS NN NN : VBZ NN NN IN NN JJ NN NN : VBZ NN NN IN NN JJ NN NN : VBZ NN NN IN NN NN : VBZ NN NN NNS NN CC NN NN NN IN NN IN 
H19	Cox	VBD NN NN CC NN NN VBN IN NN CC NNS DT JJ VBG JJ NN IN DT VBP NN IN JJ CC NNS JJ NN JJ IN NN CC NN 
H19	MET	VBZ NNP NN IN NN DT NN NN IN NN CC NN VBZ NN FW FW NN NN NN NN IN DT VBG JJ NN CC VBZ NN JJ NN IN JJ 
TDRG1	Hela	VBD NNP NN IN NN DT NN NN CC NN NN IN CC NN NNS 
linc00423	MAPK	VBN JJ NN NN NN CC NNS NN WDT NN VBD NN IN NN NN JJ IN NN IN JJ NNS IN VBN NN CD 
linc00423	MAPK	VBD NN NN IN DT NN NNS IN NNP VBG IN NN DT NN NN IN NN IN DT JJ CC JJ RB NN DT NN NN NN IN DT JJ 
linc00423	NFATC3	VBN JJ NN NN NN CC NNS NN WDT NN VBD NN IN NN NN JJ IN NN IN JJ NNS IN VBN NN CD 
linc00423	NFATC3	VBD NN NN IN DT NN NNS IN NNP VBG IN NN DT NN NN IN NN IN DT JJ CC JJ RB NN DT NN NN NN IN DT JJ 
LINK-A	p53	VBN NN NN NN NN NN VBD NNP IN DT NN JJ NN CC NNS JJ NN NN CC NN 
SGO1-AS1	SGO1	VBN NN IN DT JJ PRP NN NN IN CC NN NNS IN CD NN NN CC NNS PRP$ JJ JJ JJ NNS 
OTUD6B-AS1	OTUD6B	JJ VBN IN NN DT VBD NN IN DT JJ NN IN CC NN NN JJ NN DT NN IN CC NN VBD RB NN IN CC CC NN NN JJ NN IN NN NN IN DT JJ 
OTUD6B-AS1	IL-4	VBN NNS JJ RB CC JJ VBD NN IN NN CC JJ NN NN NN IN CC NN VBP VBD RB JJ JJ CC NN JJ JJ NN 
OTUD6B-AS1	IL-13	VBN NNS JJ RB CC JJ VBD NN IN NN CC JJ NN NN NN IN CC NN VBP VBD RB JJ JJ CC NN JJ JJ NN 
OTUD6B-AS1	OTUD6B	VBN RB JJ NN IN RB NN CC VBD NN NN IN CC JJ CC JJ NN NN VBP VBD RB NN NN NN IN DT NN CC NN NN 
OTUD6B-AS1	D1	VBZ NN NN CC NN NN IN NN NN NN IN DT NN NN JJ 
MiR-145	EPHA4	VBN JJ NNS DT JJ NN IN NN NN IN DT NN VBG IN NN 
U17HG	Oct4	VBN VBN NNP NN DT JJ NN NN IN CC NN CC NNS CD NN NN VBD NNS IN 
U17HG	Nanog	VBN VBN NNP NN DT JJ NN NN IN CC NN CC NNS CD NN NN VBD NNS IN 
H19	IGFBPrP1	VBN VBP TO VBN NN DT NN IN CC NN CC NN DT NN IN NN IN NN JJ NN CC NN VBD NN IN NN NN NN SYM : VBN JJ 
H19	IGFBPrP1	VBN NN JJ VBD NN IN NN CC NNS NN NN IN CC IN CC NN VBP TO NNS DT NN IN NN IN NNS CC NN RB RB IN NN DT NN NN NN NN NN NNS IN NN NN CC NNS NN VBD NN IN VBN VBN VBD VBN NN NN RB CC NNS NN VBD NNS IN NN NN IN NN IN NN CC NN JJ NN CC NN NN VBD RB NN IN NN NN IN JJ JJ 
H19	IGFBPrP1	VBN NN IN NN NN VBG IN NN IN DT NN NN NN NN IN VBN NN NNS NN VBD NN CC VBD NN TO NNS NN IN JJ NN IN CC NN DT NN NN NN 
TUG1	HMGB1	VBN NN DT NN IN VBD VBG IN NN CC VBG NN DT NNS IN DT JJ NN IN NN CC NN 
TUG1	Rac1	VBN NN DT NN IN VBD VBG IN NN CC VBG NN DT NNS IN DT JJ NN IN NN CC NN 
MEG3	ILF3	VBN VBN VBP TO NNS DT NN IN NN IN DT JJ NN IN NN CC NN NN VBD NNS IN JJ NN NN VBP TO NN NN IN NN NN CC NN NN NN IN NN NN RB NN JJ VBG NN VBD RB VB TO NN DT NN IN 
MEG3	ILF3	VBN NN RB NN NN NN NN VBD RB NN DT NN NNS IN NN CC NN DT JJ NN RB NN IN DT NN IN NN NN NN CC NN NN VBD VBD RB NN IN NN 
MEG3	ILF3	VBZ NN DT JJ JJ NN NN VBZ VBN NN IN DT JJ NNS IN NN NN DT MD VB NN IN NNP NN IN JJ VBP TO NN NN NN CC VB NN DT NN NN 
LINC01410	IFITM3	JJ VBZ NN NN IN NN NN DT CC NN NNS IN JJ NN NN CC NN PRP$ MD VB RB VBG TO NN DT NN CC NN NN 
lncRNA-ATB	P65	VBN NN NN IN NN VBN JJ NN CC VBD NN NN NN IN DT RB NNS NN NN VBD NN IN 
lncRNA-ATB	P38	VBN NN RB NN NN VBN NNS IN NN NN IN NN NN JJ NN NN NN NN 
MALAT1	ZEB1	VBZ NN IN NN NN NN NN NNS IN NN 
MALAT1	ZEB1	VBN NN NN DT CC NN NN NNS IN NN NN VBG IN NN VBZ WDT NN NN IN NNS IN DT NN 
lncIHS	ERK	NN DT JJ NN IN NN CC NN NN IN JJ WDT VBZ NN IN NN CC VBP PRP VBP IN NN MD VB DT JJ VBG IN NNP 
lncIHS	AKT	NN DT JJ NN IN NN CC NN NN IN JJ WDT VBZ NN IN NN CC VBP PRP VBP IN NN MD VB DT JJ VBG IN NNP 
MEG3	AKT	VBN NNS VBN NN IN NN CC NN JJ NN NN VBD NN IN NN NN NN IN NN IN 
MEG3	PI3K	VBN NNS VBN NN IN NN CC NN JJ NN NN VBD NN IN NN NN NN IN NN IN 
MEG3	AMPK	VBN NNS VBN NN IN NN CC NN JJ NN NN VBD NN IN NN NN NN IN NN IN 
MEG3	AMPK	VBD NNP NNP NN CC NNS NNP VBD NN IN NN NN NN IN NN IN 
H19	AKT	VBN VB TO VB IN NN NN JJ JJ NN MD NN DT NN IN NN NNS NN VBG IN NN NN NNS IN NN NN NN VBD NNS IN CD NNS NN CD NN JJ NNS IN NN NNS NN NN CC NNS NN NN VBD NN IN JJ JJ NN NN NN NN NN CC NN NN VBD 
H19	AKT	VBN NN DT NN IN CC NN VBD JJ NN IN NNP 
H19	AKT	VBZ NN VBN NN NN NNS VBG IN NN NNS IN NN NN IN NNP 
MALAT1	LDH	VBN NNP NN IN VBN NN DT NNS IN JJ NN CC VBN NNS DT NN IN NN NN CC NN 
MALAT1	HMGB1	VBZ NN DT NN IN NN NN VBG RB NN DT NN IN DT JJ NN CD NN JJ JJ 
MALAT1	HOTAIR	VBN NN NNS IN NN VBG JJ NN NN NN CD NN NN NN JJ JJ NN CC NN RB JJ JJ VBG NN IN NN CC NN VBD RB NN IN FW FW CC NN 
ROR	HOTAIR	VBN NN NNS IN NN VBG JJ NN NN NN CD NN NN NN JJ JJ NN CC NN RB JJ JJ VBG NN IN NN CC NN VBD RB NN IN FW FW CC NN 
NEAT1	STAT3	NNS VBD VBN NNP NN JJ NN NN NN IN VBD NNS IN NN CC NN VBG IN NN NN IN NN NN NN VBD NN NN VBD NN IN VB RP 
NEAT1	STAT3	VBZ RB NN DT NN IN NN CC NN NN NN NN NN NN VBN IN NN RB 
NEAT1	STAT3	VBD NNS DT NN WDT NN VBZ JJ NNS IN NN CC NN JJ NNS IN NN CC VBZ JJ NN IN RB NN NN CC NN NN NN VBG IN NN DT NN NN 
GHET1	ABCC1	VBD NN RB NN IN RB NN DT NN IN NN NNS IN JJ NN 
GHET1	ABCC1	JJ NN JJ NN IN VBD NN IN DT JJ NN TO NN IN : VBD NN NN TO JJ NN TO NNP IN VBG IN NN NN 
MALAT1	YAP	VBZ NN RB NNP TO JJ NN VBG RB NN NN NN CC VBG NN NN JJ 
TUG1	p38	JJ NN DT NN NN NN VBZ DT VBN IN NN NNS IN DT NN IN NN NN CD NN CC NN 
LNCAT	STAT3	VBN NN DT NN IN NN DT NN IN CC VBN NN DT NN NN IN NN CC NN VBD IN NN DT NN IN CC NN 
LNCAT	Bax	VBN NN DT NN IN NN DT NN IN CC VBN NN DT NN NN IN NN CC NN VBD IN NN DT NN IN CC NN 
LNCAT	JAK2	VBN NN DT NN IN NN DT NN IN CC VBN NN DT NN NN IN NN CC NN VBD IN NN DT NN IN CC NN 
LNCAT	BAL2	VBN NN DT NN IN NN DT NN IN CC VBN NN DT NN NN IN NN CC NN VBD IN NN DT NN IN CC NN 
LNCAT	Bid	VBN NN DT NN IN NN DT NN IN CC VBN NN DT NN NN IN NN CC NN VBD IN NN DT NN IN CC NN 
BANCR	Bax	VBN NN DT VBN JJ VBN NN IN NN VBD RB CC VBD NN VB DT VBN NN IN CC NN NN NN IN CC NN 
BANCR	Bcl-2	VBN NN DT VBN JJ VBN NN IN NN VBD RB CC VBD NN VB DT VBN NN IN CC NN NN NN IN CC NN 
AGU2	IGF2	VBN NN IN NN CC DT CC NN NNS NN NN IN JJ NN CD NN VBD RB NN IN NN 
UCA1	MAPK	JJ JJ NN NN NN VBD VB TO VB DT VBN NN CD : VBD JJ JJ NN NN NN NN NN NN RB RB IN NN VBD CC NNS NN NNS IN NN VBD IN NN NN VBD NNS DT JJ VBD NN NN IN DT JJ NN IN NN NN VBN NN DT JJ NN IN NN NNS IN NN NN NN RB NN DT NN IN CC VBD PRP NNS DT NN NN VBG IN NN NN NN NN VBD NN DT NN IN NN NN JJ NN NN CC NNS NN NN 
MEG3	SNRPA	VBD NN VBG NN VBD NN NNS IN NN NN NN NN CC NN NN JJ JJ NNS IN NN NN 
MEG3	SNRNP70	VBD NN VBG NN VBD NN NNS IN NN NN NN NN CC NN NN JJ JJ NNS IN NN NN 
MEG3	SNRPD2	VBD NN VBG NN VBD NN NNS IN NN NN NN NN CC NN NN JJ JJ NNS IN NN NN 
UCA1	Beclin1	VBN NN DT NN IN NN NN IN VBD NN IN NN NN CC VBN NN DT NN NN CC NN CD CC VBD RB VB DT CC NN NNS IN NN 
UCA1	CLIC1	VBN NN VBG TO DT NN NN NN CC NN VBD DT RB NNP IN VBN IN NN DT NN IN NN VBN IN DT JJ 
UCA1	CLIC1	VBN NN NN CC NN VBD DT RB NNP IN VBN IN NN DT NN IN NN VBN IN DT JJ 
UCA1	CLIC1	VBN NN DT NN NN IN NN CC NN VBD VBN NN NN NN NN CC NN VBD IN NN VBD NN PRP$ NN NN IN DT JJ NN NN IN CC VBD NNS JJ 
UCA1	CLIC1	VBN NN NN DT NNS IN NNP VBG IN NN DT NN IN CC NN PRP$ JJ NN NN CC VBD NN DT NN IN DT NN NN VBD WDT NNS DT NN IN VBN NN IN 
LINC00052	CALCOCO1	VBN RB RBR VBZ DT NN IN PRP$ VBP IN NN MD NN DT NN IN VBG IN NN NN IN 
FOXD1-AS1	eIF5a	VBD RB NN NN NN JJ NN NN NN CD DT NN DT JJ NN IN 
FOXD1-AS1	eIF5a	VBD NNS DT VBD IN NN NN DT NN CD NNS JJ NN IN NN 
H19	p53	JJ VBG IN NN NN IN DT NN IN NN NN DT NN NN IN NN 
H19	p53	VBD VBN RB NN NN DT JJ NN IN CC NN DT NN IN CC NN NN NNS DT NN IN 
LINC00052	CALCOCO1	VBN NN NN NN NN VBD VB TO NN DT NN IN CC NN CC NN CC NN 
CRNDE	SIX1	VBD NNS JJ VBD IN NN NN NN IN CC VBD NN PRP$ VBG RB NN DT NN NNS IN NN NN NN 
CRNDE	SIX1	VBD NN IN NNS FW FW VBG NN DT NN NN NN VBD IN NNP NN NN IN DT NN RB IN NN CC VBG NN NN IN 
DDX11-AS1	LATS2	VBN NNP NN IN NNS DT NN CC NN NN IN 
DDX11-AS1	LATS2	VBD NN NN IN NN DT JJ NN IN NN IN NN CC NN 
DDX11-AS1	LATS2	VBN NNS DT NN NN IN VBD RB NNS IN NN CC VBD RB NN IN NN 
ANRIL	IL-10	VBD NNP IN NN VBD RB RB NN IN NN NN NN NN NN NN NN CD NN CC NN VBN IN RB NN IN CC NN NN 
DDX11-AS1	DNMT1	VBD NN RB DT NN NN NN NN CC NN NNS IN NN VBD NN IN NN VBD IN NN IN JJ NN IN NN NN NN CC NNS NN NN NN VBD VBN IN NN NN NN VBG IN NN IN CC NN NNS IN NNP 
