TMPO-AS1	TMPO	decrease Knockdown TMPO-AS1 of level the mRNA and protein TMPO of cell in NSCLC 	
BANCR	MAPK	find BANCR be regulate to proliferation LC and migration MAPK via not ERK but MAPK p38 and inactivation JNK 	
miR-675	INSR	inhibit miR-675 only not expression the IGF1R of manner in a similar human in and murine cell but observe we also it effect negative expression on the INSR of the 	
NEAT1	SR	show NEAT1 have not be bind to protein SR 	
P21	NFKB1	alter level Decreased P21 of do not transcript NFKB1 or RELA 	
P21	RELA	alter level Decreased P21 of do not transcript NFKB1 or RELA 	
H19	AFB1	clear relationship any possible AFB1 between and H19 be not 	
SAF	sFas	correlate Levels SAF of inversely production with sFas of 	
MEG3	p21	stimulate MEG3 do not expression p21 CIP1 	
Xist	Oct4	correlate level Xist and Oct4 expression be not stage at the 8-cell 	
XIST	BRCA1	have difference complex epigenetic subpopulation between tumor cell can effect striking accumulation on XIST transcription and localization but correlate this do not strictly BRCA1 with 	
cyrano	NLRP6	term In mechanism of bind cyrano directly EZH2 to and obstruct speed expression NLRP6 up progression GC 	
LINC00052	STAT3	repress LINC00052 could metastasis and invasion cell of cervical cancer suppress via STAT3 	
H19	IGF-2	observe Loss imprinting of H19 of and IGF-2 be sample in carcinoma of human bladder 	
H19	Igf-2	use We transcription-PCR reverse analyze to expression the allele-specific IGF2R of Igf-2 and H19 testis in the and ovary mouse of cross derive interspecies from an musculus between Mus and spretus Mus 	
H19	IGF2R	use We transcription-PCR reverse analyze to expression the allele-specific IGF2R of Igf-2 and H19 testis in the and ovary mouse of cross derive interspecies from an musculus between Mus and spretus Mus 	
H19	Igf2	arise pattern allelic methylation Igf2 in and H19 early embryogenesis in and change development progressively during 	
H19	Igf2	raise This possibility the involve that imprint H19 of be maintenance only in the and initiation not in the expression of monoallelic Igf2 of 	
H19	IGF2	regulate H19 In cervical cancer and expression IGF2 could be independently 	
H19	IGF2	express express IGF2 be allele only from the paternal and H19 be allele only from the maternal 	
H19	Igf2	always expression the H19 of and Igf2 gene be not allele from their respective maternal and paternal 	
H19	p95	association The H19 of and p95 expression gene warrant in drug resistance study far 	
H19	SNRPN	Using hybridization fluorescence in situ localize we homeologues the marsupial IGF2 of and H19 part to the distal 2p of tammar wallaby chromosome and homeologues the marsupial SNRPN of and ZNF127 middle to the 1q of chromosome 	
H19	KIP2	reduce WTs Among case without LOH most inactivation with H19 also have expression KIP2 and case most expression with persistent H19 have level high mRNA of KIP2 	
H19	hNAP2	homologous gene This be NAP1 to yeast nucleosome assembly protein and homologue to a human NAP1 of and designate we diverges hNAP2 it protein hNAP2 human nucleosome assembly 2 pattern in it expression H19 from IGF2 and p57KIP2 and show it expression biallelic test in all tissue 	
H19	L23MRP	describe We previously expression biallelic kb of L23MRP 40 downstream H19 of 	
H19	TNNT3	suggest expression Parallel H19 of and TNNT3 type in different adult skeletal muscle share that gene these may enhancer an 	
H19	IGF2	express play While IGF2 presumably role a tumorigenesis in H19 of Wilms tumor be not majority in the tumor of Wilms 	
H19	Igf2	dependent imprinting The Igf2 of the and Ins2 gene be transcription on the gene of the downstream H19 	
H19	Ins2	dependent imprinting The Igf2 of the and Ins2 gene be transcription on the gene of the downstream H19 	
H19	Igf2	part Igf2 and H19 be region of a large imprinting and step a a first examine we use gene these reciprocally imprint experiment in transgenic clone a kb 130 YAC 	
H19	IGF2	document Although result our instance one correlate which in loss a post neoplastic activity of H19 appear loss with imprint of IGF2 level at the cellular it independent that inactivation H19 of be generally more loss of imprinting of IGF2 of specimen at least in our 	
H19	Igf2	be There change no significant Igf2 in or H19 expression brain in 	
H19	IGF2	suggest addition In lack a correlation of IGF2 between and status H19 imprint lose that imprint any regional parental have be functionally 	
H19	Mash2	characterize We region a 800-kb end on the distal chromosome of mouse 7 contain that cluster a Kvlqt1 of four express maternally gene H19 Mash2 and Kip2 p57 Igf2 as well a two express paternally gene and Ins2 and assess expression the and imprinting Kvlqt1 of Mash2 and Kip2 p57 development during tissue in embryonic and extraembryonic 	
H19	Kvlqt1	characterize We region a 800-kb end on the distal chromosome of mouse 7 contain that cluster a Kvlqt1 of four express maternally gene H19 Mash2 and Kip2 p57 Igf2 as well a two express paternally gene and Ins2 and assess expression the and imprinting Kvlqt1 of Mash2 and Kip2 p57 development during tissue in embryonic and extraembryonic 	
H19	p57	characterize We region a 800-kb end on the distal chromosome of mouse 7 contain that cluster a Kvlqt1 of four express maternally gene H19 Mash2 and Kip2 p57 Igf2 as well a two express paternally gene and Ins2 and assess expression the and imprinting Kvlqt1 of Mash2 and Kip2 p57 development during tissue in embryonic and extraembryonic 	
H19	Igf2	locate H19 and Igf2 be domain within a large imprinting confers that silencing monoallelic allele of parental 	
H19	VHL	analyse Therefore we methylation MYC of the VHL CDKN2 and gene H19 sample in primary RCC 	
H19	CDKN2	analyse Therefore we methylation MYC of the VHL CDKN2 and gene H19 sample in primary RCC 	
H19	MYC	analyse Therefore we methylation MYC of the VHL CDKN2 and gene H19 sample in primary RCC 	
H19	CDKN2	analyse have None RCCs of the 11 methylated VHL at evidence methylation of CDKN2 at either or methylation MYC CDKN2 at demonstrate detect be however 33 in 3 or 1 RCCs of pattern without VHL methylation A normal methylation H19 at be RCCs in the three VHL with methylated 	
H19	MYC	analyse have None RCCs of the 11 methylated VHL at evidence methylation of CDKN2 at either or methylation MYC CDKN2 at demonstrate detect be however 33 in 3 or 1 RCCs of pattern without VHL methylation A normal methylation H19 at be RCCs in the three VHL with methylated 	
H19	Igf2	rule We out importance the methylation of DNA Igf2 at show by accompany that silence Igf2 of loss the methylation of DNA overcome could be mutation by a gene at the neighbor H19 activate that Igf2 	
H19	Igf2	involve model a transcriptional explanation access set to a common share of enhancer Igf2 between and H19 be the likely most imprint for Igf2 	
H19	Igf2	describe cell For origin of neuroectodermal absence complete Igf2 of and transcription H19 be previously 	
H19	Igf2	find Apart H19 from the ventral midline region and Igf2 be coexpressed to be pouch in the derive ectodermally Rathke s and organ in some circumventricular brain of the 	
BC200	La	bind As transcripts with other RNA polymerase III protein La affinity with high end to the 3 RNA of BC200 	
H19	IGF2	indicate data These prone that IGF2 not but H19 be loss to imprint of cancer in breast 	
H19	IGF2	suggest data These common that LOI H19 at and IGF2 also may be GCTs in pediatric testicular 	
H19	PR-A	provide perform Interestingly experiment the same line in BT-20 cell result similar very a obtain those cell in MCF-7 down-regulation with a clear mediate PR-A by promoter on the H19 	
H19	Igf2	subject H19 The link and gene Igf2 chromosome on mouse distal 7 be genomic to imprinting 	
H19	Igf2	require activity transcriptional promoter from the H19 be not silencing for the imprinted gene of the Igf2 	
H19	IGF-II	suggest Loss LOI of imprint IGF-II of and H19 have be event to be an early oncogenic cancerogenesis in 	
H19	SNRPN	document contrast In report to previous we could methylated rise one only case cell from germ H19 by meiosis-II nondisjunction and SNRPN be teratoma in individual range to various degree cell from normal somatic expect to level ovum 	
H19	SNRPN	increase Degrees hypomethylation of H19 and hypermethylation SNRPN origin a the cellular advance of the tumor oogenesis in and correlate be closely teratoma in individual 	
H19	Igf2	express Although lymphocyte do not H19 and Igf2 reactivate gene both be manner in a proper monoallelic cell in hybrid 	
H19	U2af1-rs1	conclude We maintain that imprint the U2af1-rs1 of the H19 and Igf2 gene be lymphocyte in mouse in adult 	
H19	Igf2	conclude We maintain that imprint the U2af1-rs1 of the H19 and Igf2 gene be lymphocyte in mouse in adult 	
H19	Igf2	model H19 The and gene insulin-like growth factor 2 Igf2 mouse in the be imprinting for genomic development during 	
MIR210HG	DNMT1	detect condition The bind MIR210HG of and DNMT1 DNA methyltransferase 1 be RNA by bind immunoprecipitation protein 	
MIR210HG	CACNA2D2	conduct experiment Rescue be assess to reverse whether CACNA2D2 can function the MIR210HG of 	
MIR210HG	DNMT1	recruit inhibit knockdown MIR210HG remarkably proliferation and migration MIR210HG of NSCLC cell could promote DNMT1 thereafter methylation overexpression of CACNA2D2 promoter region CACNA2D2 inhibit remarkably proliferation cell 	
MIR210HG	CACNA2D2	recruit inhibit knockdown AMIR210HG remarkably proliferation and migration MIR210HG of NSCLC cell could promote DNMT1 thereafter methylation overexpression of CACNA2D2 promoter region CACNA2D2 inhibit remarkably proliferation cell 	
MIR210HG	CACNA2D2	inhibit Moreover induce proliferation knockdown by MIR210HG reverse be knockdown by CACNA2D2 	
ROR	Raf	protect ROR cell H9c2 damage against hypoxia-caused regulation by miR-145 of activate through ERK Ras Raf MEK and AKT PI3K 	
MIR503HG	SOX4	induce downregulation The MIR503HG of lncRNA XAV939 by serve may role an important suppression in NSCLC miR-1273c via sponge and regulate expression SOX4 	
FAM224A	ZNF143	employ RT-PCR Quantitative and analysis western blot be detect to level the expression family of A1CF lncRNA similarity with sequence protein 224 member A FAM224A miR-590-3p zinc finger ZNF143 143 and ArfGAP repeat with SH3 domain ankyrin and ASAP3 domain PH 3 tissue in glioma and line cell 	
FAM224A	A1CF	ascertain Finally assay the xenograft tumor growth far upregulated role the biological FAM224A of A1CF and miR-590-3p A1CF in glioma cell be and function oncogene a an stabilizing via and increase expression FAM224A indicate A1CF high moreover and level FAM224A expression prognosis a poor patient for glioma 	
FENDRR	HuR	reduce FENDRR interaction the HuR of the RNA-binding protein MDR1 with act via sponge a a 	
FENDRR	MDR1	reduce FENDRR interaction the HuR of the RNA-binding protein MDR1 with act via sponge a a 	
LINC00689	PKM2	abolish restoration PKM2 of effect the silence of LINC00689 invasion on glioma cell proliferation migration and glycolysis 	
LINC00511	PTX	suppress silencing LINC00511 of could resistance cell migration to PTX cell viability cell proliferation and invasion promote yet apoptosis cell cell in PTX-resistant Hela PTX 	
LINC00511	PTX	aim study The present collect define to role the LINC00511 of long non-coding RNA lncRNA progression in the CC of involvement with the apoptosis of cell proliferation and resistance PTX to CC in Hela PTX cell and sample adjacent normal tissue be patient from 84 CC with 	
ANRIL	OGD	regulate ANRIL negatively overexpression miR-127 expression miR-127 enhance significantly injury OGD - induced PC-12 cell 	
MALAT1	ABI3BP	impede silencing MALAT1 and elevation ABI3BP development the GBC suppression through the H3K27 methylation induce highlight by EZH2 paradigm a promising competitive approach for therapeutic GBC of 	
MALAT1	MMP-9	suppress Transfection siRNA of MALAT1 expression it cell in endometrial inhibit proliferation cell or invasion enhance activity caspase 3 decrease compare iNOS NF - B or expression MMP-9 p 005 control to group 	
Evf-2	DNMT	quantify We result our evaluate by proliferation the spheroid formation and ability tumor formation proportion as well a the cell of tumor stem and recruitment the DNMT of DNA methyltransferase LCSCs in overexpressed when Evf-2 lncRNA be either or silence 	
Evf-2	DNMT1	contribute downregulation Evf-2 of lncRNA reduction to a methylation in CADM1 promoter suppression via DNMT3a of DNMT1 and DNMT3b LCSCs in and inactivate pathway the STAT3 signal 	
Evf-2	DNMT3a	contribute downregulation Evf-2 of lncRNA reduction to a methylation in CADM1 promoter suppression via DNMT3a of DNMT1 and DNMT3b LCSCs in and inactivate pathway the STAT3 signal 	
Evf-2	DNMT3b	contribute downregulation Evf-2 of lncRNA reduction to a methylation in CADM1 promoter suppression via DNMT3a of DNMT1 and DNMT3b LCSCs in and inactivate pathway the STAT3 signal 	
ROR	ERK	alleviate ROR lncRNA injury CoCl2-induced hypoxia regulation through miR-145 of signalling as well a modulate ERK and MAPK 	
ROR	MAPK	alleviate ROR lncRNA injury CoCl2-induced hypoxia regulation through miR-145 of signalling as well a modulate ERK and MAPK 	
ROR	ERK	induces CoCl2 Highlights reduce Overexpression ROR upregulation ROR of injury CoCl2-induced HK-2 cell ; promote Silence ROR of injury CoCl2-induced HK-2 cell ; Overexpression expression of ROR decrease miR-145 ; modulates overexpression ROR pathway ERK and MAPK signalling regulation through miR-145 of 	
ROR	MAPK	induces CoCl2 Highlights reduce Overexpression ROR upregulation ROR of injury CoCl2-induced HK-2 cell ; promote Silence ROR of injury CoCl2-induced HK-2 cell ; Overexpression expression of ROR decrease miR-145 ; modulates overexpression ROR pathway ERK and MAPK signalling regulation through miR-145 of 	
H19	Cox	show regression Cox and analysis correlation compete that H19 and other some RNAs endogenous network in the associate be prognosis with poor and parameter clinical grade such a tumor and metastasis 	
H19	MET	reduce Knockdown H19 of level the protein ZEB1 of MET and COL1A1 regulate H19 in vitro pathway PI3K-Akt signal network through a compete endogenous RNA and predict prognosis poor cancer in colorectal 	
TDRG1	Hela	inhibit Knockdown TDRG1 of migration the cell proliferation and invasion Hela in and cell SIHA 	
linc00423	MAPK	pulldown RNA sequence RNA and evidence RIP assay involve that linc00423 pathway in MAPK signal destabilizing via factor of nuclear T-cells of activated NFATC3 3 	
linc00423	MAPK	act linc00423 suppressor a the tumor cell in RLS regulate through level the protein NFATC3 of level at a post-transcriptional and regulate negatively pathway the MAPK signal level at a transcriptional 	
linc00423	NFATC3	pulldown RNA sequence RNA and evidence RIP assay involve that linc00423 pathway in MAPK signal destabilizing via factor of nuclear T-cells of activated NFATC3 3 	
linc00423	NFATC3	act linc00423 suppressor a the tumor cell in RLS regulate through level the protein NFATC3 of level at a post-transcriptional and regulate negatively pathway the MAPK signal level at a transcriptional 	
LINK-A	p53	enhance expression LINK-A mediate polyubiquitination K48 degradation PLC of the antigen peptide-loading complex and Rb intrinsic tumor suppressor and p53 	
SGO1-AS1	SGO1	quantify study In the current we expression SGO1 of and SGO1-AS1 tissue in 39 breast cancer and ANCTs their paired adjacent non-cancerous tissue 	
OTUD6B-AS1	OTUD6B	downregulated record While difference no be level at the basal HC between and Fb SSc dermal expression the OTUD6B-AS1 of and OTUD6B be significantly SSc in both and Fb HC dermal stimulation after PDGF manner in a time-dependent 	
OTUD6B-AS1	IL-4	observe effect mild Only and inconsistent be IL-4 with TGFbeta and knockdown IL-13 OTUD6B-AS1 Fb in and HPASMC affect do not matrix extracellular or production pro-fibrotic proinflammatory cytokine 	
OTUD6B-AS1	IL-13	observe effect mild Only and inconsistent be IL-4 with TGFbeta and knockdown IL-13 OTUD6B-AS1 Fb in and HPASMC affect do not matrix extracellular or production pro-fibrotic proinflammatory cytokine 	
OTUD6B-AS1	OTUD6B	reduce Moreover silencing OTUD6B-AS1 of significantly proliferation and suppressed apoptosis Fb in both dermal and knockdown HPASMC OTUD6B-AS1 affect do not expression OTUD6B level at the mRNA and level protein 	
OTUD6B-AS1	D1	regulates OTUD6B-AS1 proliferation and apoptosis expression via cyclin D1 gene in a sense manner independent 	
MiR-145	EPHA4	exert MiR-145 effect a protective viability in cell model in the OGD downregulating by EPHA4 	
U17HG	Oct4	form U17HG identify network a positive feedback Nanog with and Oct4 and protein 126 U17HG interact be mESCs in 	
U17HG	Nanog	form U17HG identify network a positive feedback Nanog with and Oct4 and protein 126 U17HG interact be mESCs in 	
H19	IGFBPrP1	induce define To relationship the IGFBPrP1 between and autophagy and role the H19 of IGFBPrP1 in detect IGFBPrP1 hepatic fibrosis and autophagy be ligation in bile duct fibrosis BDL - induced hepatic 	
H19	IGFBPrP1	transfected IGFBPrP1 Adenovirus-mediated be liver into mouse and cell JS-1 LY294002 with or without or rapamycin detect examine to effect the IGFBPrP1 of activation on HSCs and autophagy H19 as well a the PI3K AKT mTOR pathway lncRNA tissue in liver fibrosis and cell JS-1 induce IGFBPrP1 by be autophagy then and HSCs level activation detect be cell in JS-1 IGFBPrP1 by overexpression with H19 or expression knowdown IGFBPrP1 and level autophagy increase be concomitantly tissue in liver fibrosis with BDL-induced hepatic 	
H19	IGFBPrP1	promote addition In H19 autophagy interact by pathway with the PI3K AKT mTOR IGFBPrP1 in induce promote IGFBPrP1 HSCs activation autophagy and contribute activation to HSCs regulation via mutual H19 between and pathway the PI3K AKT mTOR 	
TUG1	HMGB1	achieve function The TUG1 of be miR-142-3p by sponge and release suppression the target of the putative HMGB1 of miR-142-3p and Rac1 	
TUG1	Rac1	achieve function The TUG1 of be miR-142-3p by sponge and release suppression the target of the putative HMGB1 of miR-142-3p and Rac1 	
MEG3	ILF3	transduce clarify To effect the MEG3 of cytotoxicity on the adenosine-induced MEG3 in hepatoma and lentivirus ILF3 be cell into human hepatoma HepG2 stimulate to overexpression MEG3 of MEG3 OE and overexpression ILF3 of ILF3 OE apply furthermore siRNA ILF3 small interfering RNA be also downregulate to expression the ILF3 of 	
MEG3	ILF3	stimulate adenosine markedly MEG3 MEG3 expression OE decrease markedly expression the ILF3 cell in HepG2 and inhibition the adenosine-induced autophagy together ratio with the AKT of p-PI3K PI3K p-AKT and mTOR p-mTOR boost be also MEG3 by OE 	
MEG3	ILF3	demonstrate study The present involve inhibition autophagy be cytotoxicity in the adenosine-induced cytotoxicity in HepG2 cell the synergized can be MEG3 by OE ILF3 via downregulated activate to mTOR PI3K Akt and inactivate pathway the beclin-1 signaling 	
LINC01410	IFITM3	inhibit Down-regulation expression of LINC01410 relate proliferation the and migration cell of pancreatic cancer BxPC-3 and mechanism it may be closely regulate to expression the miR-497-5p and IFITM3 gene 	
lncRNA-ATB	P65	facilitate Overexpression pathway of lncRNA-ATB activated nuclear factor - B and promote translocation P65 nucleus into the thus stimulate invasion glioma cell AAT3 by 	
lncRNA-ATB	P38	enhance lncRNA-ATB markedly mediate AAT3 invasion cell of glioma activation through pathway P38 mitogen-activated protein kinase P38 MAPK 	
MALAT1	ZEB1	promote addition In MALAT1 LncRNA expression ZEB1 cell in A549 	
MALAT1	ZEB1	promote MALAT1 proliferation the and resistance gefitinib cell of lung cancer miR-200a by sponge regulate which expression ZEB1 of cell in the A549 	
lncIHS	ERK	network a regulatory signal of ERK and AKT lncIHS through downstream which be SMYD3 of HBx and indicate they target that lncIHS may be a potential HCC for treat 	
lncIHS	AKT	network a regulatory signal of ERK and AKT lncIHS through downstream which be SMYD3 of HBx and indicate they target that lncIHS may be a potential HCC for treat 	
MEG3	AKT	decrease level Phosphorylated AKT of PI3K and AMPK AMP-activated protein kinase be overexpression by lncRNA MEG3 regulation via miR-211 of 	
MEG3	PI3K	decrease level Phosphorylated AKT of PI3K and AMPK AMP-activated protein kinase be overexpression by lncRNA MEG3 regulation via miR-211 of 	
MEG3	AMPK	decrease level Phosphorylated AKT of PI3K and AMPK AMP-activated protein kinase be overexpression by lncRNA MEG3 regulation via miR-211 of 	
MEG3	AMPK	inhibit AKT The PI3K and pathway AMPK be overexpression by lncRNA MEG3 regulation via miR-211 of 	
H19	AKT	explore To promote whether H19 lncRNA Long non-coding RNA could development the HL of Hodgkin s lymphoma regulate by proliferation cell expression via AKT pathway H19 hyperplasia in 60 HL tissue 40 RH reactive A20 of lymph node tissue L428 and line Ly1 cell construct evaluate be siRNA by quantitative real-time polymerase chain reaction qRT-PCR H19 and H19 pcDNA be 	
H19	AKT	detect relationship The AKT between and H19 be far blot by Western 	
H19	AKT	promote H19 Overexpressed lncRNA development HL stimulate by proliferation cell of HL pathway via AKT 	
MALAT1	LDH	increase Knockdown MALAT1 of decrease viability the cardiomyocytes of PA-treated apoptosis and reduce level the tnfa of LDH CK-MB and IL1B 	
MALAT1	HMGB1	repress downregulation the MALAT1 of expression HMGB1 thereby inhibit activation the response of the Toll-like receptor 4 TLR4 NF - B-mediated inflammatory 	
MALAT1	HOTAIR	include Expression lncRNAs of analyze transcript metastasis-associated lung adenocarcinoma HOTAIR one MALAT1 HOX transcript antisense intergenic RNA and regulator long intergenic non-protein cod ROR of reprograming or ROR be also hybridization by in situ and RT-PCR 	
ROR	HOTAIR	include Expression lncRNAs of analyze transcript metastasis-associated lung adenocarcinoma HOTAIR one MALAT1 HOX transcript antisense intergenic RNA and regulator long intergenic non-protein cod ROR of reprograming or ROR be also hybridization by in situ and RT-PCR 	
NEAT1	STAT3	prove construct Lentivirus pretransfected interference short hairpin RNA NEAT1 for be cell into CD4 + T induce before treatment protein of Th17 cell differentiation NEAT1 target STAT3 be RNA by pull down 	
NEAT1	STAT3	promote Moreover cotreatment the knockdown of NEAT1 and overexpression STAT3 differentiation Th17 cell compare knockdown with NEAT1 alone 	
NEAT1	STAT3	conclude data These molecule that NEAT1 be auxo-active cell for CD4 + T inhibit differentiate cell into Th17 and knockdown NEAT1 of positively CD4 Th17 + differentiation T cell reduce through level the STAT3 protein 	
GHET1	ABCC1	inhibit knockdown Finally GHET1 of also expression the protein of ABCC1 cell in Gemcitabine-resistant BC 	
GHET1	ABCC1	relate expression High GHET1 of be sensitivity with the low Gemcitabine to GHET1 of BC contribute resistance to chemotherapeutic Gemcitabine to BC in up-regulating through expression ABCC1 	
MALAT1	YAP	bind MALAT1 directly YAP to Yes-associated protein enhance thereby expression YAP protein and activity increase YAP transcriptional 	
TUG1	p38	reverse SB203580 the p38 MAPK inhibitor change the induce that TUG1 level in the I of Beclin1 LC3 II LC3 and p62 	
LNCAT	STAT3	enhance knockdown the LNCAT of activation the caspases-3 of and increase expression the protein JAK2 of Bax and STAT3 whereas decrease expression the BAL2 of and Bid 	
LNCAT	Bax	enhance knockdown the LNCAT of activation the caspases-3 of and increase expression the protein JAK2 of Bax and STAT3 whereas decrease expression the BAL2 of and Bid 	
LNCAT	JAK2	enhance knockdown the LNCAT of activation the caspases-3 of and increase expression the protein JAK2 of Bax and STAT3 whereas decrease expression the BAL2 of and Bid 	
LNCAT	BAL2	enhance knockdown the LNCAT of activation the caspases-3 of and increase expression the protein JAK2 of Bax and STAT3 whereas decrease expression the BAL2 of and Bid 	
LNCAT	Bid	enhance knockdown the LNCAT of activation the caspases-3 of and increase expression the protein JAK2 of Bax and STAT3 whereas decrease expression the BAL2 of and Bid 	
BANCR	Bax	detect cause An increase apoptotic level overexpression by BANCR be also and display influence a conversed Bcl-2 on and Bax expression mRNA in and protein level 	
BANCR	Bcl-2	detect cause An increase apoptotic level overexpression by BANCR be also and display influence a conversed Bcl-2 on and Bax expression mRNA in and protein level 	
AGU2	IGF2	upregulated addition In mRNA both the and protein level expression IGF2 of insulin-like growth factor 2 be remarkably overexpression after AGU2 	
UCA1	MAPK	use assay Luciferase activity be identify to CDK6 the mir-193a target 3 - weaken knockdown untranslated region UCA1 viability cell augment progression apoptosis behavior as well a suppress migration and invasion cell in glioblastoma exhibit whereas silence UCA1 function UCA1 the opposite function reverse sponge a an endogenous silence of miR-193a miR-193a function the biological knockdown of UCA1 miR-193a on U-118 MG cell regulate negatively expression the CDK6 of and affect it cell the U-118 MG regulate through abrogate overexpression CDK6 expression CDK6 blockage the MAPK of PI3K AKT mitogen-activated protein kinase and pathway Notch signaling 	
MEG3	SNRPA	reveal siRNA Screen use cause depletion SNRNP70 of U1 snRNP component SNRPA or SNRPD2 localization significant cytoplasmic transcript of MEG3 reporter 	
