TMPO-AS1	TMPO	Knockdown of TMPO-AS1 decrease the mRNA and protein level of TMPO in NSCLC cell 	
H19	AFB1	any possible relationship between AFB1 and H19 be not clear 	
SAF	sFas	Levels of SAF correlate inversely with production of sFas 	
MEG3	p21	MEG3 do not stimulate p21 CIP1 expression 	
Xist	Oct4	Xist and Oct4 expression level be not correlate at the 8-cell stage 	
XIST	BRCA1	complex epigenetic difference between tumor cell subpopulation can have striking effect on XIST transcription accumulation and localization but this do not strictly correlate with BRCA1 	
cyrano	NLRP6	In term of mechanism cyrano directly bind to EZH2 and obstruct NLRP6 expression speed up GC progression 	
LINC00052	STAT3	LINC00052 could repress metastasis and invasion of cervical cancer cell via suppress STAT3 	
H19	IGF-2	Loss of imprinting of H19 and IGF-2 be observe in sample of human bladder carcinoma 	
H19	Igf-2	We use reverse transcription-PCR to analyze the allele-specific expression of Igf-2 IGF2R and H19 in the testis and ovary of mouse derive from an interspecies cross between Mus musculus and Mus spretus 	
H19	IGF2R	We use reverse transcription-PCR to analyze the allele-specific expression of Igf-2 IGF2R and H19 in the testis and ovary of mouse derive from an interspecies cross between Mus musculus and Mus spretus 	
H19	Igf2	allelic methylation pattern in Igf2 and H19 arise early in embryogenesis and change progressively during development 	
H19	Igf2	This raise the possibility that imprint of H19 be involve only in the maintenance and not in the initiation of monoallelic expression of Igf2 	
H19	IGF2	In cervical cancer H19 and IGF2 expression could be independently regulate 	
H19	IGF2	IGF2 be express only from the paternal allele and H19 be express only from the maternal allele 	
H19	Igf2	the expression of H19 and Igf2 gene be not always from their respective maternal and paternal allele 	
H19	p95	The association of H19 and p95 gene expression in drug resistance warrant far study 	
H19	SNRPN	Using fluorescence in situ hybridization we localize the marsupial homeologues of IGF2 and H19 to the distal part of tammar wallaby chromosome 2p and the marsupial homeologues of SNRPN and ZNF127 to the middle of chromosome 1q 	
H19	KIP2	Among WTs without LOH most case with H19 inactivation also have reduce KIP2 expression and most case with persistent H19 expression have high level of KIP2 mRNA 	
H19	hNAP2	This gene be homologous to yeast nucleosome assembly protein NAP1 and to a human homologue of NAP1 and we designate it hNAP2 human nucleosome assembly protein 2 hNAP2 diverges in it expression pattern from IGF2 H19 and p57KIP2 and it show biallelic expression in all tissue test 	
H19	L23MRP	We previously describe biallelic expression of L23MRP 40 kb downstream of H19 	
H19	TNNT3	Parallel expression of H19 and TNNT3 in different adult skeletal muscle type suggest that these gene may share an enhancer 	
H19	IGF2	While IGF2 presumably play a role in tumorigenesis of Wilms tumor H19 be not express in the majority of Wilms tumor 	
H19	Igf2	The imprinting of the Igf2 and Ins2 gene be dependent on the transcription of the downstream H19 gene 	
H19	Ins2	The imprinting of the Igf2 and Ins2 gene be dependent on the transcription of the downstream H19 gene 	
H19	Igf2	Igf2 and H19 be part of a large imprinting region and a a first step we examine these reciprocally imprint gene in transgenic experiment use a 130 kb YAC clone 	
H19	IGF2	Although our result document one instance in which a post neoplastic loss of H19 activity correlate with loss of IGF2 imprint at the cellular level it appear that inactivation of H19 be more generally independent of loss of imprinting of IGF2 at least in our specimen 	
H19	Igf2	There be no significant change in Igf2 or H19 expression in brain 	
H19	IGF2	In addition a lack of correlation between IGF2 and H19 imprint status suggest that any regional parental imprint have be functionally lose 	
H19	Mash2	We characterize a 800-kb region on the distal end of mouse chromosome 7 that contain a cluster of four maternally express gene H19 Mash2 Kvlqt1 and p57 Kip2 as well a two paternally express gene Igf2 and Ins2 and assess the expression and imprinting of Mash2 Kvlqt1 and p57 Kip2 during development in embryonic and extraembryonic tissue 	
H19	Kvlqt1	We characterize a 800-kb region on the distal end of mouse chromosome 7 that contain a cluster of four maternally express gene H19 Mash2 Kvlqt1 and p57 Kip2 as well a two paternally express gene Igf2 and Ins2 and assess the expression and imprinting of Mash2 Kvlqt1 and p57 Kip2 during development in embryonic and extraembryonic tissue 	
H19	p57	We characterize a 800-kb region on the distal end of mouse chromosome 7 that contain a cluster of four maternally express gene H19 Mash2 Kvlqt1 and p57 Kip2 as well a two paternally express gene Igf2 and Ins2 and assess the expression and imprinting of Mash2 Kvlqt1 and p57 Kip2 during development in embryonic and extraembryonic tissue 	
H19	Igf2	H19 and Igf2 be locate within a large imprinting domain that confers monoallelic silencing of parental allele 	
H19	VHL	Therefore we analyse methylation of the VHL CDKN2 MYC and H19 gene in primary RCC sample 	
H19	CDKN2	Therefore we analyse methylation of the VHL CDKN2 MYC and H19 gene in primary RCC sample 	
H19	MYC	Therefore we analyse methylation of the VHL CDKN2 MYC and H19 gene in primary RCC sample 	
H19	CDKN2	None of the 11 RCCs methylated at VHL have evidence of methylation at either CDKN2 or MYC methylation at CDKN2 be however detect in 3 or 1 33 of RCCs without VHL methylation A normal methylation pattern at H19 be demonstrate in the three RCCs with methylated VHL analyse 	
H19	MYC	None of the 11 RCCs methylated at VHL have evidence of methylation at either CDKN2 or MYC methylation at CDKN2 be however detect in 3 or 1 33 of RCCs without VHL methylation A normal methylation pattern at H19 be demonstrate in the three RCCs with methylated VHL analyse 	
H19	Igf2	We rule out the importance of DNA methylation at Igf2 by show that silence of Igf2 accompany the loss of DNA methylation could be overcome by a mutation at the neighbor H19 gene that activate Igf2 	
H19	Igf2	a transcriptional model involve access to a common set of enhancer share between Igf2 and H19 be the most likely explanation for Igf2 imprint 	
H19	Igf2	For cell of neuroectodermal origin complete absence of Igf2 and H19 transcription be previously describe 	
H19	Igf2	Apart from the ventral midline region H19 and Igf2 be find to be coexpressed in the ectodermally derive Rathke s pouch and in some circumventricular organ of the brain 	
BC200	La	As with other RNA polymerase III transcripts La protein bind with high affinity to the 3 end of BC200 RNA 	
H19	IGF2	These data indicate that IGF2 but not H19 be prone to loss of imprint in breast cancer 	
H19	IGF2	These data suggest that LOI at H19 and IGF2 also may be common in pediatric testicular GCTs 	
H19	PR-A	Interestingly the same experiment perform in BT-20 cell line provide very similar result a those obtain in MCF-7 cell with a clear down-regulation mediate by PR-A on the H19 promoter 	
H19	Igf2	The link H19 and Igf2 gene on mouse distal chromosome 7 be subject to genomic imprinting 	
H19	Igf2	transcriptional activity from the H19 promoter be not require for the imprinted silencing of the Igf2 gene 	
H19	IGF-II	Loss of imprint LOI of IGF-II and H19 have be suggest to be an early oncogenic event in cancerogenesis 	
H19	SNRPN	In contrast to previous report we could document only one case rise from germ cell by meiosis-II nondisjunction H19 and SNRPN be methylated in individual teratoma to various degree range from normal somatic cell to expect ovum level 	
H19	SNRPN	Degrees of H19 hypomethylation and SNRPN hypermethylation increase a the cellular origin of the tumor advance in oogenesis and be closely correlate in individual teratoma 	
H19	Igf2	Although lymphocyte do not express H19 and Igf2 both gene be reactivate in a proper monoallelic manner in hybrid cell 	
H19	U2af1-rs1	We conclude that the imprint of the H19 U2af1-rs1 and Igf2 gene be maintain in lymphocyte in adult mouse 	
H19	Igf2	We conclude that the imprint of the H19 U2af1-rs1 and Igf2 gene be maintain in lymphocyte in adult mouse 	
H19	Igf2	The H19 and insulin-like growth factor 2 Igf2 gene in the mouse be model for genomic imprinting during development 	
MIR210HG	DNMT1	The bind condition of MIR210HG and DNA methyltransferase 1 DNMT1 be detect by RNA bind protein immunoprecipitation 	
MIR210HG	CACNA2D2	Rescue experiment be conduct to assess whether CACNA2D2 can reverse the function of MIR210HG 	
MIR210HG	DNMT1	MIR210HG knockdown remarkably inhibit proliferation and migration of NSCLC cell MIR210HG could recruit DNMT1 thereafter promote methylation of CACNA2D2 promoter region CACNA2D2 overexpression remarkably inhibit cell proliferation 	
MIR210HG	CACNA2D2	AMIR210HG knockdown remarkably inhibit proliferation and migration of NSCLC cell MIR210HG could recruit DNMT1 thereafter promote methylation of CACNA2D2 promoter region CACNA2D2 overexpression remarkably inhibit cell proliferation 	
MIR210HG	CACNA2D2	Moreover inhibit proliferation induce by MIR210HG knockdown be reverse by CACNA2D2 knockdown 	
ROR	Raf	ROR protect H9c2 cell against hypoxia-caused damage by regulation of miR-145 through activate Ras Raf MEK ERK and PI3K AKT 	
MIR503HG	SOX4	The downregulation of lncRNA MIR503HG induce by XAV939 may serve an important role in NSCLC suppression via sponge miR-1273c and regulate SOX4 expression 	
FAM224A	ZNF143	Quantitative RT-PCR and western blot analysis be employ to detect the expression level of A1CF lncRNA family with sequence similarity 224 member A FAM224A miR-590-3p zinc finger protein 143 ZNF143 and ArfGAP with SH3 domain ankyrin repeat and PH domain 3 ASAP3 in glioma tissue and cell line 	
FAM224A	A1CF	Finally the xenograft tumor growth assay far ascertain the biological role of A1CF FAM224A and miR-590-3p in glioma cell A1CF be upregulated and function a an oncogene via stabilizing and increase FAM224A expression moreover high A1CF and FAM224A expression level indicate a poor prognosis for glioma patient 	
FENDRR	HuR	FENDRR reduce the interaction of the RNA-binding protein HuR with MDR1 via act a a sponge 	
FENDRR	MDR1	FENDRR reduce the interaction of the RNA-binding protein HuR with MDR1 via act a a sponge 	
LINC00689	PKM2	restoration of PKM2 abolish the effect of LINC00689 silence on glioma cell proliferation migration invasion and glycolysis 	
LINC00511	PTX	silencing of LINC00511 could suppress cell resistance to PTX cell viability cell proliferation migration and invasion yet promote cell apoptosis in PTX-resistant Hela PTX cell 	
LINC00511	PTX	The present study aim to define the role of long non-coding RNA lncRNA LINC00511 in the progression of CC with the involvement of cell proliferation apoptosis and resistance to PTX in Hela PTX cell CC and adjacent normal tissue sample be collect from 84 patient with CC 	
ANRIL	OGD	ANRIL negatively regulate miR-127 expression miR-127 overexpression significantly enhance OGD -induced PC-12 cell injury 	
MALAT1	ABI3BP	MALAT1 silencing and ABI3BP elevation impede the GBC development through the H3K27 methylation suppression induce by EZH2 highlight a promising competitive paradigm for therapeutic approach of GBC 	
MALAT1	MMP-9	Transfection of MALAT1 siRNA suppress it expression in endometrial cell inhibit cell proliferation or invasion enhance caspase 3 activity decrease NF- B iNOS or MMP-9 expression p 005 compare to control group 	
Evf-2	DNMT	We quantify our result by evaluate the spheroid formation proliferation and tumor formation ability as well a the proportion of tumor stem cell and the recruitment of DNA methyltransferase DNMT in LCSCs when lncRNA Evf-2 be either overexpressed or silence 	
Evf-2	DNMT1	downregulation of lncRNA Evf-2 contribute to a reduction in CADM1 promoter methylation via suppression of DNMT1 DNMT3a and DNMT3b in LCSCs and inactivate the STAT3 signal pathway 	
Evf-2	DNMT3a	downregulation of lncRNA Evf-2 contribute to a reduction in CADM1 promoter methylation via suppression of DNMT1 DNMT3a and DNMT3b in LCSCs and inactivate the STAT3 signal pathway 	
Evf-2	DNMT3b	downregulation of lncRNA Evf-2 contribute to a reduction in CADM1 promoter methylation via suppression of DNMT1 DNMT3a and DNMT3b in LCSCs and inactivate the STAT3 signal pathway 	
ROR	ERK	lncRNA ROR alleviate CoCl2-induced hypoxia injury through regulation of miR-145 as well a modulate ERK and MAPK signalling 	
ROR	MAPK	lncRNA ROR alleviate CoCl2-induced hypoxia injury through regulation of miR-145 as well a modulate ERK and MAPK signalling 	
ROR	ERK	Highlights CoCl2 induces ROR upregulation Overexpression of ROR reduce CoCl2-induced HK-2 cell injury ; Silence of ROR promote CoCl2-induced HK-2 cell injury ; Overexpression of ROR decrease miR-145 expression ; ROR overexpression modulates ERK and MAPK signalling pathway through regulation of miR-145 	
ROR	MAPK	Highlights CoCl2 induces ROR upregulation Overexpression of ROR reduce CoCl2-induced HK-2 cell injury ; Silence of ROR promote CoCl2-induced HK-2 cell injury ; Overexpression of ROR decrease miR-145 expression ; ROR overexpression modulates ERK and MAPK signalling pathway through regulation of miR-145 	
H19	Cox	Cox regression and correlation analysis show that H19 and some other compete endogenous RNAs in the network be associate with poor prognosis and clinical parameter such a tumor grade and metastasis 	
H19	MET	Knockdown of H19 reduce the protein level of MET ZEB1 and COL1A1 in vitro H19 regulate PI3K-Akt signal pathway through a compete endogenous RNA network and predict poor prognosis in colorectal cancer 	
TDRG1	Hela	Knockdown of TDRG1 inhibit the cell proliferation migration and invasion in Hela and SIHA cell 	
linc00423	MAPK	RNA sequence RNA pulldown and RIP assay evidence that linc00423 involve in MAPK signal pathway via destabilizing of nuclear factor of activated T-cells 3 NFATC3 	
linc00423	MAPK	linc00423 act a the tumor suppressor in RLS cell through regulate the protein level of NFATC3 at a post-transcriptional level and negatively regulate the MAPK signal pathway at a transcriptional level 	
linc00423	NFATC3	RNA sequence RNA pulldown and RIP assay evidence that linc00423 involve in MAPK signal pathway via destabilizing of nuclear factor of activated T-cells 3 NFATC3 	
linc00423	NFATC3	linc00423 act a the tumor suppressor in RLS cell through regulate the protein level of NFATC3 at a post-transcriptional level and negatively regulate the MAPK signal pathway at a transcriptional level 	
LINK-A	p53	LINK-A expression enhance K48 polyubiquitination mediate degradation of the antigen peptide-loading complex PLC and intrinsic tumor suppressor Rb and p53 	
SGO1-AS1	SGO1	In the current study we quantify expression of SGO1 and SGO1-AS1 in 39 breast cancer tissue and their paired adjacent non-cancerous tissue ANCTs 	
OTUD6B-AS1	OTUD6B	While no difference be record at the basal level between HC and SSc dermal Fb the expression of OTUD6B-AS1 and OTUD6B be significantly downregulated in both SSc and HC dermal Fb after PDGF stimulation in a time-dependent manner 	
OTUD6B-AS1	IL-4	Only mild and inconsistent effect be observe with TGFbeta IL-4 and IL-13 OTUD6B-AS1 knockdown in Fb and HPASMC do not affect extracellular matrix or pro-fibrotic proinflammatory cytokine production 	
OTUD6B-AS1	IL-13	Only mild and inconsistent effect be observe with TGFbeta IL-4 and IL-13 OTUD6B-AS1 knockdown in Fb and HPASMC do not affect extracellular matrix or pro-fibrotic proinflammatory cytokine production 	
OTUD6B-AS1	OTUD6B	Moreover silencing of OTUD6B-AS1 significantly reduce proliferation and suppressed apoptosis in both dermal Fb and HPASMC OTUD6B-AS1 knockdown do not affect OTUD6B expression at the mRNA level and protein level 	
OTUD6B-AS1	D1	OTUD6B-AS1 regulates proliferation and apoptosis via cyclin D1 expression in a sense gene independent manner 	
MiR-145	EPHA4	MiR-145 exert a protective effect in cell viability in the OGD model by downregulating EPHA4 	
U17HG	Oct4	U17HG form a positive feedback network with Nanog and Oct4 and 126 U17HG interact protein be identify in mESCs 	
U17HG	Nanog	U17HG form a positive feedback network with Nanog and Oct4 and 126 U17HG interact protein be identify in mESCs 	
H19	IGFBPrP1	To define the relationship between IGFBPrP1 and autophagy and the role of H19 in IGFBPrP1 induce hepatic fibrosis IGFBPrP1 and autophagy be detect in bile duct ligation BDL -induced hepatic fibrosis 	
H19	IGFBPrP1	Adenovirus-mediated IGFBPrP1 be transfected into mouse liver and JS-1 cell with or without LY294002 or rapamycin to examine the effect of IGFBPrP1 on HSCs activation and autophagy as well a the PI3K AKT mTOR pathway lncRNA H19 in liver fibrosis tissue and JS-1 cell induce by IGFBPrP1 be detect then autophagy and HSCs activation level be detect in JS-1 cell by IGFBPrP1 with H19 overexpression or knowdown IGFBPrP1 expression and autophagy level be concomitantly increase in liver tissue with BDL-induced hepatic fibrosis 	
H19	IGFBPrP1	In addition H19 promote autophagy by interact with the PI3K AKT mTOR pathway in IGFBPrP1 induce HSCs activation IGFBPrP1 promote autophagy and contribute to HSCs activation via mutual regulation between H19 and the PI3K AKT mTOR pathway 	
TUG1	HMGB1	The function of TUG1 be achieve by sponge miR-142-3p and release the suppression of the putative target of miR-142-3p HMGB1 and Rac1 	
TUG1	Rac1	The function of TUG1 be achieve by sponge miR-142-3p and release the suppression of the putative target of miR-142-3p HMGB1 and Rac1 	
MEG3	ILF3	To clarify the effect of MEG3 on the adenosine-induced cytotoxicity in hepatoma MEG3 and ILF3 lentivirus be transduce into human hepatoma HepG2 cell to stimulate overexpression of MEG3 OE MEG3 and overexpression of ILF3 OE ILF3 furthermore ILF3 small interfering RNA siRNA be also apply to downregulate the expression of ILF3 	
MEG3	ILF3	adenosine markedly stimulate MEG3 expression OE MEG3 markedly decrease the ILF3 expression in HepG2 cell and the adenosine-induced autophagy inhibition together with the ratio of p-PI3K PI3K p-AKT AKT and p-mTOR mTOR be also boost by OE MEG3 	
MEG3	ILF3	The present study demonstrate autophagy inhibition be involve in the adenosine-induced cytotoxicity in HepG2 cell the cytotoxicity can be synergized by OE MEG3 via downregulated ILF3 to activate PI3K Akt mTOR and inactivate the beclin-1 signaling pathway 	
LINC01410	IFITM3	Down-regulation of LINC01410 expression inhibit the proliferation and migration of pancreatic cancer BxPC-3 cell and it mechanism may be closely relate to regulate the miR-497-5p and IFITM3 gene expression 	
lncRNA-ATB	P65	Overexpression of lncRNA-ATB activated nuclear factor- B pathway and promote P65 translocation into the nucleus thus facilitate glioma cell invasion stimulate by AAT3 	
lncRNA-ATB	P38	lncRNA-ATB markedly enhance AAT3 mediate invasion of glioma cell through activation P38 mitogen-activated protein kinase P38 MAPK pathway 	
MALAT1	ZEB1	In addition LncRNA MALAT1 promote ZEB1 expression in A549 cell 	
MALAT1	ZEB1	MALAT1 promote the proliferation and gefitinib resistance of lung cancer cell by sponge miR-200a which regulate expression of ZEB1 in the A549 cell 	
lncIHS	ERK	a regulatory network of ERK and AKT signal through lncIHS which be downstream of HBx SMYD3 and they indicate that lncIHS may be a potential target for treat HCC 	
lncIHS	AKT	a regulatory network of ERK and AKT signal through lncIHS which be downstream of HBx SMYD3 and they indicate that lncIHS may be a potential target for treat HCC 	
MEG3	AKT	Phosphorylated level of PI3K AKT and AMP-activated protein kinase AMPK be decrease by lncRNA MEG3 overexpression via regulation of miR-211 	
MEG3	PI3K	Phosphorylated level of PI3K AKT and AMP-activated protein kinase AMPK be decrease by lncRNA MEG3 overexpression via regulation of miR-211 	
MEG3	AMPK	Phosphorylated level of PI3K AKT and AMP-activated protein kinase AMPK be decrease by lncRNA MEG3 overexpression via regulation of miR-211 	
MEG3	AMPK	The PI3K AKT and AMPK pathway be inhibit by lncRNA MEG3 overexpression via regulation of miR-211 	
H19	AKT	To explore whether lncRNA Long non-coding RNA H19 could promote the development of Hodgkin s lymphoma HL by regulate cell proliferation via AKT pathway H19 expression in 60 HL tissue 40 RH reactive hyperplasia of lymph node tissue L428 A20 and Ly1 cell line be evaluate by quantitative real-time polymerase chain reaction qRT-PCR H19 siRNA and pcDNA H19 be construct 	
H19	AKT	The relationship between AKT and H19 be far detect by Western blot 	
H19	AKT	Overexpressed lncRNA H19 promote HL development by stimulate proliferation of HL cell via AKT pathway 	
MALAT1	LDH	Knockdown of MALAT1 increase the viability of PA-treated cardiomyocytes decrease apoptosis and reduce the level of LDH CK-MB tnfa and IL1B 	
MALAT1	HMGB1	the downregulation of MALAT1 repress HMGB1 expression thereby inhibit the activation of the Toll-like receptor 4 TLR4 NF- B-mediated inflammatory response 	
MALAT1	HOTAIR	Expression of lncRNAs include metastasis-associated lung adenocarcinoma transcript one MALAT1 HOX transcript antisense intergenic RNA HOTAIR and long intergenic non-protein cod regulator of reprograming ROR or ROR be also analyze by in situ hybridization and RT-PCR 	
ROR	HOTAIR	Expression of lncRNAs include metastasis-associated lung adenocarcinoma transcript one MALAT1 HOX transcript antisense intergenic RNA HOTAIR and long intergenic non-protein cod regulator of reprograming ROR or ROR be also analyze by in situ hybridization and RT-PCR 	
NEAT1	STAT3	Lentivirus construct short hairpin RNA interference for NEAT1 be pretransfected into CD4+ T cell before induce treatment of Th17 cell differentiation NEAT1 target STAT3 protein be prove by RNA pull down 	
NEAT1	STAT3	Moreover the cotreatment of NEAT1 knockdown and STAT3 overexpression promote Th17 cell differentiation compare with NEAT1 knockdown alone 	
NEAT1	STAT3	These data conclude that NEAT1 be auxo-active molecule for CD4+ T cell differentiate into Th17 cell and knockdown of NEAT1 positively inhibit Th17 CD4+ T cell differentiation through reduce the STAT3 protein level 	
GHET1	ABCC1	Finally knockdown of GHET1 also inhibit the expression of ABCC1 protein in Gemcitabine-resistant BC cell 	
GHET1	ABCC1	High expression of GHET1 be relate with the low sensitivity to Gemcitabine of BC GHET1 contribute to chemotherapeutic resistance to Gemcitabine in BC through up-regulating ABCC1 expression 	
MALAT1	YAP	MALAT1 bind directly to Yes-associated protein YAP thereby enhance YAP protein expression and increase YAP transcriptional activity 	
TUG1	p38	the p38 MAPK inhibitor SB203580 reverse the change that TUG1 induce in the level of Beclin1 LC3 II LC3 I and p62 	
LNCAT	STAT3	the knockdown of LNCAT enhance the activation of caspases-3 and increase the protein expression of Bax JAK2 and STAT3 whereas decrease the expression of BAL2 and Bid 	
LNCAT	Bax	the knockdown of LNCAT enhance the activation of caspases-3 and increase the protein expression of Bax JAK2 and STAT3 whereas decrease the expression of BAL2 and Bid 	
LNCAT	JAK2	the knockdown of LNCAT enhance the activation of caspases-3 and increase the protein expression of Bax JAK2 and STAT3 whereas decrease the expression of BAL2 and Bid 	
LNCAT	BAL2	the knockdown of LNCAT enhance the activation of caspases-3 and increase the protein expression of Bax JAK2 and STAT3 whereas decrease the expression of BAL2 and Bid 	
LNCAT	Bid	the knockdown of LNCAT enhance the activation of caspases-3 and increase the protein expression of Bax JAK2 and STAT3 whereas decrease the expression of BAL2 and Bid 	
BANCR	Bax	An increase apoptotic level cause by BANCR overexpression be also detect and display a conversed influence on Bcl-2 and Bax expression in mRNA and protein level 	
BANCR	Bcl-2	An increase apoptotic level cause by BANCR overexpression be also detect and display a conversed influence on Bcl-2 and Bax expression in mRNA and protein level 	
AGU2	IGF2	In addition both the mRNA and protein expression level of insulin-like growth factor 2 IGF2 be remarkably upregulated after AGU2 overexpression 	
UCA1	MAPK	Luciferase activity assay be use to identify the mir-193a target CDK6 3 -untranslated region UCA1 knockdown weaken cell viability augment apoptosis progression as well a suppress migration and invasion behavior in glioblastoma cell whereas UCA1 silence exhibit the opposite function UCA1 function a an endogenous sponge of miR-193a miR-193a silence reverse the biological function of UCA1 knockdown on U-118 MG cell miR-193a negatively regulate the expression of CDK6 and it affect the U-118 MG cell through regulate CDK6 expression CDK6 overexpression abrogate the blockage of PI3K AKT mitogen-activated protein kinase MAPK and Notch signaling pathway 	
MEG3	SNRPA	Screen use siRNA reveal depletion of U1 snRNP component SNRPA SNRNP70 or SNRPD2 cause significant cytoplasmic localization of MEG3 reporter transcript 	
