TMPO-AS1	TMPO	decreased Knockdown TMPO-AS1 of mRNA the and protein levels TMPO of cells in NSCLC 
H19	hNAP2	homologous gene This is NAP1 to yeast nucleosome assembly protein and homologue to a human NAP1 of and designate we diverges it hNAP2 protein hNAP2 human nucleosome assembly 2 pattern in its expression H19 from IGF2 and p57KIP2 and shows it expression biallelic tissues in all tested 
H19	L23MRP	described We previously expression biallelic kb of L23MRP 40 downstream H19 of 
H19	TNNT3	suggests expression Parallel H19 of and TNNT3 types in different adult skeletal muscle share that genes these may enhancer an 
H19	IGF2	expressed plays While IGF2 presumably role a tumorigenesis in H19 of Wilms tumor is not majority in the tumors of Wilms 
H19	Igf2	dependent imprinting The Igf2 of the and Ins2 genes is transcription on the gene of the downstream H19 
H19	Ins2	dependent imprinting The Igf2 of the and Ins2 genes is transcription on the gene of the downstream H19 
H19	Igf2	part Igf2 and H19 are region of a larger imprinting and step as a first examined we genes these reciprocally imprinted experiments in transgenic using clone a kb 130 YAC 
H19	IGF2	document Although results our instance one correlates which in loss a post neoplastic activity of H19 loss with IGF2 of imprinting appears level at the cellular it independent that inactivation H19 of is generally more loss of imprinting of IGF2 of specimens at least in our 
H19	Igf2	was There change no significant expression Igf2 in or H19 brain in 
H19	IGF2	suggests addition In lack a correlation of IGF2 between and status H19 imprinting lost that imprint any regional parental has been functionally 
H19	Mash2	characterize We region a 800-kb end on the distal chromosome of mouse 7 contains that cluster a genes of four expressed maternally Kvlqt1 H19 Mash2 and Kip2 p57 as well as genes two expressed paternally Igf2 and Ins2 and assess expression the and imprinting Kvlqt1 of Mash2 and Kip2 p57 development during tissues in embryonic and extraembryonic 
H19	Kvlqt1	characterize We region a 800-kb end on the distal chromosome of mouse 7 contains that cluster a genes of four expressed maternally Kvlqt1 H19 Mash2 and Kip2 p57 as well as genes two expressed paternally Igf2 and Ins2 and assess expression the and imprinting Kvlqt1 of Mash2 and Kip2 p57 development during tissues in embryonic and extraembryonic 
H19	p57	characterize We region a 800-kb end on the distal chromosome of mouse 7 contains that cluster a genes of four expressed maternally Kvlqt1 H19 Mash2 and Kip2 p57 as well as genes two expressed paternally Igf2 and Ins2 and assess expression the and imprinting Kvlqt1 of Mash2 and Kip2 p57 development during tissues in embryonic and extraembryonic 
H19	Igf2	located H19 and Igf2 are domain within a large imprinting confers that silencing monoallelic alleles of parental 
H19	VHL	analysed Therefore we methylation MYC of the VHL CDKN2 and H19 genes samples in primary RCC 
H19	CDKN2	analysed Therefore we methylation MYC of the VHL CDKN2 and H19 genes samples in primary RCC 
H19	MYC	analysed Therefore we methylation MYC of the VHL CDKN2 and H19 genes samples in primary RCC 
H19	CDKN2	demonstrated detected had None RCCs of the 11 methylated VHL at evidence methylation of CDKN2 at either or methylation MYC CDKN2 at was however % in 3 or 33 1 RCCs of pattern without VHL methylation A normal methylation H19 at was RCCs in the three VHL with methylated analysed 
H19	MYC	demonstrated detected had None RCCs of the 11 methylated VHL at evidence methylation of CDKN2 at either or methylation MYC CDKN2 at was however % in 3 or 33 1 RCCs of pattern without VHL methylation A normal methylation H19 at was RCCs in the three VHL with methylated analysed 
H19	Igf2	ruled We out importance the methylation of DNA Igf2 at showing by that silencing overcome of Igf2 accompanying loss the methylation of DNA could be mutation by a gene at the neighboring H19 activates that Igf2 
H19	Igf2	explanation model a transcriptional involving access set to a common enhancers of shared Igf2 between and H19 is the likely most Igf2 for imprinting 
H19	Igf2	described cells For origin of neuroectodermal absence complete Igf2 of and transcription H19 was previously 
H19	Igf2	found Apart H19 from the ventral midline region and Igf2 were coexpressed to be pouch in the derived ectodermally Rathke s and organs in some circumventricular brain of the 
BC200	La	binds As transcripts with other RNA polymerase III protein La affinity with high end to the 3 RNA of BC200 
H19	IGF2	indicate data These prone that IGF2 not but H19 is loss to imprinting of cancer in breast 
H19	IGF2	suggest data These common that LOI H19 at and IGF2 also may be GCTs in pediatric testicular 
H19	PR-A	provided Interestingly experiments the same performed line in BT-20 cell results similar very those as obtained cells in MCF-7 down-regulation with a clear mediated PR-A by promoter on the H19 
H19	Igf2	subject H19 The linked and genes Igf2 chromosome on mouse distal 7 are genomic to imprinting 
H19	Igf2	required activity transcriptional promoter from the H19 is not silencing for the imprinted gene of the Igf2 
H19	IGF-II	suggested Loss imprinting of LOI IGF-II of and H19 has been event to be an early oncogenic cancerogenesis in 
H19	SNRPN	document contrast In reports to previous we could methylated case one only rising cells from germ H19 by meiosis-II nondisjunction and SNRPN were teratomas in individual degrees to various ranging cell from normal somatic levels to expected ovum 
H19	SNRPN	increased Degrees hypomethylation of H19 and hypermethylation SNRPN origin as the cellular tumors of the advanced oogenesis in and correlated were closely teratomas in individual 
H19	Igf2	reactivated express Although lymphocytes do not H19 and Igf2 genes both are manner in a proper monoallelic cells in hybrid 
H19	U2af1-rs1	conclude We maintained that imprints the U2af1-rs1 of the H19 and Igf2 genes are lymphocytes in mice in adult 
H19	Igf2	conclude We maintained that imprints the U2af1-rs1 of the H19 and Igf2 genes are lymphocytes in mice in adult 
H19	Igf2	models H19 The and genes insulin-like growth factor 2 Igf2 mouse in the are imprinting for genomic development during 
MIR210HG	DNMT1	detected condition The binding MIR210HG of and DNMT1 DNA methyltransferase 1 was protein by RNA binding immunoprecipitation 
MIR210HG	CACNA2D2	conducted experiments Rescue were assess to reverse whether CACNA2D2 can function the MIR210HG of 
MIR210HG	DNMT1	recruit inhibited knockdown MIR210HG remarkably proliferation and migration cells of NSCLC MIR210HG could inhibited DNMT1 promoting thereafter methylation overexpression of CACNA2D2 promoter region CACNA2D2 remarkably proliferation cell 
MIR210HG	CACNA2D2	recruit inhibited knockdown AMIR210HG remarkably proliferation and migration cells of NSCLC MIR210HG could inhibited DNMT1 promoting thereafter methylation overexpression of CACNA2D2 promoter region CACNA2D2 remarkably proliferation cell 
MIR210HG	CACNA2D2	reversed inhibited Moreover proliferation induced knockdown by MIR210HG was knockdown by CACNA2D2 
ROR	Raf	protected ROR cells H9c2 damages against hypoxia-caused regulation by miR-145 of activating through ERK Ras Raf MEK and AKT PI3K 
MIR503HG	SOX4	serve downregulation The MIR503HG of lncRNA induced XAV939 by may role an important suppression in NSCLC sponging via miR-1273c and regulating expression SOX4 
FAM224A	ZNF143	employed RT-PCR Quantitative and analysis western blot were detect to levels the expression family of A1CF lncRNA similarity with sequence protein 224 member A FAM224A miR-590-3p zinc finger ZNF143 143 and ArfGAP repeat with SH3 domain ankyrin and ASAP3 domain PH 3 tissues in glioma and lines cell 
FAM224A	A1CF	ascertained Finally assay the xenograft tumor growth further roles the biological FAM224A of A1CF and miR-590-3p upregulated cells in glioma A1CF was and functioned oncogene as an stabilizing via and increasing expression FAM224A ; indicated A1CF high moreover and levels FAM224A expression prognosis a poorer patients for glioma 
FENDRR	HuR	reduces FENDRR interaction the HuR of the RNA-binding protein MDR1 with acting via sponge as a 
FENDRR	MDR1	reduces FENDRR interaction the HuR of the RNA-binding protein MDR1 with acting via sponge as a 
LINC00689	PKM2	abolished restoration PKM2 of effects the silencing of LINC00689 invasion on glioma cell proliferation migration and glycolysis 
LINC00511	PTX	suppress silencing LINC00511 of could resistance cell migration to PTX cell viability cell proliferation and invasion promoted yet apoptosis cell cells in PTX-resistant Hela PTX 
LINC00511	PTX	collected aims study The present define to role the LINC00511 of long non-coding RNA lncRNA progression in the CC of involvement with the apoptosis of cell proliferation and resistance PTX to cells in Hela PTX CC and samples adjacent normal tissue were patients from 84 CC with 
ANRIL	OGD	regulated ANRIL negatively overexpression miR-127 expression miR-127 enhanced significantly injury OGD - induced PC-12 cell 
MALAT1	ABI3BP	impede silencing MALAT1 and elevation ABI3BP development the GBC suppression through the H3K27 methylation induced EZH2 by highlighting paradigm a promising competitive approaches for therapeutic GBC of 
MALAT1	MMP-9	suppressed Transfection siRNA of MALAT1 inhibited expression its cells in endometrial proliferation cell or invasion enhanced decreased activity caspase 3 iNOS NF-κB or MMP-9 005 expression p < comparing control to group 
Evf-2	DNMT	quantified We results our evaluating by proliferation the spheroid formation and abilities tumor formation as well as proportion the cells of tumor stem and recruitment the DNMT of DNA methyltransferase LCSCs in overexpressed when Evf-2 lncRNA was either or silenced 
Evf-2	DNMT1	contributed downregulation Evf-2 of lncRNA reduction to a methylation in CADM1 promoter suppression via DNMT3a of DNMT1 and DNMT3b LCSCs in and inactivating pathway the STAT3 signaling 
Evf-2	DNMT3a	contributed downregulation Evf-2 of lncRNA reduction to a methylation in CADM1 promoter suppression via DNMT3a of DNMT1 and DNMT3b LCSCs in and inactivating pathway the STAT3 signaling 
Evf-2	DNMT3b	contributed downregulation Evf-2 of lncRNA reduction to a methylation in CADM1 promoter suppression via DNMT3a of DNMT1 and DNMT3b LCSCs in and inactivating pathway the STAT3 signaling 
ROR	ERK	alleviated ROR lncRNA injury CoCl2-induced hypoxia regulation through miR-145 of as well as modulating signalling ERK and MAPK 
ROR	MAPK	alleviated ROR lncRNA injury CoCl2-induced hypoxia regulation through miR-145 of as well as modulating signalling ERK and MAPK 
ROR	ERK	induces CoCl2 Highlights upregulation ROR ; reduces Overexpression ROR of injury CoCl2-induced HK-2 cell ; promotes Silence ROR of injury CoCl2-induced HK-2 cell ; decreases Overexpression ROR of expression miR-145 ; modulates overexpression ROR pathways ERK and MAPK signalling regulation through miR-145 of 
ROR	MAPK	induces CoCl2 Highlights upregulation ROR ; reduces Overexpression ROR of injury CoCl2-induced HK-2 cell ; promotes Silence ROR of injury CoCl2-induced HK-2 cell ; decreases Overexpression ROR of expression miR-145 ; modulates overexpression ROR pathways ERK and MAPK signalling regulation through miR-145 of 
H19	Cox	showed regression Cox and analysis correlation associated that H19 and RNAs some other competing endogenous network in the are prognosis with poor and parameters clinical grade such as tumor and metastasis 
H19	MET	reduces Knockdown H19 of level the protein ZEB1 of MET and COL1A1 regulates H19 in vitro pathway PI3K-Akt signal network through a competing endogenous RNA and predicts prognosis poor cancer in colorectal 
TDRG1	Hela	inhibited Knockdown TDRG1 of migration the cell proliferation and invasion Hela in and SIHA cells 
linc00423	MAPK	evidenced pulldown RNA sequence RNA and assays RIP that linc00423 involved pathway in MAPK signaling destabilizing via factor of nuclear T-cells of activated NFATC3 3 
linc00423	MAPK	acted linc00423 suppressor as the tumor cells in RLS regulating through level the protein NFATC3 of level at a post-transcriptional and regulated negatively pathway the MAPK signaling level at a transcriptional 
linc00423	NFATC3	evidenced pulldown RNA sequence RNA and assays RIP that linc00423 involved pathway in MAPK signaling destabilizing via factor of nuclear T-cells of activated NFATC3 3 
linc00423	NFATC3	acted linc00423 suppressor as the tumor cells in RLS regulating through level the protein NFATC3 of level at a post-transcriptional and regulated negatively pathway the MAPK signaling level at a transcriptional 
LINK-A	p53	enhanced expression LINK-A degradation K48 polyubiquitination mediated PLC of the antigen peptide-loading complex and suppressors intrinsic tumor Rb and p53 
SGO1-AS1	SGO1	quantified study In the current we expression SGO1 of and SGO1-AS1 tissues in 39 breast cancer and tissues their paired adjacent non-cancerous ANCTs 
OTUD6B-AS1	OTUD6B	downregulated recorded While difference no was level at the basal HC between and Fb SSc dermal expression the OTUD6B-AS1 of and OTUD6B was significantly SSc in both and Fb HC dermal stimulation after PDGF manner in a time-dependent 
OTUD6B-AS1	IL-4	observed effects mild Only and inconsistent were IL-4 with TGFbeta and knockdown IL-13 OTUD6B-AS1 Fb in and HPASMC affect did not matrix extracellular or production pro-fibrotic proinflammatory cytokine 
OTUD6B-AS1	IL-13	observed effects mild Only and inconsistent were IL-4 with TGFbeta and knockdown IL-13 OTUD6B-AS1 Fb in and HPASMC affect did not matrix extracellular or production pro-fibrotic proinflammatory cytokine 
OTUD6B-AS1	OTUD6B	reduced Moreover silencing OTUD6B-AS1 of significantly proliferation and suppressed apoptosis Fb in both dermal and knockdown HPASMC OTUD6B-AS1 affect did not expression OTUD6B level at the mRNA and level protein 
OTUD6B-AS1	D1	regulates OTUD6B-AS1 proliferation and apoptosis expression via cyclin D1 gene in a sense manner independent 
MiR-145	EPHA4	exerted MiR-145 effects a protective viability in cell model in the OGD downregulating by EPHA4 
U17HG	Oct4	identified formed U17HG network a positive feedback Nanog with and Oct4 and proteins 126 U17HG interacting were mESCs in 
U17HG	Nanog	identified formed U17HG network a positive feedback Nanog with and Oct4 and proteins 126 U17HG interacting were mESCs in 
H19	IGFBPrP1	detected define To induced relationship the IGFBPrP1 between and autophagy and role the H19 of IGFBPrP1 in IGFBPrP1 hepatic fibrosis and autophagy were ligation in bile duct fibrosis BDL - induced hepatic 
H19	IGFBPrP1	transfected IGFBPrP1 Adenovirus-mediated was liver into mouse and cells JS-1 LY294002 with or without or rapamycin examine to effects the IGFBPrP1 of activation on HSCs and autophagy as well as H19 the PI3K AKT mTOR pathway lncRNA tissues in liver fibrosis and cells JS-1 induced IGFBPrP1 by increased detected were detected level autophagy then and HSCs activation were cells in JS-1 IGFBPrP1 by overexpression with H19 or expression knowdown IGFBPrP1 and level autophagy were concomitantly tissue in liver fibrosis with BDL-induced hepatic 
H19	IGFBPrP1	promoted addition In H19 autophagy interacting by pathway with the PI3K AKT mTOR IGFBPrP1 in induced IGFBPrP1 HSCs activation promoted autophagy and contributed activation to HSCs regulation via mutual H19 between and pathway the PI3K AKT mTOR 
TUG1	HMGB1	achieved function The TUG1 of were sponging by miR-142-3p and releasing suppression the targets of the putative HMGB1 of miR-142-3p and Rac1 
TUG1	Rac1	achieved function The TUG1 of were sponging by miR-142-3p and releasing suppression the targets of the putative HMGB1 of miR-142-3p and Rac1 
MEG3	ILF3	applied transduced clarify To effects the MEG3 of cytotoxicity on the adenosine-induced MEG3 in hepatoma and lentivirus ILF3 were cells into human hepatoma HepG2 stimulate to overexpression MEG3 of MEG3 OE and siRNA overexpression ILF3 of ILF3 OE furthermore ILF3 small interfering RNA was also downregulate to expression the ILF3 of 
MEG3	ILF3	stimulated adenosine markedly MEG3 MEG3 expression OE decreased markedly expression the ILF3 cells in HepG2 and inhibition the adenosine-induced autophagy together ratio with the AKT of p-PI3K PI3K p-AKT and mTOR p-mTOR boosted were also MEG3 by OE 
MEG3	ILF3	demonstrates study The present involved inhibition autophagy is synergized cytotoxicity in the adenosine-induced cells in HepG2 cytotoxicity the can be MEG3 by OE ILF3 via downregulated activate to mTOR PI3K Akt and inactivate pathway the beclin-1 signaling 
LINC01410	IFITM3	related inhibits Down-regulation expression of LINC01410 proliferation the and migration cells of pancreatic cancer BxPC-3 and mechanism its may be closely regulating to expression the miR-497-5p and IFITM3 gene 
lncRNA-ATB	P65	facilitated Overexpression pathway of lncRNA-ATB activated nuclear factor-κB and promoted translocation P65 nucleus into the thus cells glioma invasion stimulated AAT3 by 
lncRNA-ATB	P38	enhanced lncRNA-ATB markedly invasion AAT3 mediated cells of glioma activation through pathway P38 mitogen-activated protein kinase P38 MAPK 
MALAT1	ZEB1	promotes addition In MALAT1 LncRNA expression ZEB1 cells in A549 
MALAT1	ZEB1	promoted MALAT1 proliferation the and resistance gefitinib cells of lung cancer sponging by miR-200a regulates which expression ZEB1 of cells in the A549 
lncIHS	ERK	network a regulatory signaling of ERK and AKT lncIHS through downstream which is SMYD3 of HBx and indicate they target that lncIHS may be a potential treating for HCC 
lncIHS	AKT	network a regulatory signaling of ERK and AKT lncIHS through downstream which is SMYD3 of HBx and indicate they target that lncIHS may be a potential treating for HCC 
MEG3	AKT	decreased levels Phosphorylated AKT of PI3K and AMPK AMP-activated protein kinase were overexpression by lncRNA MEG3 regulation via miR-211 of 
MEG3	PI3K	decreased levels Phosphorylated AKT of PI3K and AMPK AMP-activated protein kinase were overexpression by lncRNA MEG3 regulation via miR-211 of 
MEG3	AMPK	decreased levels Phosphorylated AKT of PI3K and AMPK AMP-activated protein kinase were overexpression by lncRNA MEG3 regulation via miR-211 of 
MEG3	AMPK	inhibited AKT The PI3K and pathways AMPK were overexpression by lncRNA MEG3 regulation via miR-211 of 
H19	AKT	constructed explore To promote whether H19 lncRNA Long non-coding RNA could development the HL of Hodgkin s lymphoma regulating by proliferation cell expressions via AKT pathway H19 evaluated tissues in 60 HL hyperplasia 40 RH reactive tissues of lymph nodes A20 L428 and lines Ly1 cell were siRNA by quantitative real-time polymerase chain reaction qRT-PCR H19 and H19 pcDNA were 
H19	AKT	detected relationship The AKT between and H19 was further blot by Western 
H19	AKT	promotes H19 Overexpressed lncRNA development HL stimulating by proliferation cells of HL pathway via AKT 
MALAT1	LDH	increased Knockdown MALAT1 of decreased viability the cardiomyocytes of PA-treated apoptosis and reduced levels the tnfa of LDH CK-MB and IL1B 
MALAT1	HMGB1	represses downregulation the MALAT1 of expression HMGB1 inhibiting thereby activation the response of the Toll-like receptor 4 TLR4 NF-κB-mediated inflammatory 
MALAT1	HOTAIR	analyzed Expression lncRNAs of transcript including metastasis-associated lung adenocarcinoma HOTAIR one MALAT1 HOX transcript antisense intergenic RNA and regulator long intergenic non-protein coding ROR of reprograming or ROR was also hybridization by in situ and RT-PCR 
ROR	HOTAIR	analyzed Expression lncRNAs of transcript including metastasis-associated lung adenocarcinoma HOTAIR one MALAT1 HOX transcript antisense intergenic RNA and regulator long intergenic non-protein coding ROR of reprograming or ROR was also hybridization by in situ and RT-PCR 
NEAT1	STAT3	targets pretransfected constructed Lentivirus interference short hairpin RNA NEAT1 for was cells into CD4 + T inducing before treatment NEAT1 of Th17 cell differentiation proved protein STAT3 was RNA by pull down 
NEAT1	STAT3	promotes Moreover cotreatment the knockdown of NEAT1 and overexpression STAT3 differentiation Th17 cell knockdown compared with NEAT1 alone 
NEAT1	STAT3	concluded data These molecule that NEAT1 is auxo-active cells for CD4 + T differentiating cells into Th17 and inhibits knockdown NEAT1 of positively CD4 Th17 + differentiation T cell reducing through level the STAT3 protein 
GHET1	ABCC1	inhibited knockdown Finally GHET1 of also expression the protein of ABCC1 cells in Gemcitabine-resistant BC 
GHET1	ABCC1	related expression High GHET1 of was sensitivity with the low Gemcitabine to BC of ; contributed GHET1 resistance to chemotherapeutic Gemcitabine to BC in up-regulating through expression ABCC1 
MALAT1	YAP	binds MALAT1 directly YAP to Yes-associated protein enhancing thereby expression YAP protein and increasing activity YAP transcriptional 
TUG1	p38	reversed SB203580 the p38 MAPK inhibitor changes the induced that TUG1 levels in the I of Beclin1 LC3 II LC3 and p62 
LNCAT	STAT3	enhanced knockdown the LNCAT of activation the caspases-3 of and increased expression the protein JAK2 of Bax and STAT3 decreased whereas expression the BAL2 of and Bid 
LNCAT	Bax	enhanced knockdown the LNCAT of activation the caspases-3 of and increased expression the protein JAK2 of Bax and STAT3 decreased whereas expression the BAL2 of and Bid 
LNCAT	JAK2	enhanced knockdown the LNCAT of activation the caspases-3 of and increased expression the protein JAK2 of Bax and STAT3 decreased whereas expression the BAL2 of and Bid 
LNCAT	BAL2	enhanced knockdown the LNCAT of activation the caspases-3 of and increased expression the protein JAK2 of Bax and STAT3 decreased whereas expression the BAL2 of and Bid 
LNCAT	Bid	enhanced knockdown the LNCAT of activation the caspases-3 of and increased expression the protein JAK2 of Bax and STAT3 decreased whereas expression the BAL2 of and Bid 
BANCR	Bax	detected level An increased apoptotic caused overexpression by BANCR was also and displayed level influence a conversed Bcl-2 on and Bax expression mRNA in and protein 
BANCR	Bcl-2	detected level An increased apoptotic caused overexpression by BANCR was also and displayed level influence a conversed Bcl-2 on and Bax expression mRNA in and protein 
AGU2	IGF2	upregulated addition In mRNA both the and protein levels expression factor of insulin-like growth 2 IGF2 were remarkably overexpression after AGU2 
UCA1	MAPK	augmented used assay Luciferase activity was identify to mir-193a the targeted CDK6 3 - weakened knockdown untranslated region UCA1 viability cell progression apoptosis as well as migration suppressed and behaviors invasion cells in glioblastoma exhibited whereas silence UCA1 reversed functions the opposite functioned UCA1 sponge as an endogenous silence of miR-193a miR-193a regulated function the biological knockdown of UCA1 cells on U-118 MG miR-193a negatively expression the CDK6 of and affected it cells the U-118 MG regulating through overexpression CDK6 expression CDK6 abrogated blockage the MAPK of PI3K AKT mitogen-activated protein kinase and pathways Notch signaling 
MEG3	SNRPA	revealed Screen using siRNA caused depletion components of U1 snRNP SNRNP70 SNRPA or SNRPD2 localization significant cytoplasmic transcripts of MEG3 reporter 
