hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit-trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	lncipedia	gtrnadb
HGNC:18289	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	non-coding RNA	RNA, long non-coding	Approved	7q11.23	07q11.23	NCRNA00035	non-protein coding RNA 35	"WBSCR26|LINC00035"	"Williams Beuren syndrome chromosome region 26|Williams Beuren syndrome chromosome region 26 (non-protein coding)|long intergenic non-protein coding RNA 35"			2002-03-05	2014-07-08	2014-07-08	2017-10-13	171022	ENSG00000225969	OTTHUMG00000153263		BU595969	NR_026690			"24984296|25619660|28157695"		RGD:1585479			612545																		ABHD11-AS1	
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	17q11.2	17q11.2	"linc-TP53I13|lnc-TP53I13"						2014-02-04			2014-02-10	104355133	ENSG00000264031	OTTHUMG00000179722		CN275323				24504737																							ABHD15-AS1	
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	3q29	03q29				ACAP2 intronic transcript 1 (non-protein coding)			2011-05-04		2015-02-25	2015-02-25	100874306	ENSG00000229325	OTTHUMG00000155905	uc062rqs.1																												ACAP2-IT1	
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	1q42.12	01q42.12	RP11-275I14.4						2016-11-11			2017-09-21	107985353	ENSG00000234478	OTTHUMG00000041339		AW511419	NR_146443			28881755																								
HGNC:41112	ACOXL-AS1	ACOXL antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	2q13	02q13							2016-11-11			2016-11-11	400997	ENSG00000204581	OTTHUMG00000153643			NR_122074																											
HGNC:40227	ACSL3-AS1	ACSL3 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	2q36.1	02q36.1							2019-07-19			2019-07-19	105373904	ENSG00000234193	OTTHUMG00000153390		DB074600	XR_923949																											
HGNC:40772	ACSL6-AS1	ACSL6 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	5q31.1	05q31.1							2019-07-19			2019-07-19	101927693	ENSG00000223548	OTTHUMG00000059638			XR_246584																											
HGNC:45169	ACTA2-AS1	ACTA2 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	10q23.31	10q23.31	"uc001kfo.1|ZXF1|UC001kfo"						2013-03-01			2018-08-15	100132116	ENSG00000180139	OTTHUMG00000018703	uc001kfo.2	"AK093340|AX748062"	NR_125373			"24721325|28088733"																							ACTA2-AS1	
HGNC:20131	ACTN1-AS1	ACTN1 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	14q24.1	14q24.1			C14orf84	"chromosome 14 open reading frame 84|ACTN1 antisense RNA 1 (non-protein coding)"			2002-12-18	2011-11-30	2012-08-15	2012-10-12	161159	ENSG00000259062	OTTHUMG00000171698	uc031qpf.1	"DB029126|AI147349"	NR_073422																										ACTN1-AS1	
HGNC:53965	ACTR3-AS1	ACTR3 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	2q14.1	02q14.1	AC104653.1						2018-07-05			2018-07-05	101060091					NR_110174			29959764																								
HGNC:44161	ACVR2B-AS1	ACVR2B antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	3p22.2	03p22.2				ACVR2B antisense RNA 1 (non-protein coding)			2012-06-30		2012-08-15	2012-10-12	100128640	ENSG00000229589	OTTHUMG00000156031	uc003cie.2	AK025619	NR_028389																										ACVR2B-AS1	
HGNC:40625	ADAMTS9-AS1	ADAMTS9 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	3p14.1	03p14.1				ADAMTS9 antisense RNA 1 (non-protein coding)			2011-07-27		2012-08-15	2017-02-16	101929335	ENSG00000241158	OTTHUMG00000158723	uc021xaa.3		NR_110150			27941916																							ADAMTS9-AS1	
HGNC:42435	ADAMTS9-AS2	ADAMTS9 antisense RNA 2	non-coding RNA	RNA, long non-coding	Approved	3p14.1	03p14.1				ADAMTS9 antisense RNA 2 (non-protein coding)			2011-07-27		2012-08-15	2018-06-15	100507098	ENSG00000241684	OTTHUMG00000158725	uc003dml.5		NR_038264			"24833086|29707897"																			adamts9-as2				ADAMTS9-AS2	
HGNC:40797	ADAMTS19-AS1	ADAMTS19 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	5q23.3	05q23.3	RP11-346A9.1						2013-06-19			2014-11-18	103689846	ENSG00000249421	OTTHUMG00000163040		DA728271	NR_125748																										ADAMTS19-AS1	
HGNC:32041	ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	1q21.2	01q21.2	FLJ45786		C1orf138	chromosome 1 open reading frame 138			2005-07-08	2013-08-29	2013-08-29	2014-11-18	574406	ENSG00000203804	OTTHUMG00000034866		AK127688	NR_104133		Q5T5F5																								ADAMTSL4-AS1	
HGNC:40895	ADAMTSL4-AS2	ADAMTSL4 antisense RNA 2	non-coding RNA	RNA, long non-coding	Approved	1q21.2	01q21.2							2019-07-19			2019-07-19	100289061	ENSG00000237781	OTTHUMG00000034864			XR_001738226																											
HGNC:23299	ADARB2-AS1	ADARB2 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	10p15.3	10p15.3	bA466B20.1		"C10orf109|NCRNA00168"	"chromosome 10 open reading frame 109|non-protein coding RNA 168|ADARB2 antisense RNA 1 (non-protein coding)"			2004-05-27	2011-08-11	2012-08-15	2017-09-08	642394	ENSG00000205696	OTTHUMG00000017542	uc057rfm.1		NR_033387		A8MUL3	28874676																							ADARB2-AS1	
HGNC:53332	ADCY6-DT	ADCY6 divergent transcript	non-coding RNA	RNA, long non-coding	Approved	12q13.12	12q13.12							2019-06-14			2019-06-14	100506125	ENSG00000257660	OTTHUMG00000170397			NR_110019																											
HGNC:48682	ADD3-AS1	ADD3 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	10q25.1	10q25.1							2013-06-06			2016-11-24	100505933	ENSG00000203876	OTTHUMG00000019028			NR_038943																											
HGNC:49543	ADGRA1-AS1	adhesion G protein-coupled receptor A1 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	10q26.3	10q26.3			GPR123-AS1	GPR123 antisense RNA 1			2014-01-10	2015-03-03	2015-03-03	2015-03-03	100128127	ENSG00000256925	OTTHUMG00000019301			NR_111905																										ADGRA1-AS1	
HGNC:53314	ADGRD1-AS1	ADGRD1 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	12q24.33	12q24.33	LACAT8	lung adenocarcinoma-associated transcript 8					2017-03-22			2017-03-22	105755954	ENSG00000256151	OTTHUMG00000168346			NR_131950			25599403																								
HGNC:40864	ADGRF5-AS1	ADGRF5 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	6p12.3	06p12.3							2019-08-02			2019-08-02	101926962	ENSG00000225730	OTTHUMG00000014794			NR_110658																											
HGNC:50604	ADGRL3-AS1	adhesion G protein-coupled receptor L3 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	4q13.1	04q13.1			LPHN3-AS1	LPHN3 antisense RNA 1			2014-05-22	2015-03-03	2015-03-03	2015-03-03	101927186	ENSG00000248692	OTTHUMG00000160691			NR_110595																										ADGRL3-AS1	
HGNC:40648	ADIPOQ-AS1	ADIPOQ antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	3q27.3	03q27.3				ADIPOQ antisense RNA 1 (non-protein coding)			2011-07-25		2012-08-15	2014-11-19	100874095	ENSG00000226482	OTTHUMG00000156514	uc031sct.2		NR_046662																										ADIPOQ-AS1	
HGNC:45127	ADIRF-AS1	ADIRF antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	10q23.2	10q23.2							2013-02-20			2015-01-29	100133190	ENSG00000272734	OTTHUMG00000185998	uc057uqy.1	AK128041																											ADIRF-AS1	
HGNC:51227	ADNP-AS1	ADNP antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	20q13.13	20q13.13							2014-08-08			2014-08-08	101927631	ENSG00000259456	OTTHUMG00000172534			NR_110009																										ADNP-AS1	
HGNC:37122	ADORA2A-AS1	ADORA2A antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	22q11.23	22q11.23	FLJ34651		C22orf45	chromosome 22 open reading frame 45			2009-08-15	2012-10-11	2012-10-11	2016-11-09	646023	ENSG00000178803	OTTHUMG00000150735	uc062cjs.1	AK091970	NR_028483		P86434	19726446				ADORA2A-AS1																			ADORA2A-AS1	
HGNC:44144	ADPGK-AS1	ADPGK antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	15q24.1	15q24.1				ADPGK antisense RNA 1 (non-protein coding)			2012-06-30		2012-08-15	2019-07-11	100287559	ENSG00000260898	OTTHUMG00000173100	uc002avk.1	AK127877	NR_040107			"29667486|31264061"																							ADPGK-AS1	
HGNC:28141	AFAP1-AS1	AFAP1 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	4p16.1	04p16.1	MGC10981		"AFAP1AS|AFAP1-AS"	"AFAP1 antisense RNA (non-protein coding)|AFAP1 antisense RNA 1 (non-protein coding)"			2010-07-08	2010-11-25	2012-08-15	2016-11-24	84740	ENSG00000272620	OTTHUMG00000186238	uc003gkd.5	BC004397	NR_026892			"23333711|26892468"																			AFAP1AS					
HGNC:21236	AFDN-DT	AFDN divergent transcript	non-coding RNA	RNA, long non-coding	Approved	6q27	06q27	"HGC6.4|dJ431P23.3"		"C6orf124|MLLT4-AS1|AFDN-AS1"	"chromosome 6 open reading frame 124|MLLT4 antisense RNA 1 (non-protein coding)|MLLT4 antisense RNA 1 (head to head)|AFDN antisense RNA 1 (head to head)"			2003-05-29	2017-09-21	2017-09-21	2017-09-21	653483	ENSG00000198221	OTTHUMG00000016029	uc003qwa.3		NR_027906		Q9Y6Z5	10382971																								
HGNC:53447	AFF1-AS1	AFF1 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	4q21.3	04q21.3							2017-04-19			2017-04-19	100506746					NR_038841																											
HGNC:41334	AFF2-IT1	AFF2 intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	Xq28	Xq28				AFF2 intronic transcript 1 (non-protein coding)			2011-05-20		2015-02-25	2015-02-25	100874269	ENSG00000223516	OTTHUMG00000022611	uc065bmd.1																												AFF2-IT1	
HGNC:41427	AGAP1-IT1	AGAP1 intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	2q37.2	02q37.2				AGAP1 intronic transcript 1 (non-protein coding)			2011-05-20		2015-02-25	2015-02-25	100506749	ENSG00000235529	OTTHUMG00000153124	uc061txt.1		NR_131900																										AGAP1-IT1	
HGNC:48633	AGAP2-AS1	AGAP2 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	12q14.1	12q14.1	"LOC100130776|PUNISHER"						2013-05-30			2019-06-19	100130776	ENSG00000255737	OTTHUMG00000170286		"BC039697|BC069024"	NR_027032			"25392693|27195672|31186379"																							AGAP2-AS1	
HGNC:48617	AGBL1-AS1	AGBL1 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	15q25.3	15q25.3							2013-05-24			2013-05-24	727915	ENSG00000260125	OTTHUMG00000172872			NR_046012																										AGBL1-AS1	
HGNC:41123	AGBL4-AS1	AGBL4 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	1p33	01p33							2019-07-19			2019-07-19	101929721	ENSG00000230114	OTTHUMG00000008156			NR_125988																											
HGNC:41482	AGBL4-IT1	AGBL4 intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	1p33	01p33				AGBL4 intronic transcript 1 (non-protein coding)			2011-06-08		2015-02-25	2015-02-25	100874313	ENSG00000225623	OTTHUMG00000008155	uc031tzy.1		NR_046839																										AGBL4-IT1	
HGNC:41133	AGBL5-AS1	AGBL5 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	2p23.3	02p23.3				AGBL5 antisense RNA 1 (non-protein coding)			2011-06-08		2012-08-15	2014-11-19	100874031	ENSG00000231636	OTTHUMG00000151996	uc061hjm.1		NR_046730																										AGBL5-AS1	
HGNC:41484	AGBL5-IT1	AGBL5 intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	2p23.3	02p23.3				AGBL5 intronic transcript 1 (non-protein coding)			2011-06-08		2015-02-25	2015-02-25	106481744	ENSG00000229122	OTTHUMG00000151991	uc061hjv.1																												AGBL5-IT1	
HGNC:20988	AGPAT4-IT1	AGPAT4 intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	6q26	06q26	FLJ23112		"C6orf59|NCRNA00241"	"chromosome 6 open reading frame 59|non-protein coding RNA 241|AGPAT4 intronic transcript 1 (non-protein coding)"			2003-04-29	2011-08-11	2015-02-25	2016-10-04	79992	ENSG00000279355	OTTHUMG00000152859	uc003qtu.5	AK026765	NR_024277		Q9H0P7																								AGPAT4-IT1	
HGNC:34515	AIRN	antisense of IGF2R non-protein coding RNA	non-coding RNA	RNA, long non-coding	Approved	6q25.3	06q25.3	"AIR|NCRNA00088|IGF2RAS|IGF2R-AS1"	"non-protein coding RNA 88|IGF2R antisense RNA 1 (non-protein coding)"		antisense of IGF2R RNA (non-protein coding)			2008-11-25		2012-08-16	2018-08-15	100271873	ENSG00000268257	OTTHUMG00000183173	uc031sqx.1		NR_047511			"18789384|19008856"	MGI:1353471				604893														Air				AIRN	
HGNC:41304	AKT3-IT1	AKT3 intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	1q44	01q44				AKT3 intronic transcript 1 (non-protein coding)			2011-05-20		2015-02-25	2015-02-25	100874263	ENSG00000228939	OTTHUMG00000039993	uc057qwa.1																												AKT3-IT1	
HGNC:40244	ALDH1L1-AS1	ALDH1L1 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	3q21.3	03q21.3				ALDH1L1 antisense RNA 1 (non-protein coding)			2011-07-28		2012-08-15	2014-11-19	100874204	ENSG00000250218	OTTHUMG00000162640	uc031sbq.2		NR_046602																										ALDH1L1-AS1	
HGNC:42446	ALDH1L1-AS2	ALDH1L1 antisense RNA 2	non-coding RNA	RNA, long non-coding	Approved	3q21.3	03q21.3				ALDH1L1 antisense RNA 2 (non-protein coding)			2011-07-28		2012-08-15	2014-11-19	100862662	ENSG00000246022	OTTHUMG00000162642	uc062nki.1		NR_046383																										ALDH1L1-AS2	
HGNC:41409	ALG9-IT1	ALG9 intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	11q23.1	11q23.1				ALG9 intronic transcript 1 (non-protein coding)			2011-05-20		2015-02-25	2015-02-25	100874303	ENSG00000254450	OTTHUMG00000166796	uc058hfk.1																												ALG9-IT1	
HGNC:41277	ALG13-AS1	ALG13 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	Xq23	Xq23				ALG13 antisense RNA 1 (non-protein coding)			2011-07-29		2012-08-15	2014-11-19	106478971	ENSG00000229487	OTTHUMG00000067670	uc065atf.1																												ALG13-AS1	
HGNC:41192	ALG14-AS1	ALG14 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	1p21.3	01p21.3							2019-07-19			2019-07-19	101928098	ENSG00000230427	OTTHUMG00000010779			NR_132786																											
HGNC:48670	ALKBH3-AS1	ALKBH3 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	11p11.2	11p11.2							2013-06-06			2013-06-06	100507300	ENSG00000244926	OTTHUMG00000166553			NR_038907																										ALKBH3-AS1	
HGNC:41305	ALMS1-IT1	ALMS1 intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	2p13.1	02p13.1				ALMS1 intronic transcript 1 (non-protein coding)			2011-06-08		2015-02-25	2015-02-25	100874291	ENSG00000230002	OTTHUMG00000152785	uc032nrh.2	BC041487	NR_046762																										ALMS1-IT1	
HGNC:51342	ALOX12-AS1	ALOX12 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	17p13.1	17p13.1							2014-10-10			2014-10-10	100506713	ENSG00000215067	OTTHUMG00000132903		AK074580	NR_040089																											
HGNC:41306	AMMECR1-IT1	AMMECR1 intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	Xq23	Xq23				AMMECR1 intronic transcript 1 (non-protein coding)			2011-06-08		2015-02-25	2015-02-25	100874352	ENSG00000224142	OTTHUMG00000022194	uc065ars.1																												AMMECR1-IT1	
HGNC:40076	ANK2-AS1	ANK2 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	4q25	04q25							2019-07-19			2019-07-19	105377373	ENSG00000248152	OTTHUMG00000161562			XR_001741417																											
HGNC:54102	ANK3-DT	ANK3 divergent transcript	non-coding RNA	RNA, long non-coding	Approved	10q21.2	10q21.2							2018-11-29			2018-11-29	105378320	ENSG00000254271				XR_001747686																											
HGNC:39891	ANKRD10-IT1	ANKRD10 intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	13q34	13q34				ANKRD10 intronic transcript 1 (non-protein coding)			2011-04-08		2015-02-25	2015-02-25	100505494	ENSG00000229152	OTTHUMG00000046190	uc058yhs.1																												ANKRD10-IT1	
HGNC:41298	ANKRD33B-AS1	ANKRD33B antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	5p15.2	05p15.2				ANKRD33B antisense RNA 1 (non-protein coding)			2011-06-08		2012-08-15	2014-11-19	100874247	ENSG00000250106	OTTHUMG00000162124	uc063ciy.1																												ANKRD33B-AS1	
HGNC:48618	ANKRD34C-AS1	ANKRD34C antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	15q25.1	15q25.1							2014-11-21			2014-11-21	729911	ENSG00000259234	OTTHUMG00000172071		"DA336675|DA364073"	NR_038997																										ANKRD34C-AS1	
HGNC:41090	ANKRD44-AS1	ANKRD44 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	2q33.1	02q33.1							2019-07-19			2019-07-19	101927596	ENSG00000231621	OTTHUMG00000154428			NR_135584																											
HGNC:41477	ANKRD44-IT1	ANKRD44 intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	2q33.1	02q33.1				ANKRD44 intronic transcript 1 (non-protein coding)			2011-06-08		2015-02-25	2015-02-25	101927547	ENSG00000236977	OTTHUMG00000154409	uc032oos.1		NR_046837																										ANKRD44-IT1	
HGNC:40016	ANO1-AS1	ANO1 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	11q13.3	11q13.3				ANO1 antisense RNA 1 (non-protein coding)			2011-04-28		2012-08-15	2014-11-19	100873981	ENSG00000254902	OTTHUMG00000167205	uc058eru.1																												ANO1-AS1	
HGNC:54190	ANO3-AS1	ANO3 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	11p14.2	11p14.2							2019-03-08			2019-03-08	105376599	ENSG00000254819				NR_132968																											
HGNC:25672	ANP32A-IT1	ANP32A intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	15q23	15q23	"FLJ11722|HsT18971"		"C15orf28|NCRNA00321"	"chromosome 15 open reading frame 28|non-protein coding RNA 321|ANP32A intronic transcript 1 (non-protein coding)"			2004-06-29	2011-08-11	2015-02-25	2015-02-25	80035				AK021784	NR_026808			14702039																							ANP32A-IT1	
HGNC:41307	AOAH-IT1	AOAH intronic transcript 1	non-coding RNA	RNA, long non-coding	Approved	7p14.2	07p14.2				AOAH intronic transcript 1 (non-protein coding)			2011-05-19		2015-02-25	2018-09-21	100874264	ENSG00000230539	OTTHUMG00000154938	uc031swz.1		NR_046764																										AOAH-IT1	
HGNC:44114	AP4B1-AS1	AP4B1 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	1p13.2	01p13.2				AP4B1 antisense RNA 1 (non-protein coding)			2012-06-23		2012-08-15	2012-10-12	100287722	ENSG00000226167	OTTHUMG00000011941	uc001edv.3	AK123199	NR_037864																										AP4B1-AS1	
HGNC:27152	APCDD1L-DT	APCDD1L divergent transcript	non-coding RNA	RNA, long non-coding	Approved	20q13.32	20q13.32			APCDD1L-AS1	"APCDD1L antisense RNA 1 (non-protein coding)|APCDD1L antisense RNA 1|APCDD1L antisense RNA 1 (head to head)"			2012-08-09	2018-03-21	2018-03-21	2018-03-21	149773	ENSG00000231290	OTTHUMG00000032847	uc002xzg.3	"AI077602|AK054637"	NR_034147																										APCDD1L-AS1	
HGNC:40079	APOA1-AS	APOA1 antisense RNA	non-coding RNA	RNA, long non-coding	Approved	11q23.3	11q23.3							2014-01-04			2016-11-24	104326055	ENSG00000235910	OTTHUMG00000150649		DA327409	NR_126362			24388749																			apoas1				APOA1-AS	
HGNC:43836	APOBEC3B-AS1	APOBEC3B antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	22q13.1	22q13.1				APOBEC3B antisense RNA 1 (non-protein coding)			2012-03-23		2012-08-15	2012-10-12	100874530	ENSG00000249310	OTTHUMG00000151083	uc032qpc.2	CX754295	NR_104187																										APOBEC3B-AS1	
HGNC:44173	APTR	Alu-mediated CDKN1A/p21 transcriptional regulator	non-coding RNA	RNA, long non-coding	Approved	7q11.23	07q11.23			RSBN1L-AS1	"RSBN1L antisense RNA 1 (non-protein coding)|Alu-mediated CDKN1A/p21 transcriptional regulator (non-protein coding)"			2012-06-30	2014-04-22	2018-05-16	2018-05-16	100505854	ENSG00000214293	OTTHUMG00000162596		AF290475	NR_038361			24748121		RGD:9685233			616048																		APTR	
HGNC:26399	AQP4-AS1	AQP4 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	18q11.2	18q11.2	FLJ30507		"C18orf16|CHST9-AS1"	"chromosome 18 open reading frame 16|CHST9 antisense RNA 1"			2004-04-30	2012-10-03	2012-10-03	2016-10-05	147429	ENSG00000260372	OTTHUMG00000131954	uc010xbm.3	AK055069	NR_026908																										AQP4-AS1	
HGNC:39993	ARAP1-AS1	ARAP1 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	11q13.4	11q13.4				ARAP1 antisense RNA 1 (non-protein coding)			2011-04-20		2012-08-15	2019-07-12	100874075	ENSG00000256007	OTTHUMG00000167950	uc058fck.1					31173500																							ARAP1-AS1	
HGNC:39994	ARAP1-AS2	ARAP1 antisense RNA 2	non-coding RNA	RNA, long non-coding	Approved	11q13.4	11q13.4				ARAP1 antisense RNA 2 (non-protein coding)			2011-04-20		2012-08-15	2014-11-19	100506020	ENSG00000245148	OTTHUMG00000167951	uc058fcw.1		NR_146780																										ARAP1-AS2	
HGNC:51593	ARF4-AS1	ARF4 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	3p14.3	03p14.3							2015-03-11			2019-05-31	106144532	ENSG00000272146	OTTHUMG00000185640		"BF793425|AI127075"	NR_132369																										ARF4-AS1	
HGNC:20279	ARHGAP5-AS1	ARHGAP5 antisense RNA 1 (head to head)	non-coding RNA	RNA, long non-coding	Approved	14q12	14q12	MGC15504		C14orf128	"chromosome 14 open reading frame 128|ARHGAP5 antisense RNA 1 (non-protein coding)|ARHGAP5 antisense RNA 1"			2003-01-17	2011-11-29	2012-10-17	2012-10-17	84837	ENSG00000258655	OTTHUMG00000170588	uc010amk.4	BC007251	NR_027263		Q96IT6																								ARHGAP5-AS1	
HGNC:40949	ARHGAP15-AS1	ARHGAP15 antisense RNA 1	non-coding RNA	RNA, long non-coding	Approved	2q22.3	02q22.3							2019-07-19			2019-07-19	105373654	ENSG00000231758	OTTHUMG00000153724			XR_002959423																											
