TMPO-AS1	TMPO	VB NNP NN IN NN DT NN CC NN NN IN NN IN NNP 
H19	Ins2	JJ VBG DT NN IN DT CC JJ NN VB NN IN DT NN IN DT JJ NN 
H19	Igf2	NN NN CC NN VB NN IN DT JJ VBG CC VB DT DT JJ VB PRP VBP NN DT RB JJ NN IN JJ NN DT NN CD NN 
H19	IGF2	NN IN NN PRP$ NN CD NN WDT IN NN DT NN JJ NN IN NN VBP NN IN NN IN NN NN IN DT JJ PRP JJ IN NN NN IN VB RB RBR NN IN VBG IN NN IN NN IN JJS IN PRP$ 
H19	Igf2	VB EX VB DT JJ NN IN CC NN NN NN IN 
H19	IGF2	VBP NN IN NN DT NN IN NN IN CC NN NN NN VBP IN NN DT JJ JJ VBP VB RB 
H19	Mash2	VB PRP NN DT JJ NN IN DT JJ NN IN NN CD VBP IN NN DT NN IN CD VBP RB NN NN NN CC NN NN NN RB RB DT CD VBP RB NN CC NN CC VB NN DT CC VBG NN IN NN CC NN NN NN IN NN IN JJ CC JJ 
H19	Kvlqt1	VB PRP NN DT JJ NN IN DT JJ NN IN NN CD VBP IN NN DT NN IN CD VBP RB NN NN NN CC NN NN NN RB RB DT CD VBP RB NN CC NN CC VB NN DT CC VBG NN IN NN CC NN NN NN IN NN IN JJ CC JJ 
H19	p57	VB PRP NN DT JJ NN IN DT JJ NN IN NN CD VBP IN NN DT NN IN CD VBP RB NN NN NN CC NN NN NN RB RB DT CD VBP RB NN CC NN CC VB NN DT CC VBG NN IN NN CC NN NN NN IN NN IN JJ CC JJ 
H19	Igf2	VB NN CC NN VB NN IN DT JJ VBG VBZ IN NN JJ NN IN JJ 
H19	VHL	VB RB PRP NN NN IN DT NN NN CC NN NN NN IN JJ NN 
H19	CDKN2	VB RB PRP NN NN IN DT NN NN CC NN NN NN IN JJ NN 
H19	MYC	VB RB PRP NN NN IN DT NN NN CC NN NN NN IN JJ NN 
H19	CDKN2	VB VBP NN NNS IN DT CD VBN NN IN NN NN IN NN IN CC CC NN NN NN IN VBP VB VB RB CD IN CD CC CD NNS IN NN IN NN NN NN JJ NN NN IN VB NNS IN DT CD NN IN VBN 
H19	MYC	VB VBP NN NNS IN DT CD VBN NN IN NN NN IN NN IN CC CC NN NN NN IN VBP VB VB RB CD IN CD CC CD NNS IN NN IN NN NN NN JJ NN NN IN VB NNS IN DT CD NN IN VBN 
H19	Igf2	NN PRP RP NN DT NN IN NN NN IN NN IN VBP IN NN NN IN NN DT NN IN NN VBN MD VB NN IN DT NN IN DT NN NN VBP IN NN 
H19	Igf2	VB NN DT JJ NN NN VBN TO DT JJ NN IN NN NN IN CC NN VB DT JJ RBS JJ IN NN 
H19	Igf2	VB NN IN NN IN JJ NN JJ NN IN CC NN NN VB RB 
H19	Igf2	VB RB NN IN DT JJ NN NN CC NN VB VBN TO VB NN IN DT VBP RB NNP NNS CC NN IN DT JJ NN IN DT 
BC200	La	VB IN NNS IN JJ NN NN CD NN NNP NN IN JJ NN TO DT CD NN IN NN 
H19	IGF2	VBP NNS DT JJ DT NN RB CC NN VB NN TO NN IN NN IN NN 
H19	IGF2	VBP NNS DT JJ DT NN NN IN CC NN RB MD VB NNS IN JJ JJ 
H19	PR-A	VB VB RB NN DT JJ NN IN NN NN NN JJ RB DT VB DT NN IN NN NN IN DT JJ VBP NN IN NN IN DT NN 
H19	Igf2	JJ NN DT NN CC NN NN NN IN NN JJ CD VB JJ TO VBG 
H19	Igf2	VB NN JJ NN IN DT NN VB RB NN IN DT JJ NN IN DT NN 
H19	IGF-II	VBP NN NN IN NN NN IN CC NN VBP VB NN TO VB DT JJ JJ NN IN 
H19	SNRPN	NN NN IN NN TO JJ PRP MD VBN NN CD RB NN NN IN NN NN IN JJ NN CC NN VB NN IN JJ NN TO JJ NN NN IN JJ JJ VBP TO NN NN 
H19	SNRPN	NN NNS NN IN NN CC NN NN NN DT DT JJ NN IN DT NN NN IN CC VB VB RB NN IN NN 
H19	Igf2	VB IN NN VBP RB NN CC NN VBP NN CC VB NN IN DT JJ JJ NN IN NN 
H19	U2af1-rs1	VBP PRP VB DT NN DT NN IN DT NN CC NN NN VB NN IN NN IN JJ 
H19	Igf2	VBP PRP VB DT NN DT NN IN DT NN CC NN NN VB NN IN NN IN JJ 
H19	Igf2	NN NN DT CC NN JJ NN NN CD NN NN IN DT VB VBG IN JJ NN IN 
MIR210HG	DNMT1	VB NN DT NN NN IN CC NN NN NN CD VB NN IN NN NN NN 
MIR210HG	CACNA2D2	NN NN NN VB VB TO VB IN NN MD VB DT NN IN 
MIR210HG	DNMT1	VB VBP JJ NN RB NN CC NN NN IN NN NN MD VB NN RB NN NN IN NN NN NN NN VBP RB NN NN 
MIR210HG	CACNA2D2	VB VBP JJ NN RB NN CC NN NN IN NN NN MD VB NN RB NN NN IN NN NN NN NN VBP RB NN NN 
MIR210HG	CACNA2D2	VB RB VB NN VBN IN NN NN VB VBN IN NN 
ROR	Raf	VB NN NN NN NN IN JJ NN IN NN IN VBP IN NN NN NN NN CC NN NN 
MIR503HG	SOX4	VB NN DT NN IN NN NN IN VB MD NN DT JJ NN IN NNP NN IN NN CC VB NN NN 
FAM224A	ZNF143	VB NN JJ CC NN NN NN VB VB TO VB DT NN NN IN NN NN NN IN NN NN CD NN DT NN NN NN NN NN CD CC NN NN IN NN NN NN CC NN NN NN CD NN IN NN CC NN NN 
FAM224A	A1CF	VB RB VB DT NN NN NN RB VBN NN DT JJ NN IN NN CC NN NN IN NN NN VB CC VB NN DT DT VBG IN CC VB NN NN VBP NN JJ RB CC NN NN NN NN DT JJ NN IN NN 
FENDRR	HuR	VB NNP NN DT NN IN DT JJ NN NN IN NN IN NN DT DT 
FENDRR	MDR1	VB NNP NN DT NN IN DT JJ NN NN IN NN IN NN DT DT 
LINC00689	PKM2	VB NN NN IN NN DT NN IN NN NN IN NN NN NN NN CC NN 
LINC00511	PTX	VB NN NN IN MD NN NN NN TO NN NN NN NN NN CC NN VBP RB NN NN NN IN JJ NN NN 
LINC00511	PTX	NN NN DT JJ VB VB TO NN DT NN IN JJ JJ NN NN NN IN DT NN IN NN IN DT NN IN NN NN CC NN NN TO NN IN NNP NN NN CC NN JJ JJ NN VB NN IN CD NN IN 
ANRIL	OGD	VB NNP RB NN NN NN NN VBP RB NN SYM : VBN NN NN 
MALAT1	ABI3BP	VB NN NN CC NN NN NN DT NNP NN IN DT NN NN VBP NN IN NN NN DT JJ JJ NN IN JJ NN IN 
MALAT1	MMP-9	VB NN NN IN NN NN PRP NN IN JJ VBP NN NN CC NN VBP NN NN CD NN VBP NN NN : NN CC NN NN NN CD NN TO NN 
Evf-2	DNMT	VB PRP VBP PRP$ VB IN NN DT NN NN CC NN NN NN NN RB RB DT DT NN IN NN NN CC NN DT NN IN NN NN NNS IN VBN WRB NN NN VB RB CC NN 
Evf-2	DNMT1	VB NN NN IN NN NN TO DT NN IN NN NN NN IN NN IN NN CC NN NNS IN CC VB NN DT NN NN 
Evf-2	DNMT3a	VB NN NN IN NN NN TO DT NN IN NN NN NN IN NN IN NN CC NN NNS IN CC VB NN DT NN NN 
Evf-2	DNMT3b	VB NN NN IN NN NN TO DT NN IN NN NN NN IN NN IN NN CC NN NNS IN CC VB NN DT NN NN 
ROR	ERK	VB NN NN NN JJ NN NN IN NN IN NN RB RB DT VBP NN CC NN 
ROR	MAPK	VB NN NN NN JJ NN NN IN NN IN NN RB RB DT VBP NN CC NN 
ROR	ERK	VBZ NN NNS VB NN NN NN NN IN NN JJ NN NN : VB NN NN IN NN JJ NN NN : NN NN IN NN NN NN : VBZ NN NN NN NN CC NN NN NN IN NN IN 
ROR	MAPK	VBZ NN NNS VB NN NN NN NN IN NN JJ NN NN : VB NN NN IN NN JJ NN NN : NN NN IN NN NN NN : VBZ NN NN NN NN CC NN NN NN IN NN IN 
H19	Cox	NN NN NN CC NN NN VBP IN NN CC JJ DT NNS JJ NN IN DT NN VB NN IN JJ CC NN JJ NN JJ DT NN CC NN 
H19	MET	VB NNP NN IN NN DT NN NN IN NN CC NN VBP NN FW FW NN NN NN NN IN DT VBP JJ NN CC VBP NN JJ NN IN JJ 
TDRG1	Hela	VB NNP NN IN NN DT NN NN CC NN NN IN CC NN NN 
linc00423	MAPK	JJ NN NN NN CC NN NN NN VBP IN NN NN IN NN NN JJ IN NN IN JJ NNS IN VBN NN CD 
linc00423	MAPK	NN NN NN DT DT NN NN IN NN VBP IN NN DT NN NN IN NN IN DT JJ CC VBP RB NN DT NN NN NN IN DT JJ 
linc00423	NFATC3	JJ NN NN NN CC NN NN NN VBP IN NN NN IN NN NN JJ IN NN IN JJ NNS IN VBN NN CD 
linc00423	NFATC3	NN NN NN DT DT NN NN IN NN VBP IN NN DT NN NN IN NN IN DT JJ CC VBP RB NN DT NN NN NN IN DT JJ 
LINK-A	p53	VB NN NN VBP NN NN NN NN IN DT NN JJ NN CC NN JJ NN NN CC NN 
SGO1-AS1	SGO1	VB NN IN DT JJ PRP NN NN IN CC NN NN IN CD NN NN CC NNS PRP$ JJ JJ JJ NN 
OTUD6B-AS1	OTUD6B	JJ NN IN NN DT VB NN IN DT JJ NN IN CC NN NN JJ NN DT NN IN CC NN VB RB NN IN CC CC NN NN JJ NN IN NN NN IN DT JJ 
OTUD6B-AS1	IL-4	VB NN JJ RB CC JJ VB NN IN NN CC JJ NN NN NN IN CC NN VBP VBP RB JJ JJ CC NN JJ JJ NN 
OTUD6B-AS1	IL-13	VB NN JJ RB CC JJ VB NN IN NN CC JJ NN NN NN IN CC NN VBP VBP RB JJ JJ CC NN JJ JJ NN 
OTUD6B-AS1	OTUD6B	VB RB JJ NN IN RB NN CC VBD NN NN IN CC JJ CC JJ NN NN VBP VBP RB NN NN NN IN DT NN CC NN NN 
OTUD6B-AS1	D1	VBZ NN NN CC NN NN IN NN NN NN IN DT NN NN JJ 
MiR-145	EPHA4	VB NN NN DT JJ NN IN NN NN IN DT NN VBG IN NN 
U17HG	Oct4	NN NN VBP NN DT JJ NN NN IN CC NN CC NN CD NN VBP VB NNS IN 
U17HG	Nanog	NN NN VBP NN DT JJ NN NN IN CC NN CC NN CD NN VBP VB NNS IN 
H19	IGFBPrP1	VB VB TO NN DT NN IN CC NN CC NN DT NN IN NN IN VB NN JJ NN CC NN VB NN IN NN NN NN SYM : VBN JJ 
H19	IGFBPrP1	VBN NN JJ VB NN IN NN CC NN NN NN IN CC IN CC NN VBP VB TO VB DT NN IN NN IN NNS CC JJ NN RB RB DT DT NN NN NN NN NN NN IN NN NN CC NN NN VBP NN IN VB JJ RB CC NNS NN NN VB VB NN IN NN NN IN NN IN NN CC NN JJ NN CC NN JJ NN VB RB NN IN NN NN IN JJ JJ 
H19	IGFBPrP1	VB NN IN NN NN VBP IN NN IN DT NN NN NN NN IN VB VB NN NNS NN NN CC VBP NN TO NNS NN IN JJ NN IN CC NN DT NN NN NN 
TUG1	HMGB1	VB NN DT NN IN VB JJ IN NN CC NN NN DT NN IN DT JJ NN IN NN CC NN 
TUG1	Rac1	VB NN DT NN IN VB JJ IN NN CC NN NN DT NN IN DT JJ NN IN NN CC NN 
MEG3	ILF3	VB VB TO VB DT NN IN NN IN DT JJ NN IN NN CC NN NN VB NN IN JJ NN NN VBP TO NN NN IN NN NN CC NN NN IN NN NN VB RB NNP NNP JJ VBG NN VB RB VBP TO NN DT NN IN 
MEG3	ILF3	VB NN RB NN NN NN NN NN RB NN DT NN NN IN NN CC NN DT JJ NN RB NN IN DT NN IN NN NN NN CC NN NN NN VB RB NN IN NN 
MEG3	ILF3	VB NN DT JJ VBP NN NN VB NN IN DT JJ NN IN NN NN DT VBD MD VB NN IN NNP NN IN JJ VBP TO NN NN NN CC VB NN DT NN NN 
LINC01410	IFITM3	VB NN NN IN NN VBP NN DT CC NN NN IN JJ NN NN CC NN PRP MD VB RB VBP TO NN DT NN CC NN NN 
lncRNA-ATB	P65	VB NN NN IN NN VBN JJ NN : NN CC VBP NN NN NN IN DT RB VBP NN NN NN NN IN 
lncRNA-ATB	P38	VB NN RB VBP NN NN NN IN NN NN IN NN NN JJ NN NN NN NN 
MALAT1	ZEB1	VB NN IN NN NN NN NN NN IN NN 
MALAT1	ZEB1	VB NN NN DT CC NN NN NN IN NN NN NN IN NN VBP WDT NN NN IN NN IN DT NN 
lncIHS	ERK	NN DT JJ NN IN NN CC NN NN IN JJ WDT VB NN IN NN CC VBP PRP VBP IN NN MD VB DT JJ NNP IN NN 
lncIHS	AKT	NN DT JJ NN IN NN CC NN NN IN JJ WDT VB NN IN NN CC VBP PRP VBP IN NN MD VB DT JJ NNP IN NN 
MEG3	AKT	NN NN VBN NN IN NN CC NN JJ NN NN VB NN IN NN NN NN IN NN IN 
MEG3	PI3K	NN NN VBN NN IN NN CC NN JJ NN NN VB NN IN NN NN NN IN NN IN 
MEG3	AMPK	NN NN VBN NN IN NN CC NN JJ NN NN VB NN IN NN NN NN IN NN IN 
MEG3	AMPK	VB NNP DT NN CC NN NN VB NN IN NN NN NN IN NN IN 
H19	AKT	VB TO VB IN NN NN JJ JJ NN MD NN DT NN IN NN NNS NN VBP IN NN NN NN IN NN NN NN NN IN CD NNS NN CD NN JJ NN IN NN NN NN NN CC NN NN NN NN VB VB VBN IN JJ JJ NN NN NN NN NN CC NN NN VB 
H19	AKT	VB NN DT NN IN CC NN VB RB NN IN NNP 
H19	AKT	VB NN VBN NN NN NN VBP IN NN NN IN NN NN IN NNP 
MALAT1	LDH	NN NNP NNP IN NN NN DT NNS IN JJ NN CC VB NN DT NN IN NN NN CC NN 
MALAT1	HMGB1	VB NN DT NN IN NN NN RB VBP NN DT NN IN DT JJ NN CD NN NN : JJ JJ 
MALAT1	HOTAIR	VBP NN NNS IN VBP NN JJ NN NN NN CD NN NN NN JJ JJ NN CC NN RB JJ JJ NN NN IN NN CC NN VB RB NN IN FW FW CC NN 
ROR	HOTAIR	VBP NN NNS IN VBP NN JJ NN NN NN CD NN NN NN JJ JJ NN CC NN RB JJ JJ NN NN IN NN CC NN VB RB NN IN FW FW CC NN 
NEAT1	STAT3	VB NN NN JJ NN JJ NN NN NN IN VB NN IN NN CC NN VBP IN NN NN IN NN NN NN NN NN NN VB NN IN VB RP 
NEAT1	STAT3	VB RB NN DT NN IN NN CC NN NN NN NN NN VBP VBN IN NN RB 
NEAT1	STAT3	VBP NNS DT NN WDT NN VB JJ NN IN NN CC NN VBP VBP NN IN NN CC NN NN IN RB NN NN CC NN NN NN VB IN NN DT NN NN 
GHET1	ABCC1	VB NN RB NN IN RB NN DT NN IN NN NN IN JJ NN 
GHET1	ABCC1	VB NN JJ NN IN VB NN IN DT JJ NN TO NN IN NNP VBP NN TO JJ NN TO NNP IN VBG IN NN NN 
MALAT1	YAP	VB NN RB NNP TO JJ NN VBP RB NN NN NN CC NN NN NN JJ 
TUG1	p38	JJ NN DT NN NN NN NN DT VBP IN NN NN IN DT NN IN NN NN CD NN CC NN 
LNCAT	STAT3	VB VBN DT NN IN NN DT NN IN CC VB NN DT NN NN IN NN CC NN IN NN NN DT NN IN CC NN 
LNCAT	Bax	VB VBN DT NN IN NN DT NN IN CC VB NN DT NN NN IN NN CC NN IN NN NN DT NN IN CC NN 
LNCAT	JAK2	VB VBN DT NN IN NN DT NN IN CC VB NN DT NN NN IN NN CC NN IN NN NN DT NN IN CC NN 
LNCAT	BAL2	VB VBN DT NN IN NN DT NN IN CC VB NN DT NN NN IN NN CC NN IN NN NN DT NN IN CC NN 
LNCAT	Bid	VB VBN DT NN IN NN DT NN IN CC VB NN DT NN NN IN NN CC NN IN NN NN DT NN IN CC NN 
BANCR	Bax	VB NN DT NN JJ NN NN IN NN VB RB CC VBP NN DT VBN NN IN CC NN NN NN IN CC NN NN 
BANCR	Bcl-2	VB NN DT NN JJ NN NN IN NN VB RB CC VBP NN DT VBN NN IN CC NN NN NN IN CC NN NN 
AGU2	IGF2	VBN NN IN NN CC DT CC NN NN NN NN IN JJ NN NN CD VB RB NN IN NN 
UCA1	MAPK	NN NN NN NN VB VB TO NN DT JJ NN CD : VB JJ JJ NN NN NN NN VBP NN NN NN RB RB DT VBP NN CC NN NN IN NN VBP IN NN NN NN NN DT JJ NN JJ NN DT DT JJ NN IN NN NN VBP DT JJ NN IN NN NN IN NN NN NN VBP RB NN DT NN IN CC VB PRP NN DT NN NN VBP IN VBP NN NN NN NN NN DT NN IN NN NN JJ NN NN CC NN NN NN 
MEG3	SNRPA	VB NNP NNP VB NN NN NN IN NN NN NN NN CC NN NN JJ JJ NN IN NN NN 
MEG3	SNRNP70	VB NNP NNP VB NN NN NN IN NN NN NN NN CC NN NN JJ JJ NN IN NN NN 
MEG3	SNRPD2	VB NNP NNP VB NN NN NN IN NN NN NN NN CC NN NN JJ JJ NN IN NN NN 
UCA1	Beclin1	NN NN DT NN IN NN NN IN VB NN IN NN NN CC NN NN DT NN NN CC NN CD CC VB RB VB DT CC NN NN IN NN 
UCA1	CLIC1	VBN NN VBG TO DT NN NN NN CC NN VB CC RB NNP IN VB IN NN DT NN IN NN NN IN DT JJ 
UCA1	CLIC1	VBN NN NN CC NN VB CC RB NNP IN VB IN NN DT NN IN NN NN IN DT JJ 
UCA1	CLIC1	VB NN DT NN NN IN NN CC NN VB VB NN NN NN NN CC NN VBP IN NN VBP NN PRP$ NN NN DT DT JJ NN NN IN CC VB NN JJ 
UCA1	CLIC1	VB NN NN DT NN IN NNP VBP IN NN DT NN IN CC NN PRP JJ NN NN CC VBP NN DT NN IN DT NN NN VB WDT NN DT NN IN VBN NN IN 
LINC00052	CALCOCO1	VB NN RB RBR DT NN IN PRP$ VBP IN NN MD NN DT NN IN NN IN NN NN IN 
FOXD1-AS1	eIF5a	NN NN RB NN NN JJ NN NN NN CD DT NN DT JJ NN IN 
FOXD1-AS1	eIF5a	VBP NNS DT VBP IN NN NN DT NN CD NN JJ NN IN NN 
H19	p53	VB IN NN NN IN DT NN IN NN JJ NN DT NN NN IN NN 
H19	p53	VB NN RB NN NN DT JJ NN IN CC NN DT NN IN CC NN NN NN DT NN IN 
LINC00052	CALCOCO1	VB NN NN NN NN VB VB TO NN DT NN IN CC NN CC NN CC NN 
CRNDE	SIX1	VB NN JJ VBP IN NN NN NN IN CC VB VB PRP NN RB NN DT NN NNS IN NN NN NN 
CRNDE	SIX1	NN NN IN NN FW FW VBP NN DT NN NN NN VBP IN NN NN NN DT DT NN RB IN NN CC VBG NN NN IN 
DDX11-AS1	LATS2	NN NNP NN IN NN DT NN CC NN NN IN 
DDX11-AS1	LATS2	VB NN NN IN NN DT JJ NN IN NN IN NN CC NN 
DDX11-AS1	LATS2	NN NN DT NN NN IN VB RB NN IN NN CC VBP RB NN IN NN 
ANRIL	IL-10	VB NNP IN NN VB RB RB NN IN NN NN NN NN NN NN NN CD NN CC NN NN IN RB NN IN CC NN NN 
DDX11-AS1	DNMT1	VB NN RB DT NN NN NN NN CC NN NN IN NNP VB NN IN NN VBP IN NN IN JJ NN IN NN NN NN CC NN NN NN NN NN VBP IN NN NN NN VBP IN NN IN CC NN NN IN NNP 
DDX11-AS1	EZH2	VB NN RB DT NN NN NN NN CC NN NN IN NNP VB NN IN NN VBP IN NN IN JJ NN IN NN NN NN CC NN NN NN NN NN VBP IN NN NN NN VBP IN NN IN CC NN NN IN NNP 
MFI2-AS1	MYCBP	VB NN NN NN NN NN NN CC NN VBP IN NN CC NN IN NN 
FAF	FGF9	NN RB NN NN IN NN MD RB NN DT NN IN 
LINC00313	ALX4	NN PRP NN IN DT JJ NN IN NN IN NN IN JJ NN IN NN VBP NN NN CC NN NN IN DT NN IN JJ NN CD 
LINC00313	ALX4	VB NN IN VBG DT NN IN CC NN DT NN NN IN CC NN DT NN IN NN IN JJ VB 
LINC00313	ALX4	JJ NN DT JJ VBN IN NN VB VBN IN NN VB NN IN NN VBP DT VB WDT IN VB RB NN IN NN NN 
LINC00313	ALX4	VB NN IN PRP$ VBN IN NN NN TO DT NN NN CC VB NN NNS NN CC NN VBP TO NN DT NN IN NN NN VBP RB NN DT NN 
LINC00313	DNMT1	VB NN IN PRP$ VBN IN NN NN TO DT NN NN CC VB NN NNS NN CC NN VBP TO NN DT NN IN NN NN VBP RB NN DT NN 
LINC00313	DNMT3B	VB NN IN PRP$ VBN IN NN NN TO DT NN NN CC VB NN NNS NN CC NN VBP TO NN DT NN IN NN NN VBP RB NN DT NN 
