lncrna	Interacting partner	Interaction Class	Interaction Mode	Organism	Description	Tissue	Phenotype	Method	Pubmed id	
BANCR	MAPK8	RNA-Protein	Regulation	Homo sapiens	When BANCR was up-regulated, p38 MAPK and JNK pathways were both inactivated. 	nan	overexpressed BANCR suppressed tumor growth of LC both in vitro and in vivo.	RIPA	25661343	
BANCR	CDKN1A	RNA-Protein	Regulation	Homo sapiens	BANCR suppresses the proliferation of colorectal cancer cells by targeting p21	colorectal cancer cells	suppresses the proliferation of colorectal cancer cells	in vitro and vivo	25928067	
Bc1	Eif4a1	RNA-Protein	Binding	Mus musculus	BC1 RNA binds to eIF4A with high affinity	brain	nan	EMSA	18316401	
Bc1	Pabpc1	RNA-Protein	Binding	Mus musculus	BC200 RNA and G22 RNA bind common protein partners, SRP9/14 and PABP	brain	nan	RIP	17175535	
Bc1	Srp14	RNA-Protein	Binding	Mus musculus	BC200 RNA and G22 RNA bind common protein partners, SRP9/14 and PABP	brain	nan	RIP	17175535	
Bc1	Srp9	RNA-Protein	Binding	Mus musculus	BC200 RNA and G22 RNA bind common protein partners, SRP9/14 and PABP	brain	nan	RIP	17175535	
Bc1	Eif4a1	RNA-Protein	Binding	Mus musculus	An interaction of the 3'BC1 domain with eIF4A and PABP is responsible for BC1-mediated repression of translation initiation.	Oocytes	inhibit a rate-limitingstep in the assembly of translation initiation complexes.	EMSA	16330711	
Bc1	Pabpc1	RNA-Protein	Binding	Mus musculus	An interaction of the 3'BC1 domain with eIF4A and PABP is responsible for BC1-mediated repression of translation initiation.	Oocytes	inhibit a rate-limitingstep in the assembly of translation initiation complexes.	EMSA	16330711	
Bc1	Fmr1	RNA-Protein	Binding	Mus musculus	Immunoprecipitation(in vivo) and electrophoretic mobility shift assays(in vitro) experiments indicated that FMRP binds directly to BC1.	nan	nan	RNA IP	12581522	
Bc1	Eif4a1	RNA-Protein	Binding	Mus musculus	eIF4A and PABP interact directly with BC1 RNA	brain	nan	EMSA	12451124	
Bc1	Pabpc1	RNA-Protein	Binding	Mus musculus	eIF4A and PABP interact directly with BC1 RNA	brain	nan	EMSA	12451124	
Bc1	Arhgef28	RNA-Protein	Binding	Mus musculus	In vivo experiments indicated that BC1 bind to a site in the C-terminal domain of p190RhoGEF.	nan	nan	RNA IP	12215442	
Bc1	Pabpc1	RNA-Protein	Binding	Mus musculus	PABP binding to BC1 and BC200 RNAsin vitro	brain	nan	EMSA	12162957	
Bc1	Pura	RNA-Protein	Binding	Mus musculus	Experiments demonstrated that the single-stranded DNA- and RNA-binding protein pur alpha and its isoform, pur beta, linked BC1 RNA to microtubules (MTs).	nan	nan	In vitro	11032866	
Bc1	Purb	RNA-Protein	Regulation	Mus musculus	Experiments demonstrated that the single-stranded DNA- and RNA-binding protein pur alpha and its isoform, pur beta, linked BC1 RNA to microtubules (MTs).	nan	nan	In vitro	11032866	
Bc1	Pura	RNA-Protein	Binding	Mus musculus	BC1 RNA associates with Pur	nan	activate transcription of BC1 gene by RNA polymerase III in vitro	RNA IP	11032728	
Bc1	Tsn	RNA-Protein	Binding	Mus musculus	we demonstrated that BC1 RNP contained two,y-,h-element-binding proteins, m-Translin and a 37kDa protein	nan	nan	In vitro	9636644	
Bc1	Eif4ebp1	RNA-Protein	Binding	Mus musculus	Bp-1 protein may bind to a newly synthesized BC-1 RNA	nan	nan	In vitro	1449502	
BCAR4	PPP1R10	RNA-Protein	Binding	Homo sapiens	BCAR4 directly bind to SNIP2 and PNUTS via two distinct regions	breast cancer tissues	breast cancer cell migration and invasion	Electrophoretic mobility shift assays(EMSAs)	25416949	
BCAR4	SNIP1	RNA-Protein	Binding	Homo sapiens	BCAR4 directly bind to SNIP1 and PNUTS via two distinct regions	breast cancer tissues	breast cancer cell migration and invasion	Electrophoretic mobility shift assays(EMSAs)	25416949	
BCYRN1	EIF4A1	RNA-Protein	Binding	Homo sapiens	Interaction of human BC200 RNA with eIF4A.	brain	nan	EMSA	18316401	
BCYRN1	PABPC1	RNA-Protein	Binding	Homo sapiens	In vitrobinding studies of BC200 RNA and G22 RNA with PABP	brain	nan	In vitrobinding studies	17175535	
BCYRN1	PABPC1	RNA-Protein	Binding	Homo sapiens	PABP binding to BC1 and BC200 RNAsin vitro	brain	nan	EMSA	12162957	
BCYRN1	SSB	RNA-Protein	Binding	Homo sapiens	Identification of human autoantigen La/SS-B as BC1/BC200 RNA-binding protein.	nan	nan	in vitro and in vivo	9778034	
BCYRN1	SRP9	RNA-Protein	Binding	Homo sapiens	SRP9/14 heterodimer, which represents a well known protein component of the signal recognition particle, is associated with BC200 RNA in vitro and, importantly, also in vivo	brain	nan	RNA IP	9605471	
BDNF-AS	BDNF	RNA-Protein	Binding	Homo sapiens	BDNF and antiBDNF transcripts form dsRNA duplexes in the brain in vivo	brain	nan	in vivo	17629449	
BDNF-AS	EZH2	RNA-Protein	Binding	Homo sapiens	We observed that increasing concentrations of EZH2 prevented the migration of biotinylated BDNF-AS through an agarose gel, an effect that was reversed with an excess of unbiotinylated BDNF-AS . These findings indicate that there is a direct physical interaction between BDNF-AS and EZH2	-	-	AlphaScreen Assay	26173710	
BLACAT1	EZH2	RNA-Protein	Binding	Homo sapiens	lincUBC1 interact with both EZH2 and SUZ12 of PRC2	bladder TCCSUP)	repress gene transcription	RIP	23688781	
BLACAT1	SUZ12	RNA-Protein	Binding	Homo sapiens	lincUBC1 interact with both EZH2 and SUZ12 of PRC2	bladder TCCSUP)	repress gene transcription	RIP	23688781	
Bvht	Suz12	RNA-Protein	Binding	Mus musculus	We also show that Bvht interacts with SUZ12, a component of Polycomb Repressive Complex 2 (PRC2), during cardiomyocyte differentiation suggesting that Bvht mediates epigenetic regulation of cardiac commitment. Bvht directly interacts with SUZ12 during CM differentiation	ESC Lines,neonatal cardiomyocytes	nan	 RNAi, qRT-PCR and ChIP	23352431	
C730036E19Rik	Tardbp	RNA-Protein	Binding	Mus musculus	LncLSTR Interacts with TDP-43 to Regulate Cyp8b1 Expression. TDP-43 binding to the Cyp8b1 promoter was clearly enhanced when lncLSTR was depleted	nan	regulate TG clearance	RIP and ChIP assays	25738460	
C730036E19Rik	Cyp8b1	RNA-Protein	Regulation	Mus musculus	LncLSTR Interacts with TDP-43 to Regulate Cyp8b1 Expression.Depletion of lncLSTR leads to increased binding of TDP-43, reduced Cyp8b1 gene expression,	nan	regulate TG clearance	RIP and ChIP assays	25738460	
CACNA2D1	SUZ12	RNA-Protein	Binding	Homo sapiens	lncRNA_N3 was significantly enriched in the SUZ12 IP over isotype IgG IP control	hEsCs	nan	RIP	22193719	
CCAT1	BMI1	RNA-Protein	Regulation	Homo sapiens	the oncogenic activity of CCAT1 is partly associated with the regulation of miRNA-218-5p and then Bmi1	gallbladder	impaired the proliferation and invasiveness of GBC cells	luciferase reporter constructs	25569100	
CDKN2B-AS1	EZH2	RNA-Protein	Binding	Homo sapiens	ANRIL could directly bind with PRC2 in HCC cells 	hepatocellular carcinoma 	inhibits HCC cell proliferation and induces cell apoptosis	RIP	25966845	
CDKN2B-AS1	SUZ12	RNA-Protein	Binding	Homo sapiens	ANRIL could directly bind with PRC2 in HCC cells 	hepatocellular carcinoma 	inhibits HCC cell proliferation and induces cell apoptosis	RIP	25966845	
CDKN2B-AS1	SUZ12	RNA-Protein	Binding	Homo sapiens	RNA immunoprecipitation demonstrates that ANRIL binds to SUZ12 in vivo.	nan	nan	RNA immunoprecipitation	21151178	
CDKN2B-AS1	EZH2	RNA-Protein	Binding	Homo sapiens	ANRIL lncRNA recruits both PRC2 and PRC1 subunits (EZH2 and CBX7, respectively) to achieve INK4b/AR F/INK4a silencing.	prostate cancer tissues	nan	RNA ChIP	20541999	
CDKN2B-AS1	CBX7	RNA-Protein	Binding	Homo sapiens	ANRIL interacts with CBX7 of the PRC1 complex at the INK4b/ARF/INK4alocus	prostate cancer tissues	nan	RNA ChIP	20541999	
CDKN2B-AS1	CBX7	RNA-Protein	Binding	Homo sapiens	ANRIL binds to PRC1 and 2 proteins and recruits CBX7 and SUZ12 to promoters of target genes.	human cell lines MonoMac, THP1, U937,HEK293, HepG2, CaCo2, and Hutu80	Over-expression of ANRIL further promoted cell growth and metabolic activity	qRT-PCR, RNAi, RIP and ChIP-seq 	23861667	
CDKN2B-AS1	SUZ12	RNA-Protein	Binding	Homo sapiens	ANRIL binds to PRC1 and 2 proteins and recruits CBX7 and SUZ12 to promoters of target genes.	human cell lines MonoMac, THP1, U937,HEK293, HepG2, CaCo2, and Hutu80	Over-expression of ANRIL further promoted cell growth and metabolic activity	qRT-PCR, RNAi, RIP and ChIP-seq 	23861667	
CDR1-AS	FBXW7	RNA-Protein	Binding	Homo sapiens	CDR1as is densely bound by AGO	nan	nan	CLIP	23446348	
CDR1-AS	LILRB1	RNA-Protein	Binding	Homo sapiens	circRNA acts as a miR-7 sponge	nan	nan	RNA-FISH	23446346	
CDR1-AS	AGO2	RNA-Protein	Binding	Homo sapiens	ciRS-7 contains more than 70 selectively conserved miRNA target sites, and it is highly and widely associated with Argonaute (AGO) proteins in a miR-7-dependent manner.	nan	nan	RNA-FISH	23446346	
COLDAIR	CLF	RNA-Protein	Binding	Arabidopsis thaliana	Both E(z) homologs, CLF and SWN, bound to COLDAIR in vitro through the CXC domain	nan	nan	RIP	21127216	
COLDAIR	SWN	RNA-Protein	Binding	Arabidopsis thaliana	Both E(z) homologs, CLF and SWN, bound to COLDAIR in vitro through the CXC domain	nan	nan	RIP	21127216	
CRG	RpII215	RNA-Protein	Binding	Drosophila melanogaster	CRG could recruit RNA polymerase II to the CASK promoter regions, thereby increasing CASK expression.	nan	CASK is a relatively direct effector that mediates CRG-regulated fly locomotor activity and climbing ability.	Luciferase reporter assay, RT-qPCR,ISH and ChIP 	23074190	
CRNDE	IGF1	RNA-Protein	Regulation	Homo sapiens	CRNDE represents the first long non-coding RNA to be regulated by insulin/IGFs	nan	nan	in vitro	24184209	
CRNDE	IGF2	RNA-Protein	Regulation	Homo sapiens	CRNDE represents the first long non-coding RNA to be regulated by insulin/IGFs	nan	colorectal cancer	in vitro	24184209	
CRNDE	INS	RNA-Protein	Regulation	Homo sapiens	CRNDE represents the first long non-coding RNA to be regulated by insulin/IGFs	nan	nan	in vitro	24184209	
CRNDE	MIR186	RNA-Protein	Binding	Homo sapiens	CRNDE binded to miR-186 and negatively regulated its expression	human glioma stem cells	-	dual-luciferase gene reporter assay	26231038	
csrB	csrA	RNA-Protein	Binding	Escherichia coli	In vitro interactions of CsrA with CsrB and CsrC RNAs	nan	nan	RNA-EMSA	12694612	
csrB	csrA	RNA-Protein	Binding	Escherichia coli	CsrB RNA is a second component of the Csr system, which binds to CsrA with 1:18 stoichiometry and antagonizes its effects on gene expression by sequestering this protein.	nan	nan	RNA-EMSA	9211896	
csrC	csrA	RNA-Protein	Binding	Escherichia coli	In vitro interactions of CsrA with CsrB and CsrC RNAs	nan	nan	RNA-EMSA	12694612	
CTBP1-AS	SFPQ	RNA-Protein	Binding	Homo sapiens	the interaction between PSF and CTBP1-AS by RIP	prostate	nan	RIP	23644382	
CTBP1-AS	SIN3A	RNA-Protein	Binding	Homo sapiens	CTBP1-AS binds to HDAC-Sin3A complex and orchestrates the HDAC-mediated repression by chroma- tion modification at the CTBP1 promoter in the AR-dependent cell system	prostate	nan	RIP	23644382	
CYP4A22-AS1	MED12	RNA-Protein	Binding	Homo sapiens	while such mutations in MED12 do not affect its association with other Mediator subunits, they significantly diminish its association with ncRNA-a1 and ncRNA-a3 as measured by UV-RIP	nan	development of FG syndrome	UV-RIP	23417068	
DACOR1	DNMT1	RNA-Protein	Binding	Homo sapiens	Using RIP-seq, we identified a subset of lncRNAs that interact with the DNA methyltransferase DNMT1 in a colon cancer cell line, HCT116	-	-	RIP-seq	26307088	
DALIR	DNMT1	RNA-Protein	Binding	Homo sapiens	Human DALI was also found, using UV-RIP, to interact with human DNMT1	neuronal tissues	nan	UV-RIP	25415054	
Dalir	Dnmt1	RNA-Protein	Binding	Mus musculus	both human and mouse Dali associate with DNMT1	neuronal tissues	nan	UV-RIP	25415054	
Dalir	Sin3a	RNA-Protein	Binding	Mus musculus	Direct interactions between the endogenous Dali transcriptand four of these candidate binding proteins	neuronal tissues	nan	UV-crosslinked RNA Immunoprecipitation(UV-RIP)	25415054	
Dalir	Smarca4	RNA-Protein	Binding	Mus musculus	Direct interactions between the endogenous Dali transcriptand four of these candidate binding proteins	neuronal tissues	nan	UV-crosslinked RNA Immunoprecipitation(UV-RIP)	25415054	
DANCR	EZH2	RNA-Protein	Binding	Homo sapiens	ANCR is associated with enhancer of zeste homolog 2 (EZH2) and that this association results in the inhibition of both Runx2 expression and subsequent osteoblast differentiation.	nan	regulates osteoblast differentiation	RIP	23438432	
DHRS4-AS1	EHMT2	RNA-Protein	Binding	Homo sapiens	AS1DHRS4 not only mediates deacetylation of histone H3 and demethylation of H3K4 in cis for the DHRS4 gene, but also interacts physically in trans with the epigenetic modifiers H3K9- and H3K27-specific histone methyltransferases G9a and EZH2, targeting the promoters of the downstream DHRS4L2 and DHRS4L1 genes to induce local repressive H3K9me2 and H3K27me3 histone modifications.	human cancer cell lines(HeLa, HL7702 and HepG2 cells), Mouse liver cell line NCTC 1469 was	nan	RACE, RNAi,RNA-IP and RNA-ChIP assays	22891334	
DHRS4-AS1	EZH2	RNA-Protein	Binding	Homo sapiens	AS1DHRS4 not only mediates deacetylation of histone H3 and demethylation of H3K4 in cis for the DHRS4 gene, but also interacts physically in trans with the epigenetic modifiers H3K9- and H3K27-specific histone methyltransferases G9a and EZH2, targeting the promoters of the downstream DHRS4L2 and DHRS4L1 genes to induce local repressive H3K9me2 and H3K27me3 histone modifications.	human cancer cell lines(HeLa, HL7702 and HepG2 cells), Mouse liver cell line NCTC 1469 was	nan	RACE, RNAi,RNA-IP and RNA-ChIP assays	22891334	
Dlx6os1	Smarca4	RNA-Protein	Binding	Mus musculus	While BRG1 directly interacts with DLX1 and Evf2 through distinct binding sites, Evf2 directly inhibits BRG1 ATPase and chromatin remodeling activities.	nan	nan	Fluorescent RNA in situ hybridization and immunolocalization (FISH/immuno), followed by confocal mic	26138476	
EGOT	PRG2	RNA-Protein	Regulation	Homo sapiens	EGO RNA silencing decreases EDN and MBP transcript levels	bone marrow	nan	in vitro	17351112	
EGOT	RNASE2	RNA-Protein	Regulation	Homo sapiens	EGO RNA silencing decreases EDN and MBP transcript levels	bone marrow	nan	in vitro	17351112	
ELFN1-AS1	HNRNPK	RNA-Protein	Binding	Homo sapiens	MYCLo-2 is enriched by RIP using hnRNPK antibodies 	nan	oncogenesis	RIP and RNA pull-down	25663692	
EWSAT1	HNRNPK	RNA-Protein	Binding	Homo sapiens	heterogeneous nuclear ribonucleoprotein (HNRNPK) as an RNA-binding protein that interacts with EWSAT1	primary pediatric human mesenchymal progenitor cells (pMPCs)	nan	RIP	25401475	
FALEC	MED12	RNA-Protein	Binding	Homo sapiens	while such mutations in MED12 do not affect its association with other Mediator subunits, they significantly diminish its association with ncRNA-a1 and ncRNA-a3 as measured by UV-RIP	nan	development of FG syndrome	UV-RIP	23417068	
FALEC	BMI1	RNA-Protein	Binding	Homo sapiens	We revealed that FAL1 can interact with the PRC1 core protein, BMI1	ovarian cancer	FAL1 exerts its oncogenic function at least in part via suppressing of p21 expression	RNA pull-down assay and RNA-immunoprecipitation assay (RNA-IP)	25203321	
FAS-AS1	RBM5	RNA-Protein	Binding	Homo sapiens	FAS-AS1 binding to the RBM5 inhibits RBM5-mediated exon 6 skipping.	B-cell lymphoma	nan	In Vivo	24811343	
Fendrr	Ezh2	RNA-Protein	Binding	Mus musculus	The tissue-specific lncRNA Fendrr binds to both the PRC2 and TrxG/MLL complexes	nan	nan	RIP	23369715	
Fendrr	Suz12	RNA-Protein	Binding	Mus musculus	The tissue-specific lncRNA Fendrr binds to both the PRC2 and TrxG/MLL complexes	nan	nan	RIP	23369715	
Fendrr	Wdr5	RNA-Protein	Binding	Mus musculus	The tissue-specific lncRNA Fendrr binds to both the PRC3 and TrxG/MLL complexes	nan	nan	RIP	23369715	
FIRRE	HNRNPU	RNA-Protein	Binding	Homo sapiens	Firre directly and specifically binds to hnRNPU	interface with and modulate nuclear architecture across chromosomes	nan	RIP	24463464	
Firre	Hnrnpu	RNA-Protein	Binding	Mus musculus	Firre directly and specifically binds to hnRNPU	interface with and modulate nuclear architecture across chromosomes	nan	RIP	24463464	
G22	Pabpc1	RNA-Protein	Binding	Mus musculus	BC200 RNA and G22 RNA bind common protein partners, SRP9/14 and PABP	brain	nan	RIP	17175535	
G22	Srp14	RNA-Protein	Binding	Mus musculus	BC200 RNA and G22 RNA bind common protein partners, SRP9/14 and PABP	brain	nan	RIP	17175535	
G22	Srp9	RNA-Protein	Binding	Mus musculus	BC200 RNA and G22 RNA bind common protein partners, SRP9/14 and PABP	brain	nan	RIP	17175535	
G22	PABPC1	RNA-Protein	Binding	Homo sapiens	In vitrobinding studies of BC200 RNA and G22 RNA with PABP	brain	nan	In vitrobinding studies	17175535	
GAS5	ANXA2	RNA-Protein	Regulation	Homo sapiens	RNA pull-down experiment revealed a direct bind of lncRNA-GAS5 to a Ca2+-dependent RNA-binding protein, Annexin A2. 	nan	the low expression of lncRNA-GAS5 may facilitate HSVSMCs proliferation and migration through Annexin A2.	RNA pull-down	25806802	
GAS5	TNFSF10	RNA-Protein	Regulation	Homo sapiens	GAS5-derived small RNA (pi-sno75) specifically upregulates TRAIL expression in breast cancer cells	nan	nan	RIP and ChIP assays	25779046	
GAS5	AGO2	RNA-Protein	Binding	Homo sapiens	GAS5 RNA interacts with AGO2	nan	tumor suppressor	RNA immunoprecipitation	23933812	
GAS5	CDK6	RNA-Protein	Regulation	Homo sapiens	GAS5 Decreases Bladder Cancer Cell Proliferation by Regulating CDK6	bladder cancer cell 	Knockdown of GAS5 promotes bladder cancer cell proliferation	qRT-PCR, RNAi, RIP and RNA Pulldown	24069260	
GAS5	CDK6	RNA-Protein	Regulation	Homo sapiens	We further demonstrate that gas5 negatively regulates CDK6 (cyclin-dependent kinase 6) expression in vitro and in vivo. More importantly, knockdown of CDK6 partially abrogates gas5-siRNA-induced cell proliferation.	pancreatic cancer tissues and cells	Overexpression of gas5 in pancreatic cancer cells inhibits cell proliferation	qRT-PCR, RNAi, WB	24026436	
GHET1	IGF2BP1	RNA-Protein	Binding	Homo sapiens	GHET1 physically associates with insulin-like growth factor 2 mRNA binding protein 1 (IGF2BP1) and enhances the physical interaction between c-Myc mRNA and IGF2BP1, consequently increasing the stability of c-Myc mRNA and expression.	gastric carcinoma	nan	RIP	24397586	
Mirt2	Lgals3	RNA-Protein	Regulation	Mus musculus	Lgals3, which encodes the lectin galactoside-binding soluble 3, was significantly correlated with MIRT1 and MIRT2. 	nan	nan	Microarray and In situ hybridization	24917243	
Gomafu	NR5A1	RNA-Protein	Binding	Gallus gallus	Gomafu RNA binds directly to SF1 in vivo	nan	regulate splicing efficiency	CLIP	21463453	
H19	RB1	RNA-Protein	Regulation	Homo sapiens	H19-derived miR-675, through downregulation of its target RB, regulates the colorectal cancer development	colon cancer cell	colorectal cancer development	in vitro	19926638	
H19	HGF	RNA-Protein	Regulation	Homo sapiens	Using a blocking antibody, HGF/SF was identified as the fibroblast-derived growth factor capable of inducing H19 expression and cell morphogenesis.	nan	nan	in vivo	11969291	
H19	IGF2BP1	RNA-Protein	Binding	Homo sapiens	human H19 RNA contains four attachment sites for the oncofetal IGF-II mRNA-binding protein (IMP) with apparentKdvalues in the 0.4-1.3 nMrange.	nan	nan	electrophoretic mobility shift analysis	10875929	
H19	POMC	RNA-Protein	Regulation	Homo sapiens	In cultured fetal adrenal cells, ACTH increased H19 RNA accumulation.	nan	nan	in vivo	7512497	
H19	Khsrp	RNA-Protein	Binding	Mus musculus	KSRP Directly Interacts with the H19 lncRNA.	the cytoplasm of proliferating C2C11 cells	nan	crosslinking immunoprecipitation (HITS-CLIP)	25385579	
H19	Hnrnpu	RNA-Protein	Binding	Mus musculus	the protein hnRNP U interacts with H19, H19 is bound to hnRNP U, and this interaction is located within the 5'882 nt region of H19. 	nan	nan	RIP	23811339	
H19	Elavl1	RNA-Protein	Binding	Mus musculus	RNA immunoprecipitation experiments indeed confirmed HuR binding to H19	placentas	slowdown growth of the placenta in the second half of gestation, in preparation for parturition.	RNA immunoprecipitation	22684254	
H19	EZH2	RNA-Protein	Binding	Homo sapiens	H19 is associated with enhancer of zeste homolog 2 (EZH2), and that this association results in Wnt/	bladder cancer tissue, cell lines (RT4, RT112, DSH1, 253J, TCCSUP.)	upregulated H19 promotes bladder cancer cell migration in vitro and in vivo.	qPCR, RNAi, Luciferase reporter assay, RIP.	23354591	
H19	Hnrnpu	RNA-Protein	Binding	Mus musculus	By RNA pull down assay and western blot analysis, we verified that the full length of H19 can bind to the RNA-binding protein hnRNP U. hnRNP U has been reported to be a member of protein complex, hnRNP U/PCAF/RNA PolII. RIP also displayed the association between H19 and hnRNP U/PCAF/RNA PolII.	HCC tissue, cell lines(SMMC7721, HCCLM3)	H19 suppressed HCC progression metastasis	qPCR, RNAi, RNA pulldown, RIP.	23222811	
H19	AGO2	RNA-Protein	Binding	Homo sapiens	According to the result from RIP experiment, H19 was preferentially enriched in Ago2-containing beads compared to the beads harboring control immunoglobulin G (IgG) antibody	colorectal 	colorectal cancer	RNA immunoprecipitation	26068968	
Halr1	Purb	RNA-Protein	Binding	Mus musculus	linc-HOXA1 RNA represses Hoxa1 by recruiting the protein PURB as a transcriptional cofactor.	nan	represses Hoxa1 expression	in vivo	23723417	
HEIH	EZH2	RNA-Protein	Binding	Homo sapiens	lncRNA-HEIH was associated with enhancer of zeste homolog 2 (EZH2)	hepatocellular	nan	RIP	21769904	
Hes1-as	EZH2	RNA-Protein	Binding	Homo sapiens	Hes1-as RNA directly and specifically interacts with PRC2 and Ezh2 is the RNA-binding subunit.	nan	nan	EMSA	21172659	
HIF1A-AS1	TET3	RNA-Protein	Regulation	Homo sapiens	TET3 can mediate the activation of HSCs via modulating the expression of the long non-coding RNA HIF1A-AS1	hepatic stellate cells	nan	RNA interference	25550811	
Hm629797	Ddx5	RNA-Protein	Binding	Mus musculus	p68 interacts with mrhl RNA in the chromatin and is necessary for mrhl RNA occupancy at GRPAM loci	testicular	nan	ChOP-PCR	25584904	
Hm629797	Hnrnpa1	RNA-Protein	Binding	Mus musculus	We also identified interacting proteins of mrhl RNA associated chromatin fraction	testicular	nan	in vitro and in vivo	25584904	
