lncrna	Interacting partner	Interaction Class	Interaction Mode	Organism	Description	Tissue	Phenotype	Method	Pubmed id
AOC4P	NCL	RNA-Protein	Binding	Homo sapiens	Our results showed that several proteins, including vimentin, bind to AOC4P	liver	AOC4P suppresses hepatocellular carcinoma metastasis	RNA pulldown assay followed by LC-MS;RNA immunoprecipitation	26160837
APF	MIR188	RNA-RNA	Binding	Homo sapiens	APF is able to directly bind to miR-188-3p and regulate its activity	heart	regulates autophagic programme and autophagic cell death	in vitro	25858075
APOA1-AS	APOA1	RNA-DNA	Regulation	Homo sapiens	APOA1-antisense (APOA1-AS) negatively regulates APOA1 transcription;APOA1-AS transcript acts as a 'temporal switch' to regulate APOA1 expression.	HepG2 cells 	NULL	RACE, RNAi, ChIP assay.	24388749
APOLO	TFL2	RNA-Protein	Binding	Arabidopsis thaliana	the dynamic PID-APOLO chromatin loop depends on the plant PRC1 component LHP1 through binding to APOLO RNA.	seedlings	NULL	ChIP and RIP	25018019
APTR	CDKN1A	DNA-Protein	Regulation	Homo sapiens	APTR represses p21 transcription by recruiting the PRC2 complex to the p21 promoter.	brain and cancer cell lines	NULL	RNAi, ChIP, RIP, RNA pulldown assays	24748121
APTR	EZH2	RNA-Protein	Binding	Homo sapiens	in vitro transcribed biotinylated sense APTR associated in vitro with cellular EZH2 and SUZ12 and pulled them down on streptavidin beads.	brain and cancer cell lines	NULL	RNAi, ChIP, RIP, RNA pulldown assays	24748121
APTR	SUZ12	RNA-Protein	Binding	Homo sapiens	in vitro transcribed biotinylated sense APTR associated in vitro with cellular EZH2 and SUZ12 and pulled them down on streptavidin beads.	brain and cancer cell lines	NULL	RNAi, ChIP, RIP, RNA pulldown assays	24748121
Arid2-IR	Smad3	DNA-TF	Binding	Mus musculus	the promoter region of Arid2-IR contained a Smad3 binding site and deletion of Smad3 gene completely blocked upregulation of Arid2-IR in the UUO kidney	NULL	promote NF-κB-dependent renal inflammation	ChIP and In Situ Hybridization	25743111
AS Uchl1	Nr4a2	DNA-TF	Regulation	Mus musculus	AS Uchl1 expression is under the regulation of Nurr1, a major transcription factor involved in dopaminergic cells' differentiation and maintenance	brain 	NULL	ChIP	25883552
ATXN8OS	SLC6A11	RNA-DNA	Regulation	Homo sapiens	SCA8 CUG(exp) transcripts trigger splicing changes and increased expression of the CUGBP1-MBNL1 regulated CNS target, GABA-A transporter 4 (GAT4/Gabt4).	NULL	NULL	CLIP	19680539
BACE1-AS	MIR485	RNA-RNA	Regulation	Homo sapiens	We report here that BACE1-antisense prevents miRNA-induced repression of BACE1 mRNA by masking the binding site for miR-485-5p.	NULL	NULL	In vitro	20507594
BACE1-AS	BACE1	RNA-RNA	Regulation	Homo sapiens	The BACE1-antisense transcript (BACE1-AS) regulates BACE1 mRNA and subsequently BACE1 protein expression in vitro and in vivo.expression of BACE1-AS increases BACE1 mRNA stability.	NULL	NULL	In vitro	18587408
BANCR	MAPK14	RNA-Protein	Regulation	Homo sapiens	When BANCR was up-regulated, p38 MAPK and JNK pathways were both inactivated. 	NULL	overexpressed BANCR suppressed tumor growth of LC both in vitro and in vivo.	RIPA	25661343
BANCR	MAPK8	RNA-Protein	Regulation	Homo sapiens	When BANCR was up-regulated, p38 MAPK and JNK pathways were both inactivated. 	NULL	overexpressed BANCR suppressed tumor growth of LC both in vitro and in vivo.	RIPA	25661343
BANCR	CDKN1A	RNA-Protein	Regulation	Homo sapiens	BANCR suppresses the proliferation of colorectal cancer cells by targeting p21	colorectal cancer cells	suppresses the proliferation of colorectal cancer cells	in vitro and vivo	25928067
Bc1	Arc	RNA-RNA	Binding	Mus musculus	BC1 RNA would bind to MAP1B, alpha-CamKII, and Arc mRNAs regulated by FMRP.	NULL	NULL	in vitro	12581522
Bc1	Camk2a	RNA-RNA	Binding	Mus musculus	BC1 RNA would bind to MAP1B, alpha-CamKII, and Arc mRNAs regulated by FMRP.	NULL	NULL	in vitro	12581522
Bc1	Map1b	RNA-RNA	Binding	Mus musculus	BC1 RNA would bind to MAP1B, alpha-CamKII, and Arc mRNAs regulated by FMRP.	NULL	NULL	in vitro	12581522
Bc1	Eif4a1	RNA-Protein	Binding	Mus musculus	BC1 RNA binds to eIF4A with high affinity	brain	NULL	EMSA	18316401
Bc1	Pabpc1	RNA-Protein	Binding	Mus musculus	BC200 RNA and G22 RNA bind common protein partners, SRP9/14 and PABP	brain	NULL	RIP	17175535
Bc1	Srp14	RNA-Protein	Binding	Mus musculus	BC200 RNA and G22 RNA bind common protein partners, SRP9/14 and PABP	brain	NULL	RIP	17175535
Bc1	Srp9	RNA-Protein	Binding	Mus musculus	BC200 RNA and G22 RNA bind common protein partners, SRP9/14 and PABP	brain	NULL	RIP	17175535
Bc1	Eif4a1	RNA-Protein	Binding	Mus musculus	An interaction of the 3'BC1 domain with eIF4A and PABP is responsible for BC1-mediated repression of translation initiation.	Oocytes	inhibit a rate-limitingstep in the assembly of translation initiation complexes.	EMSA	16330711
Bc1	Pabpc1	RNA-Protein	Binding	Mus musculus	An interaction of the 3'BC1 domain with eIF4A and PABP is responsible for BC1-mediated repression of translation initiation.	Oocytes	inhibit a rate-limitingstep in the assembly of translation initiation complexes.	EMSA	16330711
Bc1	Fmr1	RNA-Protein	Binding	Mus musculus	Immunoprecipitation(in vivo) and electrophoretic mobility shift assays(in vitro) experiments indicated that FMRP binds directly to BC1.	NULL	NULL	RNA IP	12581522
Bc1	Eif4a1	RNA-Protein	Binding	Mus musculus	eIF4A and PABP interact directly with BC1 RNA	brain	NULL	EMSA	12451124
Bc1	Pabpc1	RNA-Protein	Binding	Mus musculus	eIF4A and PABP interact directly with BC1 RNA	brain	NULL	EMSA	12451124
Bc1	Arhgef28	RNA-Protein	Binding	Mus musculus	In vivo experiments indicated that BC1 bind to a site in the C-terminal domain of p190RhoGEF.	NULL	NULL	RNA IP	12215442
Bc1	Pabpc1	RNA-Protein	Binding	Mus musculus	PABP binding to BC1 and BC200 RNAsin vitro	brain	NULL	EMSA	12162957
Bc1	Pura	RNA-Protein	Binding	Mus musculus	Experiments demonstrated that the single-stranded DNA- and RNA-binding protein pur alpha and its isoform, pur beta, linked BC1 RNA to microtubules (MTs).	NULL	NULL	In vitro	11032866
Bc1	Purb	RNA-Protein	Regulation	Mus musculus	Experiments demonstrated that the single-stranded DNA- and RNA-binding protein pur alpha and its isoform, pur beta, linked BC1 RNA to microtubules (MTs).	NULL	NULL	In vitro	11032866
Bc1	Pura	RNA-Protein	Binding	Mus musculus	BC1 RNA associates with Pur	NULL	activate transcription of BC1 gene by RNA polymerase III in vitro	RNA IP	11032728
Bc1	Tsn	RNA-Protein	Binding	Mus musculus	we demonstrated that BC1 RNP contained two,y-,h-element-binding proteins, m-Translin and a 37kDa protein	NULL	NULL	In vitro	9636644
Bc1	Eif4ebp1	RNA-Protein	Binding	Mus musculus	Bp-1 protein may bind to a newly synthesized BC-1 RNA	NULL	NULL	In vitro	1449502
BCAR4	PPP1R10	RNA-Protein	Binding	Homo sapiens	BCAR4 directly bind to SNIP2 and PNUTS via two distinct regions	breast cancer tissues	breast cancer cell migration and invasion	Electrophoretic mobility shift assays(EMSAs)	25416949
BCAR4	SNIP1	RNA-Protein	Binding	Homo sapiens	BCAR4 directly bind to SNIP1 and PNUTS via two distinct regions	breast cancer tissues	breast cancer cell migration and invasion	Electrophoretic mobility shift assays(EMSAs)	25416949
BCYRN1	EIF4A1	RNA-Protein	Binding	Homo sapiens	Interaction of human BC200 RNA with eIF4A.	brain	NULL	EMSA	18316401
BCYRN1	PABPC1	RNA-Protein	Binding	Homo sapiens	In vitrobinding studies of BC200 RNA and G22 RNA with PABP	brain	NULL	In vitrobinding studies	17175535
BCYRN1	PABPC1	RNA-Protein	Binding	Homo sapiens	PABP binding to BC1 and BC200 RNAsin vitro	brain	NULL	EMSA	12162957
BCYRN1	SSB	RNA-Protein	Binding	Homo sapiens	Identification of human autoantigen La/SS-B as BC1/BC200 RNA-binding protein.	NULL	NULL	in vitro and in vivo	9778034
BCYRN1	SRP9	RNA-Protein	Binding	Homo sapiens	SRP9/14 heterodimer, which represents a well known protein component of the signal recognition particle, is associated with BC200 RNA in vitro and, importantly, also in vivo	brain	NULL	RNA IP	9605471
BCYRN1	MYC	DNA-TF	Binding	Homo sapiens	ChIP assay confirmed the binding of c-MYC to the promoter region of BCYRN1 gene.	lung	regulate cell migration and invasion	ChIP	25866480
BDNF-AS	BDNF	RNA-Protein	Binding	Homo sapiens	BDNF and antiBDNF transcripts form dsRNA duplexes in the brain in vivo	brain	NULL	in vivo	17629449
BDNF-AS	EZH2	RNA-Protein	Binding	Homo sapiens	We observed that increasing concentrations of EZH2 prevented the migration of biotinylated BDNF-AS through an agarose gel, an effect that was reversed with an excess of unbiotinylated BDNF-AS . These findings indicate that there is a direct physical interaction between BDNF-AS and EZH2	-	-	AlphaScreen Assay	26173710
BLACAT1	EZH2	RNA-Protein	Binding	Homo sapiens	lincUBC1 interact with both EZH2 and SUZ12 of PRC2	bladder TCCSUP)	repress gene transcription	RIP	23688781
BLACAT1	SUZ12	RNA-Protein	Binding	Homo sapiens	lincUBC1 interact with both EZH2 and SUZ12 of PRC2	bladder TCCSUP)	repress gene transcription	RIP	23688781
Blnc1	Ebf2	DNA-Protein	Binding	Mus musculus	ChIP assay and reporter gene studies indicate that Blnc1 is a direct target of EBF2; EBF2 is recruited to the proximal promoter of Blnc1 and stimulates its expression.	adipocytes	promotes brown and beige adipocyte differentiation and function	Reporter Gene and ChIP Assays	25002143
Bvht	Suz12	RNA-Protein	Binding	Mus musculus	We also show that Bvht interacts with SUZ12, a component of Polycomb Repressive Complex 2 (PRC2), during cardiomyocyte differentiation suggesting that Bvht mediates epigenetic regulation of cardiac commitment. Bvht directly interacts with SUZ12 during CM differentiation	ESC Lines,neonatal cardiomyocytes		 RNAi, qRT-PCR and ChIP	23352431
bxd	ash1	DNA-Protein	Binding	Drosophila melanogaster	Both TRX and ASH1 bind to aUbxRegulation region	NULL	NULL	double immunostaining experiments	10454589
bxd	trx	DNA-Protein	Binding	Drosophila melanogaster	Both TRX and ASH1 bind to aUbxRegulation region	NULL	NULL	double immunostaining experiments	10454589
bxd	Ubx	DNA-DNA	Regulation	Drosophila melanogaster	Ubx and several bxd ncRNAs are expressed in nonoverlapping patterns in both embryos and imaginal discs, suggesting that transcription of these ncRNAs is associated with repression, not activation, of Ubx.	embryos and imaginal discs	NULL	ChIP	17174895
C730036E19Rik	Tardbp	RNA-Protein	Binding	Mus musculus	LncLSTR Interacts with TDP-43 to Regulate Cyp8b1 Expression. TDP-43 binding to the Cyp8b1 promoter was clearly enhanced when lncLSTR was depleted	NULL	regulate TG clearance	RIP and ChIP assays	25738460
C730036E19Rik	Cyp8b1	RNA-Protein	Regulation	Mus musculus	LncLSTR Interacts with TDP-43 to Regulate Cyp8b1 Expression.Depletion of lncLSTR leads to increased binding of TDP-43, reduced Cyp8b1 gene expression,	NULL	regulate TG clearance	RIP and ChIP assays	25738460
CACNA2D1	SUZ12	RNA-Protein	Binding	Homo sapiens	lncRNA_N3 was significantly enriched in the SUZ12 IP over isotype IgG IP control	hEsCs	NULL	RIP	22193719
Carlr	Mir539	RNA-RNA	Binding	Mus musculus	CARL can act as an endogenous miR-539 sponge that regulates PHB2 expression. CARL is able to directly bind to miR-539 in vivo. miR-539 recognize CARL is in a sequence-specific manner.	heart	CARL inhibits anoxia-induced mitochondrial ?ssion and apoptosis	Luciferase reporter assay, Pulldown assay 	24710105
CASC2	MIR21	RNA-RNA	Binding	Homo sapiens	bioinformatics, luciferase reporter assays and pull-down assay confirmed that miR-21 binds to CASC2 in a sequence-specific manner	gliomas	inhibition of glioma cell proliferation, migration, and invasion, and promotion of cell apoptosis	luciferase reporter assays and pull-down assay	25446261
CCAT1	MIRLET7A1	RNA-RNA	Binding	Homo sapiens	CCAT1 physically associated with let-7 and may function as a competing endogenous RNA for let-7.	hepatocellular carcinoma	promotes HCC progression	RIP	25884472
CCAT1	MIRLET7B	RNA-RNA	Binding	Homo sapiens	CCAT1 physically associated with let-7 and may function as a competing endogenous RNA for let-7.	hepatocellular carcinoma	promotes HCC progression	RIP	25884472
CCAT1	MIRLET7C	RNA-RNA	Binding	Homo sapiens	CCAT1 physically associated with let-7 and may function as a competing endogenous RNA for let-7.	hepatocellular carcinoma	promotes HCC progression	RIP	25884472
CCAT1	MIRLET7E	RNA-RNA	Binding	Homo sapiens	CCAT1 physically associated with let-7 and may function as a competing endogenous RNA for let-7.	hepatocellular carcinoma	promotes HCC progression	RIP	25884472
CCAT1	MYC	DNA-TF	Binding	Homo sapiens	c-Myc could promote CCAT1 transcription by directly binding to its promoter region, and upregulation of CCAT1 expression in colon cancer cells promoted cell proliferation and invasion.	colon cancer tissues	NULL	chromatin immunoprecipitation assays	25185650
CCAT1	MYC	DNA-TF	Binding	Homo sapiens	c-Myc directly binds to the E-box element in the promoter region of CCAT1, and when ectopically expressed increased promoter activity and expression of CCAT1	gastric carcinoma	NULL	ChIP	23143645
CCAT1	MIR218-1	RNA-RNA	Binding	Homo sapiens	These data confirmed the direct binding between CCAT1 and miRNA-218-5p.	gallbladder	impaired the proliferation and invasiveness of GBC cells	luciferase reporter constructs	25569100
CCAT1	BMI1	RNA-Protein	Regulation	Homo sapiens	the oncogenic activity of CCAT1 is partly associated with the regulation of miRNA-218-5p and then Bmi1	gallbladder	impaired the proliferation and invasiveness of GBC cells	luciferase reporter constructs	25569100
CCAT2	TCF7L2	RNA-TF	Regulation	Homo sapiens	This regulation by CCAT2, possibly through its physical interaction with TCF7L2.	NULL	increases MYC expression & promotes cancer growth and metastasis	RNA immunoprecipitation	23796952
CDKN2B-AS1	EZH2	RNA-Protein	Binding	Homo sapiens	ANRIL could directly bind with PRC2 in HCC cells 	hepatocellular carcinoma 	inhibits HCC cell proliferation and induces cell apoptosis	RIP	25966845
CDKN2B-AS1	SUZ12	RNA-Protein	Binding	Homo sapiens	ANRIL could directly bind with PRC2 in HCC cells 	hepatocellular carcinoma 	inhibits HCC cell proliferation and induces cell apoptosis	RIP	25966845
CDKN2B-AS1	SUZ12	RNA-Protein	Binding	Homo sapiens	RNA immunoprecipitation demonstrates that ANRIL binds to SUZ12 in vivo.	NULL	NULL	RNA immunoprecipitation	21151178
CDKN2B-AS1	EZH2	RNA-Protein	Binding	Homo sapiens	ANRIL lncRNA recruits both PRC2 and PRC1 subunits (EZH2 and CBX7, respectively) to achieve INK4b/AR F/INK4a silencing.	prostate cancer tissues	NULL	RNA ChIP	20541999
CDKN2B-AS1	CBX7	RNA-Protein	Binding	Homo sapiens	ANRIL interacts with CBX7 of the PRC1 complex at the INK4b/ARF/INK4alocus	prostate cancer tissues	NULL	RNA ChIP	20541999
CDKN2B-AS1	CDKN2A	RNA-DNA	Regulation	Homo sapiens	Binding to RNA contributes to CBX7 function and disruption of either interaction impacts the ability of CBX7 to repress the INK4b/ARF/INK4a locus and control senescence.	prostate cancer tissues	NULL	RNA ChIP	20541999
CDKN2B-AS1	CDKN2B	RNA-DNA	Regulation	Homo sapiens	Binding to RNA contributes to CBX7 function and disruption of either interaction impacts the ability of CBX7 to repress the INK4b/ARF/INK4a locus and control senescence.	prostate cancer tissues	NULL	RNA ChIP	20541999
CDKN2B-AS1	SP1	DNA-TF	Binding	Homo sapiens	SP1 could directly bind to ANRIL promoter regions (1,081 bp) to silence ANRIL transcription	hepatocellular carcinoma 	inhibits HCC cell proliferation and induces cell apoptosis	ChIP	25966845
CDKN2B-AS1	E2F1	DNA-TF	Regulation	Homo sapiens	a specific binding of E2F1 with the ANRIL promoter	fibroblast line	regulation of cell cycle progression and apoptosis	ChIP	23416462
CDKN2B-AS1	CBX7	RNA-Protein	Binding	Homo sapiens	ANRIL binds to PRC1 and 2 proteins and recruits CBX7 and SUZ12 to promoters of target genes.	human cell lines MonoMac, THP1, U937,HEK293, HepG2, CaCo2, and Hutu80	Over-expression of ANRIL further promoted cell growth and metabolic activity	qRT-PCR, RNAi, RIP and ChIP-seq 	23861667
CDKN2B-AS1	SUZ12	RNA-Protein	Binding	Homo sapiens	ANRIL binds to PRC1 and 2 proteins and recruits CBX7 and SUZ12 to promoters of target genes.	human cell lines MonoMac, THP1, U937,HEK293, HepG2, CaCo2, and Hutu80	Over-expression of ANRIL further promoted cell growth and metabolic activity	qRT-PCR, RNAi, RIP and ChIP-seq 	23861667
CDKN2B-AS1	CDKN2A	RNA-DNA	Regulation	Homo sapiens	we confirmed the positive link between the expression of ANRIL with p14/ARF. These data suggest coordinated transcriptional regulation of ANRIL and p14/ARF, and possibly also p16/CDKN2A and p15/CDKN2B, in both physiologic and pathologic conditions.	breast cancer tissue	NULL	STS real-time PCR-based gene dose mapping.	17440112
CDR1-AS	FBXW7	RNA-Protein	Binding	Homo sapiens	CDR1as is densely bound by AGO	NULL	NULL	CLIP	23446348
CDR1-AS	LILRB1	RNA-Protein	Binding	Homo sapiens	circRNA acts as a miR-7 sponge	NULL	NULL	RNA-FISH	23446346
CDR1-AS	AGO2	RNA-Protein	Binding	Homo sapiens	ciRS-7 contains more than 70 selectively conserved miRNA target sites, and it is highly and widely associated with Argonaute (AGO) proteins in a miR-7-dependent manner.	NULL	NULL	RNA-FISH	23446346
CISTR	PTHLH	RNA-DNA	Regulation	Homo sapiens	The combination of re18527 with either CISTR-ACTS or CISTR-ACTF showed an additive activation effect on the PTHLH promoter. In t(4;12) and t(8;12), reduced lncRNA occupancy at the PTHLH locus was observed. the translocation-mediated disruption of the PTHLH-CISTR-ACT chromosomal association affected the chromosomes' feedback control and caused PTHLH and DA125942 dysregulation. 	Fibroblasts	NULL	qPCR, RNAi, 6C and ChIRP	23093776
COLDAIR	CLF	RNA-Protein	Binding	Arabidopsis thaliana	Both E(z) homologs, CLF and SWN, bound to COLDAIR in vitro through the CXC domain	NULL	NULL	RIP	21127216
COLDAIR	SWN	RNA-Protein	Binding	Arabidopsis thaliana	Both E(z) homologs, CLF and SWN, bound to COLDAIR in vitro through the CXC domain	NULL	NULL	RIP	21127216
COOLAIR	AtNDX	DNA-Protein	Binding	Arabidopsis thaliana	AtNDX binds to formed R-loops at the COOLAIR promoter. AtNDX associates with the COOLAIR promoter in vivo and has ssDNA binding specificity in vitro	NULL	inhibits the transcription of COOLAIR	EMSA	23641115
COOLAIR	FLC	RNA-DNA	Regulation	Arabidopsis thaliana	ChIRP deep sequencing analysis data shows?COOLAIR?associates with?FLCchromatin in two distinct regions.		accelerates transcriptional shutdown of?FLC?during cold exposure	ChIRP deep sequencing analysis	25349421
COOLAIR	CDKC2	DNA-Protein	Binding	Arabidopsis thaliana	CDKC;2 promotes transcription of COOLAIR, which in turn indirectly decreases FLC expression	Arabidopsis seedlings 	TRPM2-AS knockdown led to PCa cell apoptosis	ChIP assays	24799695
CRG	RpII215	RNA-Protein	Binding	Drosophila melanogaster	CRG could recruit RNA polymerase II to the CASK promoter regions, thereby increasing CASK expression.		CASK is a relatively direct effector that mediates CRG-regulated fly locomotor activity and climbing ability.	Luciferase reporter assay, RT-qPCR,ISH and ChIP 	23074190
CRG	CASK	RNA-DNA	Regulation	Drosophila melanogaster	CRG could recruit RNA polymerase II to the CASK promoter regions, thereby increasing CASK expression.		CASK is a relatively direct effector that mediates CRG-regulated fly locomotor activity and climbing ability.	Luciferase reporter assay, RT-qPCR,ISH and ChIP 	23074190
CRNDE	IGF1	RNA-Protein	Regulation	Homo sapiens	CRNDE represents the first long non-coding RNA to be regulated by insulin/IGFs	NULL	NULL	in vitro	24184209
CRNDE	IGF2	RNA-Protein	Regulation	Homo sapiens	CRNDE represents the first long non-coding RNA to be regulated by insulin/IGFs	NULL	colorectal cancer	in vitro	24184209
CRNDE	INS	RNA-Protein	Regulation	Homo sapiens	CRNDE represents the first long non-coding RNA to be regulated by insulin/IGFs	NULL	NULL	in vitro	24184209
CRNDE	MIR186	RNA-Protein	Binding	Homo sapiens	CRNDE binded to miR-186 and negatively regulated its expression	human glioma stem cells	-	dual-luciferase gene reporter assay	26231038
csrB	csrA	RNA-Protein	Binding	Escherichia coli	In vitro interactions of CsrA with CsrB and CsrC RNAs	NULL	NULL	RNA-EMSA	12694612
csrB	csrA	RNA-Protein	Binding	Escherichia coli	CsrB RNA is a second component of the Csr system, which binds to CsrA with 1:18 stoichiometry and antagonizes its effects on gene expression by sequestering this protein.	NULL	NULL	RNA-EMSA	9211896
csrB	uvrY	DNA-Protein	Regulation	Escherichia coli	UvrY activates csrB transcription, presumably by binding to csrB DNA.	NULL	NULL	Northern hybridization	12193630
csrC	csrA	RNA-Protein	Binding	Escherichia coli	In vitro interactions of CsrA with CsrB and CsrC RNAs	NULL	NULL	RNA-EMSA	12694612
CTBP1-AS	SFPQ	RNA-Protein	Binding	Homo sapiens	the interaction between PSF and CTBP1-AS by RIP	prostate	NULL	RIP	23644382
